model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DFTGRID,A,3e-08,1,False,False,TDD,phase,10.0,[0.95151377 0.9509959  0.9500093  0.948697  ],[0.7516391 0.7517891 0.7515462 0.7523798],[279.37628 279.73138 279.45865 279.37347],[236.82047 236.97627 236.8759  237.27666],[8.171125 8.169496 8.167696 8.167151],[0.19655336 0.20071512 0.20545615 0.21073738],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DFTGRID,A,3e-08,10,False,False,TDD,phase,10.0,[5.8756013 5.752659  5.532663  4.5299506],[9.162883 8.769641 9.36996  5.241744],[596.2883  594.33966 594.21783 596.20703],[305.51178 293.60855 286.2176  283.81992],[7.0425158 7.039936  7.029611  7.008688 ],[1.2626797 1.2499282 1.2649505 1.3227894],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DFTGRID,A,3e-08,30,False,False,TDD,phase,10.0,[12.55787    9.8899975  7.802995   7.181861 ],[42.97382  26.876896 14.972496 10.052936],[596.1386  595.12146 601.24133 605.9278 ],[349.61118 345.64944 357.71463 374.35837],[6.7114387 6.7533765 6.778107  6.7784286],[1.398158  1.3156374 1.3333147 1.4533677],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DFTGRID,A,1e-07,1,False,False,TDD,phase,10.0,[0.8037536  0.8023878  0.80166405 0.80120337],[0.74454004 0.74428064 0.7450658  0.74319535],[222.78583 222.40453 222.58057 222.48932],[228.56325 228.21107 228.71587 228.40036],[8.092847  8.0938425 8.095097  8.095484 ],[0.52022195 0.52066374 0.52173966 0.52234846],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DFTGRID,A,1e-07,10,False,False,TDD,phase,10.0,[4.3022237 4.3846135 4.41458   4.105717 ],[4.364193 5.012013 5.677648 4.481668],[635.56885 631.0567  626.6438  622.5203 ],[346.0644  339.71262 335.71136 333.63275],[6.96306   6.9641414 6.966029  6.9705   ],[1.3712722 1.3956133 1.4134345 1.4128435],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DFTGRID,A,1e-07,30,False,False,TDD,phase,10.0,[8.9000635 6.750705  9.259406  6.9573755],[40.849712 14.909104 35.872322 18.065807],[657.9953  627.00037 598.84644 574.585  ],[397.3895  354.47546 323.2778  313.96545],[6.602469  6.6272235 6.616335  6.519072 ],[1.621043  1.63066   1.5882117 1.5856985],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DFTGRID,A,3e-07,1,False,False,TDD,phase,10.0,[0.88862664 0.8883708  0.8882769  0.889607  ],[0.7210771  0.7205916  0.72112215 0.7219971 ],[271.63226 271.91315 272.0742  272.4795 ],[246.07793 245.7094  245.71565 245.81999],[8.046813 8.048358 8.049908 8.050524],[0.3639786  0.36614352 0.36659577 0.36847734],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DFTGRID,A,3e-07,10,False,False,TDD,phase,10.0,[3.0458713 3.1433167 3.0742025 3.1031287],[2.4805875 2.9252555 2.6959922 2.792437 ],[594.62    598.6405  603.75494 609.36487],[295.26166 294.18256 296.76144 302.2954 ],[6.933311  6.943613  6.9467664 6.9389434],[1.0412512 1.1062853 1.1819589 1.263087 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DFTGRID,A,3e-07,30,False,False,TDD,phase,10.0,[3.4862766 3.5793955 3.7619119 3.8041298],[3.6522443 4.070662  4.5115137 4.5865   ],[604.14185 611.5023  619.1405  628.04254],[330.31894 327.4123  338.0036  359.83112],[6.6695433 6.7457104 6.783709  6.790443 ],[1.3688272 1.3948708 1.4688088 1.515699 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DFTGRID,C,3e-08,1,False,False,TDD,phase,10.0,[1.2002175 1.1935192 1.1888037 1.1915712],[0.8254798  0.81196    0.80083853 0.8184914 ],[277.78735 277.88104 277.91663 278.24423],[192.50069 192.17163 192.40428 192.74129],[8.069099 8.070207 8.070889 8.071868],[0.1808843  0.18297385 0.18422481 0.18616702],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DFTGRID,C,3e-08,10,False,False,TDD,phase,10.0,[4.981192  5.5006566 5.2066755 4.8799543],[4.8442774 6.269249  5.4252677 4.5510936],[642.31366 639.21936 642.58325 651.6754 ],[272.0714  266.3391  267.56543 273.6546 ],[6.5229487 6.545642  6.565229  6.574209 ],[1.2773643 1.247349  1.2710985 1.3259224],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DFTGRID,C,3e-08,30,False,False,TDD,phase,10.0,[4.207279  4.00034   4.2610826 4.7153664],[3.8422832 3.2836375 4.021506  5.308979 ],[601.37787 596.11237 598.49084 584.90594],[303.7463  309.95346 297.27505 276.61304],[5.9332976 6.0120974 5.9198275 6.03282  ],[1.8909829 1.7346567 1.8101549 1.55851  ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DFTGRID,C,1e-07,1,False,False,TDD,phase,10.0,[0.8619962 0.8625293 0.8634159 0.8622864],[0.6470172  0.6474068  0.64928883 0.6490445 ],[240.18878 240.05243 240.15024 239.55522],[203.86783 203.62238 203.9414  203.46773],[8.049417 8.049274 8.047712 8.046718],[0.23549458 0.23772638 0.23973456 0.24219309],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DFTGRID,C,1e-07,10,False,False,TDD,phase,10.0,[3.0136642 2.9908297 2.9939654 3.0086029],[2.0423322 2.0385544 1.9956812 1.9886962],[632.1398  628.65283 625.5949  622.965  ],[272.2065  276.54105 283.55405 290.68643],[6.6058874 6.6062756 6.5933447 6.585447 ],[1.1410807 1.1368316 1.1564559 1.1969101],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DFTGRID,C,1e-07,30,False,False,TDD,phase,10.0,[3.1825638 3.2229917 3.30303   3.1745646],[2.1195726 1.9470981 2.1263149 1.9739202],[608.9945  607.4072  604.5896  607.69525],[256.46655 235.67606 223.98848 228.34862],[5.6544733 5.645669  5.6217284 5.619221 ],[1.439348  1.3496443 1.3508692 1.4602885],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DFTGRID,C,3e-07,1,False,False,TDD,phase,10.0,[0.8099787  0.8107486  0.8098207  0.81030893],[0.62071204 0.62100035 0.6206418  0.6206733 ],[244.66185 244.8423  244.69975 245.08682],[189.10591 189.03024 188.98984 189.38367],[8.057257 8.057226 8.057141 8.057808],[0.17476012 0.17524989 0.17648682 0.17681307],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DFTGRID,C,3e-07,10,False,False,TDD,phase,10.0,[2.2555845 2.2582793 2.2641428 2.2799006],[1.2942953 1.2604662 1.2337822 1.220475 ],[585.17755 585.0686  586.063   588.9201 ],[264.0346  258.80136 254.85349 252.44194],[6.4712048 6.430876  6.3940697 6.3628426],[1.155641  1.202046  1.2444962 1.2884   ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DFTGRID,C,3e-07,30,False,False,TDD,phase,10.0,[2.797797  2.7775793 2.7736313 2.7961514],[1.423574  1.4752373 1.5261872 1.5713916],[666.70435 667.07416 668.64374 669.09644],[258.8571  260.16696 263.70706 263.01712],[5.692313  5.6718507 5.747868  5.843089 ],[1.2359155 1.3238525 1.3438324 1.3098555],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DFTGRID,D,3e-08,1,False,False,TDD,phase,10.0,[0.8285713  0.82723826 0.8280593  0.8294244 ],[0.7862026 0.7855303 0.7859976 0.7879491],[248.85191 248.43933 248.6831  249.06245],[236.28185 236.069   236.30176 236.75462],[8.19325   8.1931305 8.192799  8.192706 ],[0.16825105 0.1685734  0.16877961 0.1693197 ],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DFTGRID,D,3e-08,10,False,False,TDD,phase,10.0,[2.0491936 2.0529933 2.0570517 2.0575461],[1.4788152 1.4696962 1.459167  1.4478797],[604.84424 607.0613  609.9179  612.37787],[429.60706 427.9132  426.417   425.2163 ],[8.120946 8.116272 8.107671 8.103371],[0.23476358 0.24154522 0.24763325 0.25617138],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DFTGRID,D,3e-08,30,False,False,TDD,phase,10.0,[2.1835792 2.226362  2.2568483 2.277603 ],[1.4176927 1.4227583 1.4154217 1.4082597],[611.22437 617.66833 622.6687  626.08624],[369.1784  370.58945 373.2595  372.92767],[8.076561 8.038669 8.023432 8.01063 ],[0.33013582 0.34571227 0.3643225  0.3945907 ],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DFTGRID,D,1e-07,1,False,False,TDD,phase,10.0,[0.8829841  0.883022   0.88315505 0.883972  ],[0.73776793 0.7381256  0.73879516 0.73904276],[266.34027 266.3985  266.44403 266.72208],[224.53003 224.58882 224.7812  224.88135],[8.18631  8.18686  8.186374 8.186279],[0.04576242 0.04736761 0.04838439 0.04989074],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DFTGRID,D,1e-07,10,False,False,TDD,phase,10.0,[2.2564437 2.258905  2.2649527 2.2671227],[1.355431  1.3548303 1.3529204 1.3483577],[663.55524 663.895   665.54224 666.43634],[386.43192 385.7267  385.2944  384.86722],[8.10453  8.098093 8.087035 8.079832],[0.15053459 0.1678624  0.18490437 0.20206055],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
