model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DFTGRID,B,5e-08,3,True,False,TDD,vanilla,0,[1.3124154 1.4976321 1.7080058 1.9087285],[0.4799785  0.5476382  0.6557896  0.71931624],[294.4828  340.58524 387.64444 434.4365 ],[114.014786 133.51494  152.73352  170.89732 ],[7.147734  7.0404973 6.980264  6.9597106],[1.0617455 1.1323503 1.1432104 1.105535 ],[8.310018 8.311025 8.311322 8.311014],[0.2866387  0.29886192 0.3112389  0.32331753]
DFTGRID,B,5e-08,6,True,False,TDD,vanilla,0,[1.6950554 1.97057   2.14561   2.3513396],[0.7232162  0.97920763 0.9365045  1.0571369 ],[314.2745  365.6503  417.00262 465.7859 ],[110.12188 130.21396 151.28958 171.60739],[6.468761  6.20112   6.0330076 5.9571447],[1.1939039 1.3334969 1.3935416 1.4046317],[8.200852 8.201835 8.201868 8.201473],[0.3916575  0.3997785  0.4085088  0.41598982]
DFTGRID,B,5e-08,9,True,False,TDD,vanilla,0,[1.8191233 2.0459673 2.2646174 2.4805431],[1.1181445 1.0243095 1.1463195 1.1386654],[334.12094 391.52417 445.53708 492.70007],[107.86268 128.04698 147.33669 165.76076],[6.1409745 5.811268  5.658897  5.6297283],[1.21586   1.3271621 1.344041  1.3019458],[8.251503 8.261046 8.269067 8.268886],[0.43901262 0.44828576 0.46303815 0.48474985]
DFTGRID,B,5e-08,12,True,False,TDD,vanilla,0,[1.918043  2.2077513 2.393808  2.49843  ],[0.80757207 1.1116228  1.1422632  1.122107  ],[317.6706  371.63547 418.02664 457.59515],[ 90.24653  109.885475 128.0999   148.5971  ],[6.0017376 5.7001686 5.4955797 5.3810797],[1.373029  1.4342604 1.4413412 1.4129423],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534238 0.45664805 0.49680933 0.52424616]
DFTGRID,B,5e-08,15,True,False,TDD,vanilla,0,[1.7506897 1.9784962 2.2061164 2.3671079],[0.9165437 0.9542184 1.1254839 1.2127527],[328.68973 384.69373 429.98553 465.28796],[100.0012  121.34552 134.3635  146.68684],[6.1221538 5.7187476 5.4906077 5.3729944],[1.3483028 1.4643738 1.4925021 1.5125663],[8.301512 8.301376 8.2951   8.286509],[0.51885885 0.5244441  0.5284308  0.55424315]
DFTGRID,B,5e-08,18,True,False,TDD,vanilla,0,[2.006646  2.3006382 2.4547117 2.607486 ],[0.9885584 1.1092546 1.2127773 1.4266967],[347.05215 409.87677 455.91367 496.7764 ],[107.48945 139.8867  168.57643 198.76318],[5.464279  5.1872826 5.1422987 5.203128 ],[1.4539018 1.372388  1.3047726 1.2637359],[8.143848 8.165355 8.190139 8.226463],[0.55700666 0.5532856  0.58807176 0.6425339 ]
DFTGRID,B,5e-08,21,True,False,TDD,vanilla,0,[1.9827904 2.3300104 2.6530755 2.6252902],[0.8466141  0.99655473 1.4477497  1.1972533 ],[345.90707 402.4365  439.68933 463.4816 ],[106.373116 121.20765  129.88014  135.01578 ],[5.4549336 5.1971855 5.108404  5.1139793],[1.3587356 1.353693  1.3636805 1.3134812],[8.123272 8.136701 8.135805 8.151181],[0.5637357  0.5555875  0.58310056 0.62311316]
DFTGRID,B,5e-08,24,True,False,TDD,vanilla,0,[1.8790442 2.1900356 2.3486106 2.3905122],[0.89135224 1.2013608  1.1076477  0.9348837 ],[353.826   410.96762 450.28696 477.73062],[108.76564 133.1078  151.20363 163.68665],[5.7185445 5.3487186 5.1311054 5.02371  ],[1.4624958 1.416012  1.3209515 1.3436491],[8.27013  8.258452 8.255481 8.262504],[0.5118271  0.5137656  0.52345896 0.57083213]
DFTGRID,B,5e-08,27,True,False,TDD,vanilla,0,[2.2638292 2.5671537 2.6438198 2.701409 ],[1.2878523 1.5511119 1.6234362 1.5462772],[370.21707 429.33817 464.92078 488.80954],[114.76105 145.48795 149.56178 153.43965],[5.4253144 5.2166414 5.12012   5.030471 ],[1.4915614 1.5041864 1.4346215 1.3677769],[8.164666 8.149782 8.144776 8.15001 ],[0.5907433  0.6523984  0.6741813  0.66140956]
DFTGRID,B,5e-08,33,True,False,TDD,vanilla,0,[2.0262454 2.3893175 2.4406989 2.4832184],[1.512063  1.6775496 1.2500949 1.3914372],[365.19656 418.12344 436.62766 449.7302 ],[130.01111 162.61273 169.78232 161.82144],[5.5630913 5.2795844 5.2288737 5.1453967],[1.386521  1.3881563 1.3888642 1.4125521],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
