model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DLINEAR,A,3e-08,1,False,False,TDD,vanilla,0,[0.48575246 0.4379414  0.4248683  0.46215925],[0.33783677 0.21288003 0.1520897  0.15884717],[ 86.730545  99.146545 115.55229  129.19992 ],[20.040785 30.216955 41.515533 46.940426],[7.9250917 8.005098  8.1541    8.16418  ],[0.20675233 0.20946084 0.20749548 0.21296847],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DLINEAR,A,3e-08,10,False,False,TDD,vanilla,0,[1.0866824 1.2637936 1.262845  1.1993384],[0.72672087 0.7983676  0.74236345 0.43845052],[198.08163 278.62354 314.96112 320.98053],[ 78.88051  123.537224 140.06158  151.52342 ],[7.362909  7.0604796 6.7802324 6.963057 ],[0.8673265 1.042394  1.3554293 1.2756478],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DLINEAR,A,3e-08,30,False,False,TDD,vanilla,0,[2.3350408 1.712115  1.3445616 1.2708963],[3.5578156 1.5794657 0.6160277 0.526599 ],[315.03815 296.98108 299.6976  305.3376 ],[219.19664 209.0906  191.38002 209.0175 ],[6.3379626 6.4117045 5.7930837 5.710286 ],[1.7959057 1.7071605 1.9544888 1.892425 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DLINEAR,A,1e-07,1,False,False,TDD,vanilla,0,[0.45031407 0.40979958 0.40186703 0.43785545],[0.25462654 0.15647918 0.12102123 0.13063781],[ 85.617256  96.14167  110.86489  123.93478 ],[30.146986 37.549007 47.445717 53.589096],[7.850436 7.933016 8.083816 8.095393],[0.5287399  0.5302969  0.52863634 0.52979136],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DLINEAR,A,1e-07,10,False,False,TDD,vanilla,0,[0.917123  1.1086497 1.1666582 1.1915206],[0.5849729  0.558899   0.43344226 0.42769688],[186.67809 265.67834 311.94815 324.72687],[ 82.89116 134.37288 163.93765 178.24895],[7.2965326 7.0098305 6.875337  6.949363 ],[0.89379907 1.0901612  1.389192   1.3381249 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DLINEAR,A,1e-07,30,False,False,TDD,vanilla,0,[1.7292404 1.4692414 1.2851955 1.2728791],[1.6383613  0.7526108  0.5061011  0.47917742],[372.41318 354.00876 327.38342 322.7955 ],[250.80133 242.20056 207.26825 213.25127],[6.6141744 6.4711385 5.8127527 5.589059 ],[1.6884456 1.7552223 1.901668  1.829421 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DLINEAR,A,3e-07,1,False,False,TDD,vanilla,0,[0.34750965 0.3618464  0.39563683 0.4384349 ],[0.07298338 0.08242374 0.10862939 0.12272547],[ 86.12116  99.22607 116.2939  130.23955],[22.727654 32.98134  44.368103 50.24696 ],[7.768478 7.855747 8.018901 8.031994],[0.3903209  0.38770264 0.37937385 0.3809206 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DLINEAR,A,3e-07,10,False,False,TDD,vanilla,0,[0.7754704 0.9809553 1.0661756 1.0988466],[0.32658038 0.36286876 0.30663174 0.3127318 ],[190.73828 270.6109  317.5728  333.7281 ],[ 84.85097 130.03148 152.16794 168.11302],[7.342569 7.091666 6.891844 6.956809],[0.88913673 1.0718778  1.320655   1.2866952 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DLINEAR,A,3e-07,30,False,False,TDD,vanilla,0,[1.4155166 1.2608018 1.1911633 1.1218498],[0.52562016 0.4724956  0.29400936 0.3066133 ],[379.94196 352.58316 346.2578  332.70438],[239.60068 238.94888 187.6045  198.13203],[6.43784   6.5346985 5.7323394 5.647104 ],[1.6299471 1.6357243 1.6490612 1.5682397],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DLINEAR,C,3e-08,1,False,False,TDD,vanilla,0,[0.6455042  0.53834707 0.4796828  0.51358104],[0.34973326 0.22550625 0.14776519 0.15055566],[ 86.84932 100.01866 117.2488  131.27283],[13.469863 21.504522 30.391098 34.53355 ],[7.906296 7.980819 8.121533 8.127433],[0.14905524 0.15112741 0.1504448  0.15517056],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
