model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.0243115  0.02849867 0.03268002 0.03710876],[0.01806444 0.02063458 0.02453705 0.0273367 ],[4.308339  4.9607697 5.7066736 6.59406  ],[0.99280083 1.1942213  1.6984402  2.2041745 ],[8.318655 8.314327 8.310631 8.306683],[0.1900906  0.19473566 0.19964273 0.20505445],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07677961 0.13064182 0.19364297 0.2580767 ],[0.08865232 0.14196733 0.25485116 0.3159305 ],[ 9.484188 16.194677 25.661125 37.568012],[ 2.3297715  5.807471  11.804788  21.76934  ],[8.165806 8.13266  8.089043 8.039901],[0.5646544  0.63713956 0.71178746 0.7915819 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.24894276 0.4220461  0.6122953  0.8013722 ],[0.45112354 0.44209546 0.56736    0.6283844 ],[ 20.370789  46.872005  93.28002  143.43262 ],[  9.959165  35.425755  80.333206 127.88114 ],[7.819488  7.649257  7.4322853 7.1043196],[1.0260485 1.2225933 1.3222027 1.5562575],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03767912 0.04097261 0.04443039 0.0483625 ],[0.01278811 0.01437375 0.01582523 0.01819103],[ 8.302414  8.829602  9.461406 10.142198],[2.9734542 3.136676  3.407978  3.7278461],[8.236329 8.234701 8.232783 8.230948],[0.51471066 0.515648   0.51643544 0.51730484],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08852475 0.13787322 0.19233397 0.231225  ],[0.06237538 0.13695295 0.24435057 0.17911291],[15.336806 21.829775 31.201021 42.97673 ],[ 4.9219007  8.361618  14.642517  24.115242 ],[8.082979 8.052099 8.010556 7.960469],[0.6430571  0.699889   0.76126796 0.82639873],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.19175646 0.41353837 0.5700213  0.775764  ],[0.16902705 0.745784   0.51290405 0.51702   ],[ 30.442968  58.553898 101.20807  151.03156 ],[ 13.745522  41.344795  80.59108  124.190056],[7.9215875 7.7316117 7.395687  6.9246697],[1.0636771 1.2405787 1.4806663 1.6612637],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02596787 0.027991   0.03018546 0.03244026],[0.00789723 0.00870286 0.0095457  0.01064792],[5.9241796 6.3231506 6.80688   7.316351 ],[1.771966  1.8147479 1.982061  2.1914155],[8.1855135 8.18489   8.183721  8.183097 ],[0.35638288 0.357693   0.35897014 0.36041424],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06706229 0.10156106 0.14221683 0.19522674],[0.03912855 0.0671723  0.08711853 0.12831788],[12.445212 18.943077 28.276426 40.449818],[ 3.8430495  6.9703803 12.339931  20.232775 ],[8.104005 8.075337 8.036645 7.989065],[0.64597404 0.7081388  0.77371573 0.839135  ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14047587 0.26062995 0.43428567 0.59633356],[0.09941225 0.19550987 0.36160246 0.43803033],[ 24.083181  49.931774  90.49574  141.13628 ],[  8.765003  33.86947   71.73807  116.103966],[7.8972106 7.781472  7.5697145 7.2545576],[1.0074975 1.1324017 1.3414589 1.5772415],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.03835192 0.04574146 0.05249518 0.06104033],[0.02107603 0.02736541 0.03410196 0.04252528],[4.845866  5.6030517 6.4722786 7.511715 ],[0.8008008  0.94803685 1.3160564  1.6782268 ],[8.304107 8.30146  8.298922 8.295972],[0.13218716 0.13491298 0.13803041 0.14155383],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10139836 0.2005227  0.33508027 0.44814795],[0.070223   0.16468346 0.2941453  0.31342706],[11.919142 24.759241 45.619698 73.83982 ],[ 4.11634  14.070379 31.326914 53.633816],[8.164355  8.081542  7.9633265 7.7876606],[0.45200393 0.5238319  0.63976735 0.8230729 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.36146942 0.7599849  0.88524055 0.9539433 ],[0.3373209  0.66191924 0.5390237  0.44987985],[ 54.42161 135.5244  186.96532 213.49992],[ 40.164192 101.622284 116.035866 115.65764 ],[7.992092  7.3374457 6.6509686 6.3610125],[0.7399077 1.1710609 1.5955032 1.4761475],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03429764 0.03811059 0.04213765 0.04670736],[0.01027127 0.01226629 0.01403411 0.0159421 ],[7.101    7.744653 8.496649 9.362834],[1.2718618 1.4999233 1.8693932 2.3133152],[8.25683  8.252828 8.248319 8.243571],[0.20133275 0.20341794 0.20591074 0.20850663],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08257563 0.14521758 0.23765528 0.34467912],[0.02735865 0.06119063 0.11911902 0.18370251],[17.185328 31.002857 53.435215 82.0413  ],[ 5.055488 16.13053  36.74942  62.489876],[8.147592 8.076743 7.955213 7.779382],[0.41891208 0.46719667 0.5238692  0.60315466],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.24429749 0.49034527 0.6761911  0.78322047],[0.14362557 0.25612733 0.27090028 0.2412655 ],[ 50.1472  114.53567 168.89688 209.47636],[ 31.078888  84.31038  112.493126 130.24332 ],[7.9462886 7.499311  7.0688133 6.620359 ],[0.6613957 0.8260937 0.9875733 1.2368644],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03247298 0.034687   0.037017   0.04002719],[0.00533752 0.00628624 0.0075025  0.00921992],[ 8.514765  9.05005   9.620486 10.371186],[1.1326567 1.3037204 1.5376991 1.890561 ],[8.277393 8.274698 8.271715 8.26833 ],[0.12830919 0.12971285 0.13148496 0.13358355],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,0,[0.08252999 0.13013464 0.19898298 0.27846572],[0.02457671 0.05155365 0.08923348 0.12464266],[20.687317 32.808235 50.951035 73.46266 ],[ 4.8137093 11.616121  22.390524  35.40028  ],[8.153115  8.082048  7.9794908 7.84566  ],[0.35478386 0.40497518 0.46611896 0.5437397 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,0,[0.21609464 0.42524356 0.5766106  0.67982394],[0.12040511 0.24265896 0.24884735 0.23681757],[ 52.105087 110.24114  161.0221   203.13632 ],[23.738192 61.377636 76.59647  99.583084],[7.9611487 7.532453  7.176571  6.849803 ],[0.6491522 1.0461044 1.2279049 1.2970787],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,0,[0.00914887 0.01127715 0.01302477 0.01494604],[0.00210448 0.00263887 0.00393139 0.00459843],[2.6722915 3.3015866 3.8349082 4.4097533],[0.67091113 0.8465407  1.2790183  1.5089638 ],[8.302924  8.2998085 8.29753   8.294984 ],[0.16906904 0.16947415 0.16988544 0.17037964],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,0,[0.02025834 0.03078043 0.04321177 0.057716  ],[0.00558474 0.0096665  0.01534557 0.02285469],[ 5.9679585  9.089638  12.7945    17.134619 ],[1.7152088 2.84512   4.4163857 6.736953 ],[8.2904   8.277262 8.262816 8.247935],[0.2217763  0.23225182 0.24300839 0.2547964 ],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,vanilla,0,[0.03902632 0.07732278 0.12387215 0.17574516],[0.01875321 0.05146098 0.08602995 0.11513331],[10.897644 21.307005 34.515884 49.33632 ],[ 4.2441087 13.118011  23.718857  33.731064 ],[8.232433  8.176867  8.115675  8.0556755],[0.3271443  0.3617908  0.3978537  0.44744632],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,vanilla,0,[0.01089233 0.01285942 0.01462575 0.01647117],[0.00210493 0.00263308 0.00344807 0.0037481 ],[3.2314975 3.8188012 4.3476453 4.9001417],[0.6529545  0.82333386 1.0735753  1.1588254 ],[8.29462  8.291995 8.28982  8.287747],[0.04618728 0.04722381 0.04851078 0.05002338],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,vanilla,0,[0.02269114 0.03247146 0.04448625 0.05751275],[0.00558857 0.00885469 0.01364501 0.01979394],[ 6.6787677  9.549253  13.066338  16.881014 ],[1.5776478 2.3860638 3.6092584 5.170194 ],[8.272874 8.260248 8.244889 8.229159],[0.14686675 0.16732822 0.18831542 0.20950872],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,vanilla,0,[0.03791059 0.07130653 0.11027882 0.14950754],[0.01452848 0.03794857 0.06387019 0.09343145],[11.035009 20.747429 32.286427 43.70016 ],[ 3.6532583 10.476871  17.92075   24.624468 ],[8.260393  8.2278385 8.191     8.151511 ],[0.30025294 0.34028658 0.38232058 0.43134162],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,vanilla,0,[0.01482609 0.01666759 0.01842551 0.02049962],[0.00348251 0.00385084 0.00454988 0.00501967],[4.3823423 4.9321704 5.4551845 6.076425 ],[1.0257633 1.1373432 1.3456883 1.4821662],[8.286437 8.283868 8.281563 8.279143],[0.02289581 0.02444537 0.02627242 0.02815838],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
DDK8,D,3e-07,10,False,False,TDD,vanilla,0,[0.03003913 0.03854857 0.0489465  0.06061567],[0.00873287 0.01117591 0.01374915 0.0178788 ],[ 8.808344 11.30668  14.381992 17.784735],[2.5344543 3.2308278 3.9707835 4.900902 ],[8.255997 8.244406 8.230997 8.21762 ],[0.13814498 0.15848254 0.17849408 0.20030352],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
DDK8,D,3e-07,30,False,False,TDD,vanilla,0,[0.04310876 0.06563924 0.09493382 0.12592672],[0.01926158 0.02986153 0.04364628 0.05827142],[12.581961 19.015491 27.559307 37.180084],[ 4.478961  7.138679 10.836845 17.492392],[8.264509 8.232235 8.197497 8.160151],[0.26805797 0.30440554 0.34191972 0.3726471 ],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
DDK8,A,3e-08,1,False,False,TDD,vanilla,5,[0.01302959 0.01478853 0.01687632 0.01927771],[0.00993539 0.01102889 0.01312657 0.01430702],[2.2959585 2.5980563 2.9730294 3.3956356],[0.512417   0.59184825 0.7835142  1.0441167 ],[8.32522   8.32276   8.3201065 8.317516 ],[0.19014412 0.19475286 0.1996743  0.20500737],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,5,[0.04448625 0.09041769 0.1489429  0.2102848 ],[0.0536819  0.12444837 0.20810479 0.31187856],[ 5.60112  10.491783 18.280375 29.393665],[ 1.7393752  4.916201  10.694437  20.830696 ],[8.1840725 8.161475  8.128897  8.089599 ],[0.55684525 0.6239043  0.6939118  0.76922387],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,5,[0.1855584  0.3438745  0.53970826 0.76115716],[0.3602367  0.36265984 0.4996768  0.67344236],[ 15.5702305  39.83       86.15786   136.23631  ],[  9.456857  35.3488    80.543816 128.5918  ],[7.8539715 7.716773  7.5188723 7.2033663],[1.0007133 1.1635739 1.2462337 1.5147659],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
