model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.0370612  0.03539098 0.04265671 0.05288334],[0.02974747 0.02387337 0.02846992 0.03391882],[5.9983582 6.174155  7.4632497 9.535737 ],[1.3667904 1.9178181 2.8624609 4.2219334],[8.308863 8.308017 8.302731 8.294931],[0.19028494 0.19502561 0.2002089  0.20594011],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.09618922 0.14240187 0.20499095 0.29132587],[0.08690755 0.12139451 0.19476184 0.38385776],[12.943295 20.619818 32.41636  48.065845],[ 4.4724393  8.545303  15.92026   27.687757 ],[8.152088 8.119381 8.070801 8.004062],[0.57085395 0.64572346 0.72821593 0.8210989 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.28363982 0.4321687  0.63398325 0.833911  ],[0.36753106 0.39654997 0.56867486 0.6549908 ],[ 27.5235   59.16087 105.70889 153.1889 ],[ 17.784857  50.69592   93.46487  135.2256  ],[7.776008  7.5630474 7.3141766 6.9803896],[1.0637237 1.3530878 1.378917  1.5917692],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.05159312 0.04852722 0.05212509 0.05854767],[0.02174653 0.01825126 0.02090212 0.02437957],[11.010097 10.623743 11.064942 12.214424],[4.214497  4.180725  4.4483514 5.173612 ],[8.222687 8.225833 8.225058 8.222032],[0.51305515 0.51410013 0.51570785 0.5175867 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.10546906 0.15489328 0.2114459  0.26108217],[0.07589174 0.14659992 0.22128387 0.18149655],[17.565722 24.787666 35.325413 49.58581 ],[ 5.8180957  9.828047  17.872175  29.568977 ],[8.06304   8.030438  7.9829655 7.9165173],[0.64866954 0.7042014  0.7702314  0.8472787 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.23549674 0.45118782 0.5923602  0.8107269 ],[0.28623578 0.9645024  0.6363     0.7172788 ],[ 34.46823  66.95328 110.56145 156.93999],[ 19.310984  51.286736  90.48498  127.49141 ],[7.882774  7.684082  7.338541  6.9057355],[1.0889099 1.2327306 1.437679  1.5304499],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.03637385 0.03513187 0.03847599 0.04446132],[0.01041248 0.01123153 0.01333143 0.01706439],[8.210858  7.9201417 8.628829  9.969292 ],[2.2304971 2.4527993 2.8788674 3.7443097],[8.172915 8.176142 8.174477 8.170252],[0.3579136  0.35867667 0.359899   0.36153144],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.08131339 0.11610146 0.16138549 0.22397393],[0.0483994 0.0716804 0.0976676 0.1410098],[14.635293 21.403143 31.684935 46.398052],[ 4.1612415  7.228491  14.110967  24.849749 ],[8.090683 8.056543 8.006863 7.939234],[0.6524557 0.7197727 0.7922177 0.8686785],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15747114 0.27656925 0.46052152 0.6316503 ],[0.11782515 0.21379492 0.37591967 0.48156413],[ 26.013508  52.41513   94.594475 144.70233 ],[ 10.780142  36.002953  74.011475 114.342155],[7.8799953 7.7572136 7.511473  7.180882 ],[1.0206505 1.1448611 1.3707032 1.6401685],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.05599427 0.05544624 0.06689139 0.08256641],[0.03175266 0.03202433 0.04213357 0.05500782],[ 6.593396   6.8738017  8.300275  10.527665 ],[0.995103  1.4939284 2.3172889 3.4643672],[8.294976 8.295401 8.291254 8.284433],[0.13216841 0.1349628  0.13828659 0.14234358],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.13447191 0.2303574  0.37949562 0.4961092 ],[0.08287928 0.1691164  0.33478156 0.3238567 ],[16.783743 32.416237 57.545265 89.16302 ],[ 6.947955 18.915672 39.007164 62.18134 ],[8.144402  8.053344  7.906764  7.6674943],[0.45849374 0.53531104 0.68313825 1.0025392 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.46622226 0.8660433  0.9536364  1.008298  ],[0.37950704 0.87611425 0.5801237  0.47171026],[ 87.45542 165.87634 213.2754  235.97456],[ 68.40017  115.020294 131.6036   129.21324 ],[7.768932 6.844598 6.322985 5.942555],[0.91531116 1.6350094  1.6156703  1.5809951 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.04719121 0.04587119 0.05075103 0.05863278],[0.01560929 0.01489083 0.01806436 0.02254607],[ 9.608148   9.499813  10.284696  11.7514925],[1.6722533 2.1177518 2.7197537 3.656606 ],[8.243535 8.243289 8.239121 8.232307],[0.2011734  0.20324168 0.20583582 0.20876682],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
