model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02765103 0.03186323 0.03420174 0.03856109],[0.02152123 0.02613838 0.02626607 0.02982847],[4.68354   5.510385  6.12481   6.9576573],[1.1108737 1.5497717 2.1105604 2.7415981],[8.316846 8.31294  8.309498 8.305594],[0.19014151 0.19474198 0.19983998 0.20510653],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07933852 0.13272123 0.18770176 0.2638993 ],[0.09309631 0.13982362 0.22516613 0.40285233],[ 9.43815  16.05339  25.364292 37.53957 ],[ 2.3201916  5.4701967 11.663438  21.00678  ],[8.164899 8.133173 8.089869 8.039909],[0.56568635 0.6384031  0.71437275 0.79252213],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.27130327 0.41532302 0.63636106 0.78586954],[0.5438809  0.42950782 0.62697667 0.6063331 ],[ 21.174274  48.92341   94.71189  144.36409 ],[ 10.0202    37.067307  81.45866  128.28851 ],[7.8108544 7.656576  7.4064655 7.1179943],[1.0334544 1.1935803 1.3660257 1.5390052],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04022324 0.04308399 0.04557402 0.04949719],[0.0154128  0.01588971 0.01669624 0.01909601],[ 8.6998825  9.308018   9.812316  10.548588 ],[3.1423814 3.3869674 3.7416558 4.0925164],[8.235115 8.233038 8.23185  8.230654],[0.5146558  0.5153744  0.51629364 0.5173039 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09107447 0.13824183 0.18705033 0.23684084],[0.0645965  0.12494802 0.18225347 0.17757379],[15.792245 22.345974 31.92052  44.28461 ],[ 5.1877403  8.50052   14.506351  24.527838 ],[8.080696 8.050665 8.008189 7.955187],[0.6436278  0.70161116 0.76445866 0.8292954 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.21160267 0.39170167 0.57649577 0.7461948 ],[0.2576511  0.56536335 0.580171   0.4527838 ],[ 30.639414  58.286537 102.16228  151.47717 ],[ 12.464275  43.039463  82.27813  123.17385 ],[7.9140387 7.7422814 7.4146466 6.981695 ],[1.0700226 1.2046655 1.4324707 1.570337 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02674231 0.02931263 0.03127991 0.03326733],[0.00835762 0.00937008 0.01076117 0.01205349],[6.150943  6.7247667 7.1519103 7.618759 ],[1.959474  2.1816158 2.5028536 2.822357 ],[8.184427 8.182841 8.182624 8.182232],[0.35684824 0.35811576 0.3590433  0.36058062],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06940627 0.10444043 0.14649707 0.19925827],[0.0405881  0.07004871 0.09264509 0.13613926],[12.886716 19.34697  29.018976 41.194225],[ 4.2089467  7.168539  12.389312  20.636114 ],[8.101637  8.073126  8.033581  7.9835577],[0.6475893  0.71068543 0.77682644 0.8441943 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14268076 0.26651764 0.44216502 0.612726  ],[0.09695998 0.20682862 0.37498665 0.49637356],[ 24.609543  50.514305  92.80627  144.29442 ],[  8.987411  36.261997  75.90468  122.15846 ],[7.8937464 7.7741466 7.5502357 7.2433314],[1.0111907 1.1545836 1.411991  1.5879642],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04225685 0.04753328 0.05410189 0.06183353],[0.02281905 0.02565258 0.03458786 0.04230969],[5.2000628 6.0677137 6.8140283 7.8250914],[0.838055  1.0845249 1.5248818 1.9170126],[8.3027935 8.300341  8.298116  8.2953205],[0.13223626 0.13496433 0.13815057 0.14179091],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
