model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.04567409 0.06086852 0.08647936 0.121323  ],[0.01458909 0.02137361 0.03504141 0.05794037],[ 9.036513 12.010265 17.132776 24.154503],[ 2.6224182  4.243113   7.5248194 12.658073 ],[8.272376 8.260914 8.239899 8.210796],[0.28988928 0.30330122 0.3183007  0.33418384],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.06787119 0.1182864  0.19033998 0.27941543],[0.02865123 0.07792474 0.1372093  0.18763086],[11.635947 19.94626  34.067112 54.54269 ],[ 3.8196216  9.683613  20.75389   37.122223 ],[8.146106  8.10447   8.02642   7.8981295],[0.40370196 0.4271757  0.47772112 0.57718736],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.08382051 0.17650849 0.30479774 0.44180506],[0.04359231 0.12838493 0.22506069 0.2994039 ],[14.958534 32.303543 61.32057  97.016716],[ 5.474809 22.46015  50.9174   76.687386],[8.1834755 8.106317  7.938989  7.6521297],[0.45628515 0.496726   0.61090386 0.89993614],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.11844229 0.26546514 0.4448919  0.57872593],[0.07087299 0.18497689 0.27703422 0.29861227],[ 19.074677  46.74907   88.524445 130.34988 ],[ 8.824779 31.498344 61.88229  86.48145 ],[8.074566  7.9212127 7.584048  7.1940804],[0.45186827 0.56660795 0.89285684 1.1760963 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.14644755 0.35229328 0.5716074  0.71162796],[0.10384826 0.25625035 0.36927834 0.36724368],[ 26.636293  73.73747  133.98828  182.53392 ],[ 14.454672  54.513966  95.33787  118.86369 ],[8.177057  7.8804736 7.3083673 6.7733192],[0.574978  0.7919543 1.2987881 1.5674901],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.22078083 0.5968073  0.8193746  0.919463  ],[0.13794604 0.42024446 0.49741748 0.3792039 ],[ 40.02856 121.35616 190.34702 239.59633],[ 27.193872  93.762794 130.53166  149.80803 ],[7.9299335 7.275521  6.487807  6.06083  ],[0.6139751 1.0551412 1.5974803 1.6575991],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.26902455 0.6563366  0.8997446  0.9425869 ],[0.20926024 0.42435384 0.5270793  0.34144524],[ 49.19496 138.99951 202.76067 239.67406],[ 39.19752  106.308136 127.898674 129.20782 ],[7.838806  6.9520855 6.246806  5.800808 ],[0.68927985 1.4641646  1.6289548  1.6411418 ],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.31807625 0.66043043 0.83868325 0.93473953],[0.32408962 0.48847803 0.41135803 0.29135123],[ 61.714306 152.79366  212.99467  256.40198 ],[ 57.81841 126.93839 136.21878 143.85289],[7.9418945 7.07343   6.3179207 5.956632 ],[0.7061486 1.4269724 1.7176353 1.5679548],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.3403374  0.71606714 0.89498156 1.0019908 ],[0.24328975 0.4699344  0.4578673  0.34565035],[ 64.15325 159.45674 214.49632 253.48416],[ 58.111195 121.51978  128.98161  127.190384],[7.8068657 6.802698  6.1134973 5.5043583],[0.6997763 1.5292895 1.6752912 1.6811423],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.56048155 0.99032885 1.1495507  1.2313569 ],[0.49170542 0.6778924  0.6252751  0.6018735 ],[108.864525 207.16512  261.33276  288.2707  ],[ 90.60679 139.64384 140.64252 134.79881],[7.5583186 6.614853  5.819064  5.479891 ],[1.0847645 1.5385927 1.7334366 1.656602 ],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
