model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
GRU,A,3e-08,1,False,False,TDD,vanilla,0,[0.05943213 0.06981138 0.08201462 0.10489938],[0.07289724 0.08111158 0.08854975 0.08976705],[ 7.995413 10.434537 15.71258  25.85153 ],[ 3.8108823  5.763092  10.292587  16.45111  ],[8.300308 8.289823 8.276616 8.260305],[0.1892779  0.19312161 0.19581412 0.19945449],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
GRU,A,3e-08,10,False,False,TDD,vanilla,0,[0.1177155  0.22949582 0.36374322 0.46867085],[0.11769843 0.20713405 0.40617472 0.39077422],[ 17.948084  44.434593  75.147385 111.41413 ],[11.749636 30.721672 46.60888  66.647964],[8.138695 8.071912 7.978587 7.864549],[0.57180667 0.646785   0.7352165  0.83930194],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
GRU,A,3e-08,30,False,False,TDD,vanilla,0,[0.52016836 0.7815136  0.9397255  1.1118339 ],[0.6989035  0.48724973 0.52267486 0.71223104],[ 88.64686 165.20409 216.13858 248.65764],[ 97.674614 144.9272   166.6803   192.57129 ],[7.66076   7.105412  6.8229656 6.5134478],[1.0828627 1.5595577 1.5162778 1.8163406],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
GRU,A,1e-07,1,False,False,TDD,vanilla,0,[0.05861947 0.07132394 0.08526784 0.11623432],[0.05178692 0.06574861 0.06379387 0.0661789 ],[11.177445 14.058883 21.118853 34.94247 ],[ 7.28298    9.6644745 16.729618  26.30639  ],[8.227176 8.218522 8.209109 8.196643],[0.51565576 0.5148494  0.51238793 0.5096834 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
GRU,A,1e-07,10,False,False,TDD,vanilla,0,[0.10916302 0.21609992 0.33325484 0.48297969],[0.11173894 0.20303066 0.2938848  0.3713768 ],[ 21.577303  48.18949   79.633095 123.937836],[ 16.452595  42.326168  67.1157   100.89267 ],[8.077365  8.018289  7.932381  7.7856603],[0.6450412  0.71029484 0.78537685 0.8738496 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
GRU,A,1e-07,30,False,False,TDD,vanilla,0,[0.408952   0.72697556 0.85527384 0.9658444 ],[0.2740304  0.46881142 0.32035846 0.28196672],[115.0436  201.36197 240.04431 260.91068],[116.08454 185.08144 208.90689 209.27415],[7.8207355 7.2441583 6.8841395 6.456418 ],[1.0615354 1.3958457 1.5743716 1.5763826],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
GRU,A,3e-07,1,False,False,TDD,vanilla,0,[0.05953726 0.07948303 0.12136423 0.18577704],[0.0157874  0.0229568  0.03158293 0.03984192],[17.599865 24.389338 40.108925 62.38846 ],[ 6.91492  10.698427 17.256256 24.411516],[8.162739 8.147784 8.130004 8.111251],[0.35668036 0.35652575 0.35478672 0.353667  ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
GRU,A,3e-07,10,False,False,TDD,vanilla,0,[0.17980957 0.31565964 0.42524695 0.5988263 ],[0.09959316 0.18789896 0.20268647 0.25614882],[ 55.35398   96.416214 133.0938   187.82388 ],[ 40.08573  71.96584  86.80066 115.05424],[8.048987  7.9401445 7.8103156 7.6528583],[0.64975834 0.7331999  0.8198114  0.9262617 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
GRU,A,3e-07,30,False,False,TDD,vanilla,0,[0.621826   0.81839293 0.9252941  1.0366397 ],[0.34134248 0.31050673 0.3292023  0.31429696],[196.87659 255.19461 279.2714  315.50232],[165.7976  196.23015 197.44992 216.36018],[7.103099  6.7747993 6.61612   6.15256  ],[1.43012   1.4957393 1.504115  1.6097052],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
GRU,C,3e-08,1,False,False,TDD,vanilla,0,[0.0814096  0.10770983 0.12339561 0.15074171],[0.05137098 0.0787769  0.07629357 0.08095865],[ 9.9409485 14.097352  21.860907  35.287403 ],[ 3.9895773  6.3283286 11.062991  15.873957 ],[8.28109   8.2655525 8.244521  8.218348 ],[0.13236997 0.1346992  0.13839774 0.14427443],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
