model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02498505 0.02941222 0.03339254 0.03843441],[0.01997088 0.02385553 0.02582609 0.02932162],[4.2683372 4.913674  5.7244368 6.6972256],[1.0503427 1.3701423 1.853604  2.5389657],[8.318274 8.314297 8.310513 8.30565 ],[0.19003023 0.19461541 0.19950059 0.20476131],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07642517 0.13324428 0.1905221  0.25076973],[0.08520249 0.1564975  0.23502032 0.29795113],[ 9.172807 15.870179 24.995705 37.077465],[ 2.2087362  5.78123   11.846904  21.719954 ],[8.166809  8.1342945 8.092858  8.042024 ],[0.56487507 0.63711035 0.71252877 0.79195845],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2748157  0.4281338  0.5992393  0.78880745],[0.5230495  0.5353717  0.54239506 0.57953084],[ 20.339258  45.820805  88.7425   142.06932 ],[  8.973722  33.669586  76.46537  126.36204 ],[7.8162913 7.665089  7.420597  7.1281033],[1.0282923 1.1818794 1.3452803 1.5375787],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03681621 0.0401676  0.04421233 0.04842424],[0.01261272 0.01441266 0.01648133 0.01902279],[ 8.094334  8.678902  9.407171 10.185696],[3.0236204 3.240544  3.5672927 4.0189133],[8.236714 8.234837 8.232497 8.230111],[0.51449627 0.5153077  0.51564497 0.5165638 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.0868394  0.13627554 0.18542488 0.22571316],[0.06203569 0.14209835 0.21255171 0.17248847],[14.92555  21.368746 30.743738 42.312332],[ 4.894431  8.141762 14.499262 23.626968],[8.083935 8.054173 8.015326 7.964936],[0.6427367  0.69811106 0.76006883 0.8238897 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.20284413 0.40972674 0.58109623 0.7872052 ],[0.20352611 0.77253455 0.56633407 0.55289376],[ 30.572468  59.140087 101.54812  151.64633 ],[ 13.090726  44.11502   83.43274  125.09143 ],[7.9141035 7.738314  7.39728   6.943933 ],[1.0714242 1.2161523 1.4703556 1.6456403],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02497877 0.02726139 0.02967678 0.03228002],[0.00748745 0.00854375 0.0095087  0.0107223 ],[5.7281356 6.191529  6.723653  7.307541 ],[1.7275965 1.8337846 1.9643623 2.2447193],[8.186929 8.185803 8.184533 8.183155],[0.3564072  0.35766992 0.35906127 0.3605702 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06588859 0.09947626 0.14004302 0.19226938],[0.03880776 0.06450169 0.08617154 0.13024588],[12.120306 18.525023 27.657759 39.674007],[ 3.7969663  6.73943   12.058465  20.01888  ],[8.106058  8.077997  8.041676  7.9927974],[0.6452184  0.70658344 0.7701998  0.8357913 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14098558 0.26089105 0.43341035 0.6047617 ],[0.09884915 0.19986644 0.34530428 0.47660574],[ 23.85091   49.280308  89.48022  140.72864 ],[  8.227378  34.256725  68.66335  114.15637 ],[7.896964  7.7805443 7.5738826 7.245254 ],[1.0099589 1.1409417 1.3569689 1.6074069],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.03843015 0.04603847 0.05468495 0.06370337],[0.02091547 0.02876231 0.03848789 0.05217465],[4.784052  5.5707593 6.507529  7.623865 ],[0.7848542 1.01967   1.3912708 1.9082453],[8.30402   8.301447  8.2986965 8.295015 ],[0.13234559 0.1351035  0.13826628 0.14195108],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.09988665 0.19682246 0.33372837 0.4348395 ],[0.06682893 0.16079955 0.29700047 0.29275346],[11.594638 24.173927 45.09351  73.68948 ],[ 3.8042214 13.23851   30.860058  53.492508 ],[8.165394 8.085566 7.969376 7.799707],[0.45251432 0.5221446  0.6379698  0.81298435],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.36762235 0.7212051  0.8731831  0.9685364 ],[0.34994468 0.61227953 0.47943324 0.45097965],[ 54.975044 135.25433  186.24814  217.48988 ],[ 41.161335 102.51735  112.10456  121.9253  ],[7.986467  7.314118  6.7110577 6.3419304],[0.7426348 1.2591796 1.4148462 1.4701927],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03391858 0.03766131 0.04259614 0.0477682 ],[0.01045501 0.01230485 0.01506379 0.01748837],[6.974938 7.625021 8.504057 9.511615],[1.2905539 1.5702176 1.9658462 2.6056442],[8.257296 8.253172 8.248082 8.242676],[0.20104215 0.20324777 0.20552449 0.20797765],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08204369 0.1440862  0.23590791 0.3432199 ],[0.02779675 0.06295115 0.12330645 0.18721943],[17.046501 30.664173 53.37211  82.163185],[ 5.1502857 16.393381  38.2707    65.405334 ],[8.148328 8.078987 7.958456 7.78196 ],[0.4195886  0.468061   0.5269141  0.61205244],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.2570629  0.48802105 0.68271303 0.7911495 ],[0.1615543  0.2583881  0.27780035 0.25238228],[ 52.203243 114.26119  168.76765  210.38885 ],[ 34.01819  83.41369 113.03933 128.3225 ],[7.9303    7.4970274 7.003427  6.4920897],[0.6754432 0.8317487 1.0803457 1.3708935],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
