model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,phase,10.0,[0.00907978 0.00923567 0.01022269 0.0115038 ],[0.00223461 0.00252717 0.00339159 0.00454985],[2.5027945 2.5635746 2.8584375 3.2012453],[0.5351537 0.5913201 0.8360104 1.0823809],[8.3281355 8.3263645 8.324493  8.322539 ],[0.19013174 0.19466788 0.19956611 0.20483857],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,phase,10.0,[0.02902061 0.06661259 0.11367413 0.18171248],[0.02794612 0.08341822 0.13086286 0.29598203],[ 5.015878  9.626286 16.957144 27.75663 ],[ 2.0347304  5.43424   10.910154  21.252115 ],[8.192142 8.174139 8.148904 8.115711],[0.5520465  0.6157753  0.681179   0.75002134],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,phase,10.0,[0.1680909 0.2904672 0.4914796 0.6777072],[0.2873484  0.29018217 0.43669966 0.54910195],[ 15.0990505  38.661137   81.69769   134.24377  ],[  9.6397505  35.13668    78.66086   128.06232  ],[7.8624077 7.7432337 7.538883  7.2726345],[0.9917734 1.1282694 1.2490978 1.4479141],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,phase,10.0,[0.01594585 0.01598974 0.01650662 0.01734936],[0.00163639 0.00152763 0.00222555 0.00288027],[4.6336184 4.7137394 4.836834  5.0709667],[1.4895337 1.5722574 1.678091  1.8274047],[8.2557   8.255804 8.255845 8.255984],[0.515239   0.51565784 0.5162283  0.5171002 ],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,phase,10.0,[0.03272929 0.05887772 0.09558651 0.12741162],[0.01392009 0.04755642 0.12343118 0.09848587],[ 7.303485 11.134932 17.118332 26.332298],[ 2.810503   5.1638165 10.573706  19.34277  ],[8.126335 8.111853 8.09056  8.060454],[0.62682086 0.6756214  0.72893924 0.78322077],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,phase,10.0,[0.10509205 0.32373628 0.4429518  0.65965515],[0.09759332 1.1086363  0.50125736 0.50073725],[ 17.974483  42.245052  83.67956  134.06386 ],[ 10.987888  40.07213   81.53635  123.79545 ],[8.004338  7.875212  7.578495  7.1744857],[1.0025947 1.111154  1.3693151 1.5368316],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,phase,10.0,[0.00889296 0.00907878 0.00944651 0.00999707],[0.00302804 0.00309066 0.00324728 0.00347807],[2.4184294 2.4949806 2.6070962 2.773786 ],[0.9443621 0.9717611 1.018727  1.0931994],[8.205867 8.206421 8.207066 8.207712],[0.35379815 0.35500008 0.356346   0.3577819 ],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,phase,10.0,[0.02134839 0.03945919 0.06568002 0.10309497],[0.0087735  0.02188606 0.04133736 0.07280461],[ 4.9864683  8.488193  14.0292225 22.39856  ],[ 2.0508623  3.908647   7.686401  14.45056  ],[8.151444 8.13821  8.119972 8.093851],[0.6225767  0.675457   0.72746104 0.77924025],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,phase,10.0,[0.06361588 0.1547854  0.30857968 0.4952612 ],[0.04544675 0.12733722 0.24273412 0.3809499 ],[ 11.836954  31.135944  67.3958   119.0013  ],[  5.7667747  28.889435   63.325104  110.75276  ],[7.984735  7.9165645 7.766815  7.491143 ],[0.9378322 1.0287336 1.1873333 1.4095465],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,phase,10.0,[0.01131982 0.01200611 0.01388968 0.01646759],[0.00235555 0.00320198 0.00515927 0.00767937],[2.733634  2.856054  3.19071   3.6181674],[0.48861423 0.5050695  0.660846   0.8442635 ],[8.31619  8.316134 8.315899 8.315417],[0.13164143 0.13404432 0.13685699 0.14000851],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
