model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,2e-07,12,True,False,TDD,vanilla,0,[0.1291236  0.2699379  0.4614671  0.62649953],[0.05983105 0.17156872 0.31504694 0.3924252 ],[ 27.289984  57.08902   99.46489  140.72069 ],[10.691732 32.661015 64.431015 85.24788 ],[7.9631524 7.74447   7.334043  6.850368 ],[0.4881302 0.6459837 1.0357583 1.454743 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,5,[0.0835836  0.20928258 0.39171216 0.5533344 ],[0.04798138 0.16009119 0.3089985  0.38744906],[ 17.37703   43.407818  83.214714 123.14001 ],[ 8.266517 30.06474  62.571205 84.34911 ],[8.023474  7.8435097 7.482851  7.0233626],[0.4724054 0.6078972 0.9668786 1.4126637],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,10,[0.05775087 0.17353179 0.34920797 0.5044631 ],[0.03967708 0.15369746 0.3061893  0.386077  ],[ 11.95701   35.658123  74.05977  113.0022  ],[ 6.6447477 28.479012  61.86043   84.133095 ],[8.054922  7.895712  7.5595512 7.114144 ],[0.46332043 0.5851536  0.93117094 1.3968533 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,15,[0.04532353 0.15542375 0.33049983 0.48385084],[0.03510525 0.15038164 0.30824044 0.388928  ],[  9.387707  31.769905  69.89421  108.433945],[ 5.9234242 27.933983  62.223892  84.680504 ],[8.070178  7.921978  7.593545  7.1566143],[0.45849743 0.5737789  0.91750485 1.383196  ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,20,[0.03969695 0.14517362 0.31804717 0.4688422 ],[0.03312317 0.14752    0.30836833 0.38907373],[  8.215578  29.601885  67.09858  105.08185 ],[ 5.570521 27.37676  61.98811  84.472824],[8.077078 7.936423 7.614375 7.18468 ],[0.45630836 0.5667342  0.90999043 1.3796319 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,25,[0.03731386 0.14023618 0.3117723  0.4616699 ],[0.03241974 0.14646842 0.30799335 0.38977832],[  7.7529473  28.619793   65.814476  103.53003  ],[ 5.469315 27.20769  62.044445 84.74883 ],[8.079871  7.9431458 7.624128  7.2018375],[0.45538306 0.5632157  0.90623915 1.36783   ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.15264358 0.33337379 0.5130307  0.64304316],[0.07700316 0.22426915 0.3191347  0.31712586],[ 34.028366  76.97139  126.99533  170.31432 ],[ 15.394286  51.64629   86.64807  104.23808 ],[8.012119 7.724477 7.293258 6.892831],[0.5395785 0.7300088 1.0909026 1.3084853],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,5,[0.10523973 0.2751069  0.4452599  0.5748286 ],[0.07046696 0.22895831 0.32684153 0.32389814],[ 23.021313  63.015453 110.33929  153.53574 ],[ 13.859807  51.933456  87.53162  105.97669 ],[8.075563  7.8173847 7.4315352 7.063152 ],[0.524413   0.71278924 1.0729868  1.284823  ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,10,[0.07984453 0.2472248  0.4154451  0.5450116 ],[0.06685532 0.23521014 0.3391712  0.33642143],[ 17.308344  56.14956  102.806786 146.16133 ],[ 13.15224  52.90165  89.76686 108.26054],[8.1082945 7.8636155 7.4936104 7.1453853],[0.51586974 0.70178145 1.0666176  1.2652555 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,15,[0.06764214 0.23373339 0.40275756 0.53019136],[0.06471719 0.23994087 0.34935087 0.34287125],[ 14.61251  52.74207  99.27048 142.74792],[ 12.817664  53.624474  90.80901  109.53614 ],[8.123456 7.885093 7.51993  7.174537],[0.512125  0.6978762 1.0629196 1.2682909],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
