model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02651529 0.02824315 0.03266088 0.03650417],[0.02335527 0.02469359 0.02731207 0.03254544],[4.2667284 4.634869  5.318638  5.7527604],[0.95467174 1.1409339  1.4073082  1.6456932 ],[8.317637 8.315133 8.311438 8.308366],[0.1900125  0.19458722 0.19960341 0.2049129 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07397387 0.13115567 0.1948534  0.29118064],[0.07556042 0.15439418 0.26649603 0.5434224 ],[ 8.563535 14.203191 22.072594 32.16484 ],[ 1.981945   4.8796096 10.0428915 17.636267 ],[8.1671295 8.138013  8.099181  8.053853 ],[0.56455487 0.63618135 0.7108538  0.79192954],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2756937 0.4825111 0.718931  1.0139616],[0.5034304  0.65159726 0.8406109  1.0289627 ],[ 18.300316  40.397427  78.91067  128.29048 ],[  7.9733453  30.175056   68.973526  116.411    ],[7.8171186 7.682581  7.479841  7.1501527],[1.0367818 1.2055743 1.3003043 1.5638514],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03706999 0.03925224 0.04317887 0.04568361],[0.01356116 0.01401668 0.01699406 0.01827656],[7.8741455 8.345222  8.923287  9.329922 ],[2.9441597 3.1206236 3.2583444 3.4350443],[8.23544  8.234078 8.232345 8.231491],[0.5140206  0.5144654  0.51551205 0.51652074],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08876768 0.13699774 0.19850971 0.23414205],[0.07258748 0.14994797 0.29903293 0.22600473],[14.250355 19.916096 27.80775  37.7639  ],[ 4.462971   7.1465206 11.72579   19.321983 ],[8.081084  8.053686  8.014777  7.9695683],[0.64362913 0.700766   0.76511335 0.83000356],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.21456982 0.47808024 0.6815456  0.9437139 ],[0.2615399 1.1431808 0.9444854 0.8733557],[ 29.498634  52.921844  89.493515 137.75897 ],[ 11.621126  35.199024  65.727486 108.17411 ],[7.9122553 7.749148  7.4450417 7.032338 ],[1.0730286 1.2112298 1.442378  1.6349518],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.0252137  0.02674176 0.02931054 0.03117969],[0.00773762 0.00830809 0.00950165 0.01073542],[5.6815376 6.026692  6.5783687 6.9321218],[1.660875  1.7237376 1.8736085 1.9897988],[8.186657 8.186278 8.184992 8.184837],[0.3564514  0.35765618 0.35891467 0.36038676],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06786373 0.10052527 0.13776495 0.18986073],[0.04372517 0.07660241 0.09571062 0.15072455],[12.133209 17.665892 25.708006 36.02888 ],[ 3.6596692  6.1192327 10.571041  17.498592 ],[8.104769  8.079371  8.043521  7.9995728],[0.64630336 0.70674396 0.76789016 0.8280187 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14651024 0.2698095  0.46840343 0.65690196],[0.11001775 0.2402478  0.48943236 0.66026974],[ 23.580236  45.36523   79.86918  125.227615],[ 8.189222 27.927208 54.26013  95.13531 ],[7.8945894 7.7931576 7.5837994 7.291029 ],[1.0115417 1.1200258 1.347696  1.6053017],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04026809 0.0444092  0.05213513 0.05914694],[0.02353181 0.02677998 0.03535591 0.04529706],[4.771352  5.2587233 6.0857906 6.697829 ],[0.7403683  0.89956754 1.1010858  1.4080275 ],[8.303357  8.3021145 8.299588  8.297611 ],[0.13236094 0.13511853 0.13847022 0.14207649],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
