model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.15264358 0.33337379 0.5130307  0.64304316],[0.07700316 0.22426915 0.3191347  0.31712586],[ 34.028366  76.97139  126.99533  170.31432 ],[ 15.394286  51.64629   86.64807  104.23808 ],[8.012119 7.724477 7.293258 6.892831],[0.5395785 0.7300088 1.0909026 1.3084853],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,5,[0.10523973 0.2751069  0.4452599  0.5748286 ],[0.07046696 0.22895831 0.32684153 0.32389814],[ 23.021313  63.015453 110.33929  153.53574 ],[ 13.859807  51.933456  87.53162  105.97669 ],[8.075563  7.8173847 7.4315352 7.063152 ],[0.524413   0.71278924 1.0729868  1.284823  ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,10,[0.07984453 0.2472248  0.4154451  0.5450116 ],[0.06685532 0.23521014 0.3391712  0.33642143],[ 17.308344  56.14956  102.806786 146.16133 ],[ 13.15224  52.90165  89.76686 108.26054],[8.1082945 7.8636155 7.4936104 7.1453853],[0.51586974 0.70178145 1.0666176  1.2652555 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,15,[0.06764214 0.23373339 0.40275756 0.53019136],[0.06471719 0.23994087 0.34935087 0.34287125],[ 14.61251  52.74207  99.27048 142.74792],[ 12.817664  53.624474  90.80901  109.53614 ],[8.123456 7.885093 7.51993  7.174537],[0.512125  0.6978762 1.0629196 1.2682909],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,20,[0.06198495 0.22559883 0.3947808  0.5227117 ],[0.06291261 0.24039166 0.3511405  0.34590173],[ 13.3945875  50.82263    97.19514   140.8299   ],[ 12.552866  53.78791   91.16796  110.19513 ],[8.130496 7.897419 7.536342 7.194508],[0.5100579 0.6956393 1.0601053 1.2642741],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,25,[0.05999659 0.22269194 0.39131173 0.5189607 ],[0.06266159 0.24190515 0.35336998 0.34849325],[ 12.953374  50.08772   96.3162   139.86676 ],[ 12.461752  53.87503   91.42534  110.43562 ],[8.133032  7.901995  7.542492  7.2010374],[0.50947815 0.6957142  1.0611252  1.2695316 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,21,True,False,TDD,vanilla,0,[0.25383973 0.5842915  0.8153471  0.95617247],[0.15738003 0.38949862 0.47057974 0.45082706],[ 57.894344 138.44366  195.98566  237.30334 ],[ 33.876957  87.670166 106.41041  111.96557 ],[7.8681    7.176601  6.392877  5.8995423],[0.53822273 0.97893536 1.4428279  1.4630451 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
DDK8,B,2e-07,21,True,False,TDD,vanilla,5,[0.20598547 0.5374777  0.7630626  0.9141541 ],[0.15963727 0.400679   0.47663814 0.46941575],[ 46.70068 127.04332 184.49245 227.55191],[ 34.50736  90.6569  110.1466  117.62241],[7.9411592 7.2820373 6.5185204 6.049062 ],[0.5190679 0.9462521 1.4492756 1.4751229],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
DDK8,B,2e-07,21,True,False,TDD,vanilla,10,[0.18177848 0.517435   0.7413681  0.8898471 ],[0.16523725 0.41118884 0.4847601  0.46988258],[ 41.06833  122.266045 179.49533  222.544   ],[ 35.260235  93.47597  113.349846 120.818855],[7.9754024 7.3174553 6.5691967 6.1097383],[0.51144326 0.94530404 1.4461925  1.4715451 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
DDK8,B,2e-07,21,True,False,TDD,vanilla,15,[0.16812134 0.50691605 0.73175085 0.8803346 ],[0.16317438 0.41383773 0.49020907 0.47718602],[ 37.950806 119.77658  177.42514  220.44768 ],[ 34.89259  94.06687 114.80508 122.30418],[7.994223  7.339026  6.5888658 6.1352673],[0.5046875  0.93686646 1.4481298  1.4824411 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
