model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
LSGAINS,A,3e-08,1,False,False,TDD,vanilla,0,[0.6027295  0.50702345 0.3879768  0.40751132],[0.48679078 0.33766162 0.19119607 0.18893771],[ 93.28592   94.67435   94.259705 103.86196 ],[20.182064 29.767847 41.814243 46.84492 ],[7.8846846 7.9484725 8.130982  8.14228  ],[0.20581877 0.20847699 0.20622124 0.21152571],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
LSGAINS,A,3e-08,10,False,False,TDD,vanilla,0,[1.2931954 1.5140098 1.4640274 1.3881046],[1.0529386 1.2205006 1.1266854 0.7122618],[201.39035 287.1693  328.32648 336.3949 ],[ 70.013695 120.70781  149.05875  166.58182 ],[7.2847114 6.8747487 6.398678  6.8439116],[0.90290976 1.1236628  1.5917647  1.2544429 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
LSGAINS,A,3e-08,30,False,False,TDD,vanilla,0,[3.0490398 2.3222637 1.5949434 1.5112259],[5.3249693  2.9186213  0.95042115 0.8390923 ],[345.83975 325.86032 313.4076  320.4572 ],[242.85652 238.31277 197.32288 212.76709],[6.2381415 6.3797545 5.647587  5.6433387],[1.8859421 1.6988719 2.0012834 1.831876 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
LSGAINS,A,1e-07,1,False,False,TDD,vanilla,0,[0.5523026  0.4654744  0.35719848 0.37717664],[0.36612052 0.25305364 0.15221086 0.15520729],[91.87337 90.74465 87.58033 96.73471],[31.54121  36.006542 44.022053 49.198387],[7.8094416 7.875212  8.061205  8.07351  ],[0.5286208  0.52929586 0.52455544 0.52488977],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
LSGAINS,A,1e-07,10,False,False,TDD,vanilla,0,[1.0614556 1.2903806 1.3155799 1.3617871],[0.8286374 0.8838707 0.6485216 0.6690205],[192.24005 276.20486 328.5538  346.0682 ],[ 79.061584 135.97328  177.56737  199.82826 ],[7.220274  6.8407135 6.681591  6.8929043],[0.9057078 1.1334324 1.5011493 1.313536 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
LSGAINS,A,1e-07,30,False,False,TDD,vanilla,0,[2.103937  1.8317908 1.5051761 1.499497 ],[2.390151  1.2993903 0.8973869 0.8650298],[410.42224 386.9589  341.88855 340.03186],[283.63113 270.97897 210.18266 219.1966 ],[6.577381  6.4156327 5.688728  5.4793854],[1.7143549 1.7765105 1.9451251 1.8404814],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
LSGAINS,A,3e-07,1,False,False,TDD,vanilla,0,[0.39847904 0.37190107 0.3338718  0.3620655 ],[0.09914688 0.10036241 0.12299079 0.13597539],[ 92.40022   94.147354  94.376076 104.33775 ],[24.071487 33.216957 45.020947 50.32549 ],[7.724095 7.794287 7.99378  8.008165],[0.38969323 0.38868648 0.37846163 0.37963924],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
LSGAINS,A,3e-07,10,False,False,TDD,vanilla,0,[0.8650121 1.0952473 1.1659459 1.2145392],[0.43487805 0.49187744 0.4079098  0.45118955],[195.58505 280.50507 331.9997  351.78696],[ 80.36199 133.14519 165.55801 188.2214 ],[7.2736683 6.9470634 6.71635   6.921835 ],[0.9179386 1.1476567 1.496525  1.2833836],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
LSGAINS,A,3e-07,30,False,False,TDD,vanilla,0,[1.6163127 1.4726088 1.3232349 1.2349274],[0.6965504  0.7254262  0.4709218  0.50793046],[413.041   385.38013 362.55664 340.75516],[266.17477 282.77304 190.93895 194.56503],[6.3592033 6.520523  5.5767064 5.572769 ],[1.6845971 1.6623228 1.7169536 1.6630125],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
LSGAINS,C,3e-08,1,False,False,TDD,vanilla,0,[0.8323084  0.67368555 0.4715331  0.48547402],[0.5100151  0.37383902 0.205143   0.20217061],[ 93.1349    95.04294   95.193504 105.08273 ],[13.645736 21.7292   32.024277 35.900513],[7.86577   7.9254217 8.103493  8.112817 ],[0.14696184 0.14956358 0.14737344 0.1517346 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
