model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
LSGAINS,B,5e-08,3,True,False,TDD,vanilla,0,[0.7073874  0.8257431  0.93927974 1.0686601 ],[0.2183804  0.27889583 0.38777366 0.4602801 ],[145.07439 198.52237 253.12823 290.5022 ],[ 44.830204  83.31502  123.905785 146.25497 ],[7.661964  7.6152754 7.7815924 7.7653413],[0.37225813 0.42549697 0.42178875 0.45304143],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
LSGAINS,B,5e-08,6,True,False,TDD,vanilla,0,[0.88172483 1.0677099  1.1871364  1.3057027 ],[0.3077602  0.34220433 0.355421   0.39511514],[170.01192 243.81894 307.61304 340.65335],[ 53.317875  90.824455 121.08276  133.15683 ],[7.301436  6.93307   6.771049  6.6973443],[0.5576714 0.75595   1.0213073 1.0657167],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
LSGAINS,B,5e-08,9,True,False,TDD,vanilla,0,[0.95772815 1.2034361  1.2977501  1.3475057 ],[0.33946013 0.30892435 0.270672   0.30695528],[207.5699  303.0973  360.34433 375.36325],[ 54.858482  89.494606 110.823616 123.942184],[7.233001  6.6038365 5.8751125 6.0765014],[0.6996064 0.9523505 1.4528457 1.32097  ],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
LSGAINS,B,5e-08,12,True,False,TDD,vanilla,0,[1.1969515 1.4505771 1.3652898 1.352822 ],[0.53861785 0.6412027  0.3130576  0.33907712],[237.5628  331.9301  350.49023 349.09338],[108.5718  147.47345 129.91786 135.84988],[7.094053 6.48672  5.821629 5.501852],[0.71842605 1.0665737  1.3065788  1.4013131 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
LSGAINS,B,5e-08,15,True,False,TDD,vanilla,0,[1.3592741 1.5889404 1.2926407 1.1945733],[0.5602011  0.53439146 0.29110017 0.30947852],[330.50388 429.7387  366.95956 339.05624],[165.21753 194.77797 132.96112 127.30456],[7.250967 6.677868 5.836432 5.219677],[0.82912856 1.0707538  1.3461317  1.4226146 ],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
LSGAINS,B,5e-08,18,True,False,TDD,vanilla,0,[1.4415675 1.6443412 1.3062525 1.2735251],[0.50143415 0.48928005 0.3045877  0.37882623],[310.8159  390.44196 343.06836 347.11374],[146.07855 163.35976 134.58618 155.19168],[6.7788386 5.9137034 5.2557707 4.9751263],[0.96671766 1.4102072  1.5099596  1.4276481 ],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
LSGAINS,B,5e-08,21,True,False,TDD,vanilla,0,[1.577762  1.6689824 1.3087945 1.2890135],[0.59251505 0.4486912  0.2840558  0.31580073],[343.55878 389.1954  329.3531  339.40808],[157.08034 147.61705 131.9206  134.36018],[6.641722  5.850337  5.1762333 4.8093476],[1.0370338 1.2727945 1.242041  1.3263575],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
LSGAINS,B,5e-08,24,True,False,TDD,vanilla,0,[1.5722556 1.5891411 1.2933356 1.2194269],[0.5714766  0.44255397 0.20645602 0.21361253],[385.19476 415.53043 361.88538 351.8285 ],[189.99954 169.45079 128.39749 138.70401],[6.6733828 6.020409  5.200863  4.9714694],[1.1695888 1.330219  1.2789844 1.2074339],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
LSGAINS,B,5e-08,27,True,False,TDD,vanilla,0,[1.7984658 1.6412902 1.3030199 1.239849 ],[0.73762625 0.62840635 0.34214112 0.26382452],[393.807   374.54938 337.92072 328.0469 ],[188.255   163.156   148.0696  143.17589],[6.383197  5.7907057 4.9201174 4.7600083],[1.1025964 1.3937786 1.4746226 1.4097344],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
LSGAINS,B,5e-08,33,True,False,TDD,vanilla,0,[1.8272505 1.6312958 1.3256749 1.2578596],[0.6096063  0.5777031  0.2901125  0.28991362],[447.39648 392.9012  351.73767 338.6005 ],[203.5158  191.16429 144.77701 147.8811 ],[6.2340465 5.718195  4.911162  4.7736616],[1.3015758 1.4908116 1.339929  1.3816288],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
LSGAINS,B,5e-08,36,True,False,TDD,vanilla,0,[1.8589668 1.6449193 1.2806244 1.2632276],[0.7563038  0.59021074 0.2649972  0.26669714],[441.2461  390.58905 346.8133  346.59747],[196.04799 160.08478 152.53967 144.40495],[6.035723  5.388167  4.850082  4.5603595],[1.4434543 1.5285759 1.343055  1.2743903],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
LSGAINS,B,5e-08,42,True,False,TDD,vanilla,0,[1.9676813 1.630342  1.2307796 1.18414  ],[0.5268957  0.4698055  0.25093302 0.23903625],[466.90866 404.0791  340.09372 343.4439 ],[222.80124 195.3689  136.41692 148.40474],[5.8372493 5.373894  4.6608896 4.592279 ],[1.4877757 1.4579191 1.4566005 1.2563473],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
LSGAINS,B,2e-07,3,True,False,TDD,vanilla,0,[0.55458856 0.6848545  0.8079791  0.9142449 ],[0.16606495 0.28250873 0.41325638 0.48380408],[131.05609 175.1397  219.5519  251.5875 ],[ 52.456974  93.76202  137.40952  161.50873 ],[7.459121  7.3978558 7.548794  7.5206017],[0.4733672 0.5295027 0.5543626 0.6041212],[8.140387 8.142667 8.144901 8.14683 ],[0.4020315  0.40776485 0.41400665 0.42071086]
