model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
LSGAINS,A,3e-08,1,False,False,TDD,phase,10.0,[0.1230283  0.19905409 0.28084645 0.32119545],[0.04302946 0.08111821 0.12287626 0.13732211],[36.713013 59.440598 83.94891  96.0634  ],[14.212638 26.478418 39.98896  44.890392],[8.275251 8.281044 8.300594 8.299436],[0.19024473 0.19531773 0.20115784 0.20684838],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
LSGAINS,A,3e-08,10,False,False,TDD,phase,10.0,[0.5437019  0.95002306 1.2101418  1.2002592 ],[0.2099871  0.38742778 0.567475   0.47269666],[144.83655 247.82211 310.89517 321.25043],[ 72.76225 121.8354  147.75046 164.44554],[8.055735  7.907791  7.4712257 7.6906548],[0.5795188 0.6926184 1.059079  0.9400047],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
LSGAINS,A,3e-08,30,False,False,TDD,phase,10.0,[1.2623535 1.2601604 1.2363615 1.2368647],[1.1963334 1.164818  0.5472233 0.6183244],[280.5628  282.58633 296.29153 305.5013 ],[242.68637 238.74309 198.84317 213.90273],[7.462948  7.457535  6.822106  6.7854185],[1.2639769 1.2273011 1.6093892 1.639455 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
LSGAINS,A,1e-07,1,False,False,TDD,phase,10.0,[0.11639068 0.1864853  0.26181734 0.3007738 ],[0.0387334  0.07462315 0.11410775 0.12770984],[34.756325 55.44411  77.72205  89.4796  ],[15.590328 27.72669  41.176693 46.63044 ],[8.206569 8.213799 8.234432 8.234821],[0.51572603 0.51699275 0.51859134 0.51995915],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
LSGAINS,A,1e-07,10,False,False,TDD,phase,10.0,[0.49944893 0.8628826  1.1300817  1.2041311 ],[0.19536538 0.33232415 0.4359295  0.519395  ],[135.7079  236.79222 310.64874 329.78156],[ 76.76321 134.63997 175.17126 196.36252],[7.987738  7.838322  7.5907197 7.6480885],[0.6599701  0.77163035 1.0632321  1.0282594 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
LSGAINS,A,1e-07,30,False,False,TDD,phase,10.0,[1.2014157 1.2011886 1.2272602 1.2716445],[0.61160374 0.5609218  0.51605934 0.62075937],[342.83435 341.92743 324.13757 324.13263],[279.53427 270.49277 211.00243 219.52336],[7.6778636 7.479654  6.7738733 6.56169  ],[1.2150928 1.3384773 1.7251306 1.711056 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
LSGAINS,A,3e-07,1,False,False,TDD,phase,10.0,[0.12143862 0.19635472 0.2771551  0.3176223 ],[0.03828799 0.07420621 0.11350291 0.12691776],[36.82672  59.734406 84.49168  96.9192  ],[15.284199 28.283358 42.497143 47.822155],[8.156988 8.164756 8.186208 8.187021],[0.35418746 0.35644564 0.35942796 0.36182085],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
LSGAINS,A,3e-07,10,False,False,TDD,phase,10.0,[0.46832818 0.81409234 1.0468404  1.1059985 ],[0.19707616 0.31481162 0.3424947  0.37611526],[138.89912 240.98428 314.36334 335.86584],[ 79.3101  131.75737 163.42204 185.12234],[8.02025   7.878814  7.586043  7.6596026],[0.65128815 0.7699429  1.033806   0.9963118 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
LSGAINS,A,3e-07,30,False,False,TDD,phase,10.0,[1.1200712 1.1236862 1.1741883 1.1078502],[0.4751018  0.5250134  0.3427974  0.38571212],[348.21832 342.52188 345.19684 327.08792],[263.74976 278.4595  191.71332 196.37349],[7.5508184 7.513242  6.7993536 6.7206697],[1.1381371 1.297671  1.4085383 1.5239664],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
LSGAINS,C,3e-08,1,False,False,TDD,phase,10.0,[0.13223763 0.21609645 0.30622897 0.3505535 ],[0.03880296 0.07368496 0.11147825 0.12541287],[37.062977 60.157974 85.16518  97.615906],[10.563384 20.126238 30.696316 34.42486 ],[8.2596855 8.26137   8.274356  8.270992 ],[0.13270198 0.13645837 0.14165194 0.14600998],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
LSGAINS,C,3e-08,10,False,False,TDD,phase,10.0,[0.5681333 1.0016514 1.2757205 1.3315153],[0.24326989 0.49963352 0.55561554 0.54827076],[132.8928  228.1112  297.8927  320.12372],[ 58.030758  93.91889  109.9642   122.78061 ],[7.971058  7.6145177 6.926063  6.9730353],[0.5436298  0.87050116 1.4476831  1.3321836 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
LSGAINS,C,3e-08,30,False,False,TDD,phase,10.0,[1.2350261 1.3245486 1.235007  1.2250357],[0.58213526 0.5091449  0.33531854 0.432508  ],[324.86972 348.96472 337.4568  316.44528],[193.04436 193.43246 158.04944 149.91159],[7.5035667 6.812119  6.2018957 6.016416 ],[1.0206174 1.645007  1.6510491 1.5966382],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
LSGAINS,C,1e-07,1,False,False,TDD,phase,10.0,[0.11714464 0.18811797 0.26474798 0.30349696],[0.03293235 0.06396652 0.09819469 0.10963539],[34.265656 54.927128 77.28134  88.5873  ],[11.72373  22.022697 33.40335  37.44004 ],[8.22902  8.22959  8.240617 8.235687],[0.20183316 0.2050226  0.20943771 0.21329494],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
LSGAINS,C,1e-07,10,False,False,TDD,phase,10.0,[0.5299575  0.90785426 1.1531202  1.2023412 ],[0.14772286 0.21776946 0.23716447 0.2917944 ],[148.77513 254.61395 321.54398 334.05563],[ 58.56809   94.256905 110.438416 122.78935 ],[8.000379  7.673883  6.6975245 6.705706 ],[0.43324327 0.63537794 1.2709707  1.248568  ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
LSGAINS,C,1e-07,30,False,False,TDD,phase,10.0,[1.1755465 1.1631985 1.0964226 1.0600214],[0.49738252 0.4534152  0.20567581 0.23742135],[335.59082 329.60098 307.25174 300.62253],[189.7448  187.58891 116.63508 125.13622],[7.42833   7.1113505 6.2769904 6.1592574],[0.951173  1.079846  1.4112449 1.3736416],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
LSGAINS,C,3e-07,1,False,False,TDD,phase,10.0,[0.11639377 0.18686853 0.26296908 0.3015031 ],[0.0330225  0.06401941 0.09810876 0.10947357],[35.248608 56.61387  79.71711  91.421165],[10.538071 20.158749 30.763689 34.431553],[8.249868 8.250637 8.261985 8.257688],[0.12819369 0.13009462 0.13340203 0.1362426 ],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
