model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
LSGAINS,A,3e-08,1,False,False,TDD,vanilla,0,[3.2215793 3.1966736 3.189296  3.190607 ],[2.401875  2.3308134 2.3235378 2.3555017],[569.81995 570.0364  569.2351  569.70447],[266.79028 266.87256 266.02106 266.76395],[7.3316584 7.3315773 7.328558  7.3258214],[0.19616242 0.20016184 0.20509    0.21244916],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
LSGAINS,A,3e-08,10,False,False,TDD,vanilla,0,[9.431184 9.66621  9.781539 8.26926 ],[13.200326 14.761787 19.058544 10.935448],[892.4953 890.8603 891.3463 894.1033],[337.27283 323.0482  315.65573 311.9936 ],[6.1476536 6.1544    6.150401  6.1435018],[1.0712537 1.0599722 1.0974164 1.1780158],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
LSGAINS,A,3e-08,30,False,False,TDD,vanilla,0,[20.927881 17.288404 14.106249 12.920612],[63.453213 39.873497 24.451035 17.61113 ],[898.8714  899.79156 905.0775  909.6808 ],[358.54678 352.18048 360.28238 376.5456 ],[5.7867846 5.7970514 5.8337083 5.874169 ],[1.4474894 1.4036741 1.4092532 1.4867269],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
LSGAINS,A,1e-07,1,False,False,TDD,vanilla,0,[2.8750393 2.8634179 2.8598635 2.845723 ],[1.8490448 1.848044  1.8266087 1.814865 ],[513.3697  512.66644 513.51526 512.63873],[272.68668 272.75906 272.8147  272.11942],[7.22925   7.229194  7.231299  7.2329197],[0.5312984 0.5314636 0.5307626 0.5326911],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
LSGAINS,A,1e-07,10,False,False,TDD,vanilla,0,[7.0124474 7.337307  7.6097865 7.0827374],[ 7.3266063  9.218715  11.184313   8.995149 ],[937.37164 931.7656  926.1795  922.3247 ],[405.106   397.2548  390.8217  387.00482],[6.121579  6.1356764 6.1441474 6.1537075],[1.1953864 1.2118529 1.2332656 1.2363037],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
LSGAINS,A,1e-07,30,False,False,TDD,vanilla,0,[12.952058 11.037989 14.107913 11.513122],[50.383194 20.916342 45.670914 24.455027],[967.7018  938.7944  909.0652  884.82587],[436.68723 393.59607 360.56116 350.11032],[5.730944  5.7244015 5.7032466 5.62605  ],[1.6083819 1.573802  1.5163338 1.507413 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
LSGAINS,A,3e-07,1,False,False,TDD,vanilla,0,[2.2550738 2.2510471 2.2555864 2.249771 ],[0.89852965 0.89810145 0.9105246  0.9029796 ],[557.3586  557.15753 558.6076  558.0353 ],[284.19458 283.94437 285.23148 283.96768],[7.129584  7.13062   7.1321    7.1363564],[0.40866184 0.41004    0.41158134 0.4126571 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
LSGAINS,A,3e-07,10,False,False,TDD,vanilla,0,[4.955672  5.138947  5.0371456 5.1444054],[3.9170012 4.7831287 4.4428625 4.8850737],[894.9318 900.7385 905.4165 911.4908],[325.29514 324.9475  326.8473  331.94812],[6.002517  6.014658  6.0197453 6.0223565],[0.91831833 0.9748035  1.0412773  1.110708  ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
LSGAINS,A,3e-07,30,False,False,TDD,vanilla,0,[5.7605653 5.9685755 6.298904  6.422078 ],[5.746803  6.612747  7.5296793 7.789079 ],[903.87164 909.78076 917.8561  929.8551 ],[353.2298  345.36636 348.68176 366.47003],[5.6681457 5.7638593 5.8300433 5.840382 ],[1.348135  1.3792204 1.4001223 1.4202453],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
LSGAINS,C,3e-08,1,False,False,TDD,vanilla,0,[4.4540043 4.453014  4.419175  4.418618 ],[2.6684654 2.7623806 2.7294302 2.7284794],[565.61444 565.2132  565.62195 566.10834],[206.86555 206.65675 206.2834  208.06334],[7.2167645 7.2148943 7.2171745 7.2211394],[0.18461795 0.18698762 0.19062275 0.19420819],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
LSGAINS,C,3e-08,10,False,False,TDD,vanilla,0,[8.706228  9.548941  9.1148205 8.513893 ],[7.163768 9.499281 7.966605 6.730228],[948.56006 944.72375 948.6774  956.6883 ],[292.55197 287.14682 285.88144 290.47382],[5.6979284 5.7071033 5.7348957 5.756221 ],[1.1105411 1.1006391 1.1127058 1.1594259],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
LSGAINS,C,3e-08,30,False,False,TDD,vanilla,0,[7.3138494 7.2870374 7.786652  8.590917 ],[5.771863  5.1573753 6.4461045 8.979318 ],[900.91907 895.7006  899.3106  885.3384 ],[315.12164 317.3786  302.97726 280.06073],[5.137673 5.179868 5.134009 5.209724],[1.5747879 1.5306822 1.5613964 1.4035083],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
LSGAINS,C,1e-07,1,False,False,TDD,vanilla,0,[2.7706144 2.7683594 2.780937  2.7771966],[1.3010087 1.2954001 1.3043728 1.2890966],[520.8588  520.20715 520.5505  519.7167 ],[227.3626  226.94504 227.13129 224.74539],[7.205028  7.2023077 7.1992793 7.1971297],[0.23701602 0.23841095 0.24087767 0.24532166],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
LSGAINS,C,1e-07,10,False,False,TDD,vanilla,0,[4.9256883 4.910244  4.9395514 4.976769 ],[2.9396842 2.9786856 2.978634  2.9764247],[928.3265  925.62787 922.2971  918.7207 ],[292.04333 296.8673  302.32495 309.0019 ],[5.7514606 5.752589  5.7496867 5.739515 ],[1.0204657 1.0297129 1.0431769 1.095873 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
LSGAINS,C,1e-07,30,False,False,TDD,vanilla,0,[5.4008527 5.4696345 5.6359825 5.357764 ],[3.6896229 3.4993522 3.887649  3.3128402],[912.3607  911.0505  908.13776 911.1534 ],[264.58868 243.30708 231.86598 237.7422 ],[4.867452 4.853381 4.825319 4.866752],[1.2673151 1.2013081 1.1889124 1.250893 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
LSGAINS,C,3e-07,1,False,False,TDD,vanilla,0,[2.0757313 2.0754738 2.072883  2.077948 ],[0.70646775 0.7037673  0.70389616 0.70993125],[531.5349  532.2024  531.23505 531.82983],[202.57063 202.39903 202.17459 203.31985],[7.1873145 7.187378  7.189876  7.190561 ],[0.17834768 0.17828375 0.17891958 0.18049337],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
LSGAINS,C,3e-07,10,False,False,TDD,vanilla,0,[3.6331348 3.6394167 3.653896  3.6869326],[1.6880805 1.6603351 1.655108  1.6768956],[889.4959  889.285   890.21655 894.37695],[282.79874 275.52982 269.87302 267.9871 ],[5.6638904 5.6272216 5.606317  5.5786023],[1.0284498 1.0610121 1.0889785 1.1173981],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
LSGAINS,C,3e-07,30,False,False,TDD,vanilla,0,[4.285656  4.2840614 4.2829957 4.3362617],[2.1062646 2.226481  2.289506  2.3994806],[965.8541  967.14166 969.31696 969.593  ],[268.33658 268.3284  271.23367 270.67767],[4.9637947 4.9530377 5.0105357 5.0873356],[1.0934155 1.1577945 1.1787409 1.1561943],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
LSGAINS,D,3e-08,1,False,False,TDD,vanilla,0,[1.6662859 1.6645546 1.6677464 1.6652548],[0.8587161 0.8549302 0.8586753 0.8572142],[492.5647  492.099   492.7825  492.16504],[261.19846 260.49564 261.3673  261.22018],[7.4348063 7.4309664 7.4332495 7.431946 ],[0.16668186 0.16543816 0.16671506 0.1657705 ],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
LSGAINS,D,3e-08,10,False,False,TDD,vanilla,0,[3.1006095 3.1039276 3.1069782 3.1028585],[1.6004647 1.5933243 1.5922    1.5901322],[908.7862  910.56995 912.9785  913.95087],[458.53735 456.1955  456.47125 456.53677],[7.2566376 7.261995  7.263539  7.2682033],[0.18158932 0.19081973 0.2041885  0.21796091],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
LSGAINS,D,3e-08,30,False,False,TDD,vanilla,0,[3.3123333 3.3671558 3.4131207 3.454311 ],[1.6445553 1.6633452 1.6657867 1.6878232],[919.73627 923.90515 927.9601  931.8015 ],[389.3144  392.26535 394.9978  393.6183 ],[7.16859   7.1676927 7.168258  7.16405  ],[0.33029863 0.34304368 0.35818058 0.38497785],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
LSGAINS,D,1e-07,1,False,False,TDD,vanilla,0,[1.7092112 1.7089915 1.7095395 1.7116661],[0.79830354 0.7968698  0.79844487 0.8009799 ],[510.25235 510.14102 510.35    511.09155],[244.20743 243.4656  243.88939 244.80489],[7.412162  7.414374  7.413422  7.4143586],[0.05221583 0.05290707 0.05556509 0.0573289 ],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
LSGAINS,D,1e-07,10,False,False,TDD,vanilla,0,[3.2906415 3.2948859 3.2937384 3.292875 ],[1.476001  1.4794582 1.4852053 1.490734 ],[965.02875 965.56366 964.7204  964.4311 ],[409.72217 409.29266 408.53476 409.82397],[7.228941  7.2296977 7.232895  7.2347803],[0.10793586 0.12385825 0.13953961 0.15848719],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
LSGAINS,D,1e-07,30,False,False,TDD,vanilla,0,[3.144205  3.1403615 3.140373  3.1521976],[1.4135753 1.4177207 1.4189014 1.4432975],[924.8396  925.87006 926.3589  927.4348 ],[407.64664 409.07632 407.65836 407.96796],[7.2038136 7.207614  7.205336  7.2079725],[0.29191798 0.31927264 0.3391431  0.34869775],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
LSGAINS,D,3e-07,1,False,False,TDD,vanilla,0,[1.5984435 1.597909  1.5989646 1.5975583],[0.7896194  0.78390515 0.789272   0.7868339 ],[474.7923  474.76404 475.11267 474.67593],[237.32121 235.73001 237.25897 236.60493],[7.4183416 7.4160786 7.416713  7.4178743],[0.03571453 0.03711901 0.03713797 0.03873691],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
LSGAINS,D,3e-07,10,False,False,TDD,vanilla,0,[3.0664935 3.0720701 3.07804   3.0866992],[1.4315712 1.4397253 1.4511284 1.4648638],[900.44916 900.8338  901.26306 903.15594],[410.10745 408.609   407.27686 408.31073],[7.2233815 7.218976  7.2203383 7.222257 ],[0.11120612 0.12402815 0.14024994 0.16191436],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
LSGAINS,D,3e-07,30,False,False,TDD,vanilla,0,[2.8822045 2.9085608 2.9289274 2.9495156],[1.6375555 1.6859033 1.7226052 1.7657814],[840.71075 838.83234 836.1449  834.34686],[435.94458 435.90408 434.25635 434.86664],[7.181216  7.175942  7.172106  7.1649323],[0.25476038 0.27967578 0.3102541  0.33922976],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
LSGAINS,A,3e-08,1,False,False,TDD,vanilla,5,[1.6286198 1.619909  1.6146333 1.6174811],[1.1245841 1.1126448 1.1030872 1.1142166],[358.94632 359.46936 359.3369  358.975  ],[251.7359  253.45059 252.91211 252.89348],[7.9260645 7.9254713 7.92309   7.921491 ],[0.19135945 0.19658722 0.20123139 0.20775929],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
LSGAINS,A,3e-08,10,False,False,TDD,vanilla,5,[6.989703  7.0105677 6.9244366 5.6784153],[10.374776 10.655185 12.548701  6.805208],[689.52405 686.73694 687.3119  689.8678 ],[323.39127 310.76428 303.12607 300.97455],[6.7432795 6.7498097 6.752207  6.7381854],[1.1787764 1.1682764 1.1806122 1.2557629],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
LSGAINS,A,3e-08,30,False,False,TDD,vanilla,5,[15.244703 12.169206  9.734929  9.010112],[49.733482 31.189991 17.621391 12.33175 ],[690.1463 689.4695 696.2054 701.8518],[359.8698  354.177   366.46542 382.98547],[6.3806267 6.400591  6.441718  6.4640737],[1.4286076 1.3813483 1.381803  1.4836128],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
LSGAINS,A,1e-07,1,False,False,TDD,vanilla,5,[1.4099005 1.407973  1.4049692 1.3999234],[0.9575255  0.9579564  0.95925236 0.95122576],[299.89447 299.57294 300.0989  299.54285],[245.2227  244.55724 246.07133 245.06458],[7.834348  7.8362637 7.837926  7.838701 ],[0.5252575  0.52519876 0.52587485 0.5266827 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
LSGAINS,A,1e-07,10,False,False,TDD,vanilla,5,[5.161778 5.3012   5.400203 5.056202],[5.259968  6.2241178 7.3020115 5.8724527],[731.01935 726.4107  721.18396 717.4988 ],[371.40997 365.09625 359.95837 357.46158],[6.698053  6.708269  6.7144914 6.716989 ],[1.2997828 1.3132573 1.33903   1.3494915],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
LSGAINS,A,1e-07,30,False,False,TDD,vanilla,5,[10.220001  8.111517 10.838612  8.374012],[44.12075  16.894636 39.091156 19.915348],[755.67633 724.34625 694.9843  670.4176 ],[415.90274 372.21494 338.53    329.30466],[6.2949758 6.308155  6.2960706 6.2151246],[1.6323055 1.6241924 1.5735521 1.5639515],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
LSGAINS,A,3e-07,1,False,False,TDD,vanilla,5,[1.2777722 1.277619  1.280688  1.2790486],[0.7846226  0.78367126 0.7885378  0.7864895 ],[349.75153 350.4064  350.9162  350.8073 ],[264.0307  264.24197 264.72107 264.2719 ],[7.757162  7.757281  7.759162  7.7613397],[0.39117026 0.39397877 0.39385673 0.39620134],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
LSGAINS,A,3e-07,10,False,False,TDD,vanilla,5,[3.6521425 3.7677798 3.6859193 3.738584 ],[2.9326594 3.4849305 3.2201335 3.4141881],[688.81915 693.1972  698.2615  704.1454 ],[311.99176 311.8391  313.46097 319.69333],[6.606578  6.6222186 6.6280327 6.62903  ],[0.98894966 1.0504465  1.1201013  1.2015775 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
LSGAINS,A,3e-07,30,False,False,TDD,vanilla,5,[4.1972313 4.332255  4.578155  4.6277614],[4.299467  4.8606505 5.496066  5.585533 ],[697.9799  705.728   713.80023 722.3532 ],[343.89957 339.4493  349.20123 368.2757 ],[6.2905426 6.379862  6.440028  6.451762 ],[1.3725896 1.4067811 1.4515041 1.481227 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
LSGAINS,C,3e-08,1,False,False,TDD,vanilla,5,[2.1870859 2.176839  2.1755552 2.163786 ],[1.320356  1.3276552 1.3362993 1.3572868],[356.66882 356.9722  357.20773 357.0677 ],[202.87341 203.27348 203.2756  203.45013],[7.817934  7.8184614 7.819687  7.8217163],[0.17888819 0.18239808 0.18350737 0.18715268],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
LSGAINS,C,3e-08,10,False,False,TDD,vanilla,5,[6.1622896 6.7909846 6.439617  6.0542617],[5.5451503 7.254161  6.191369  5.2194104],[739.63385 737.3753  740.67474 750.4988 ],[286.45886 281.28668 281.8494  287.96408],[6.261605  6.2872596 6.3093204 6.324327 ],[1.2241876 1.197524  1.2188407 1.2727046],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
LSGAINS,C,3e-08,30,False,False,TDD,vanilla,5,[5.198698  5.015292  5.3576307 5.9352446],[4.4322543 3.785117  4.7136235 6.4041862],[695.2288  690.2371  693.50385 679.65906],[313.83914 319.87744 306.14563 284.2104 ],[5.656351  5.7223687 5.658302  5.767584 ],[1.7738056 1.6740074 1.7444272 1.5158789],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
LSGAINS,C,1e-07,1,False,False,TDD,vanilla,5,[1.4185175 1.422801  1.4241272 1.4224403],[0.76656485 0.7661309  0.77106565 0.7688368 ],[316.1488  316.21747 315.70792 315.5187 ],[217.05525 216.90811 216.97884 216.80823],[7.800349  7.7979364 7.797244  7.796469 ],[0.23487212 0.23750758 0.24030872 0.2425646 ],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
LSGAINS,C,1e-07,10,False,False,TDD,vanilla,5,[3.6237235 3.6061466 3.6092417 3.63872  ],[2.330621  2.3545814 2.3147979 2.3026862],[727.4724  723.86383 720.0633  718.1625 ],[287.11514 291.6254  297.9306  306.36218],[6.33685   6.3391414 6.33197   6.322038 ],[1.0951233 1.1032019 1.1216593 1.1664011],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
LSGAINS,C,1e-07,30,False,False,TDD,vanilla,5,[3.8879724 3.9389906 4.0411167 3.8712046],[2.6020112 2.4090672 2.6769488 2.3942754],[705.45197 704.33185 700.15796 704.6511 ],[264.65494 243.59074 231.51814 236.42369],[5.3738317 5.3752904 5.3586593 5.371975 ],[1.3928347 1.3117193 1.3070961 1.4009824],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
LSGAINS,C,3e-07,1,False,False,TDD,vanilla,5,[1.1671879 1.1651027 1.1673821 1.1674051],[0.652621   0.65199924 0.6541415  0.6560834 ],[321.9969  321.92944 322.35458 322.6417 ],[199.14996 199.28647 199.77652 200.1546 ],[7.7960186 7.79643   7.7975993 7.796789 ],[0.17522903 0.17622997 0.17770936 0.17857797],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
LSGAINS,C,3e-07,10,False,False,TDD,vanilla,5,[2.684752  2.6897259 2.6968794 2.7188315],[1.4271387 1.4044175 1.3776661 1.3791775],[680.23804 680.02844 680.9567  683.85376],[278.48065 272.77032 267.96005 265.4205 ],[6.2222924 6.189104  6.1467967 6.1247945],[1.1130008 1.1508254 1.1937501 1.2279756],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
LSGAINS,C,3e-07,30,False,False,TDD,vanilla,5,[3.2678423 3.2512677 3.252033  3.2837272],[1.6234218 1.7001133 1.7590493 1.8136287],[761.6493  761.73474 764.4037  765.0669 ],[267.39035 267.83725 271.13806 271.40338],[5.4593687 5.4404387 5.503243  5.601336 ],[1.1938783 1.2726278 1.3029448 1.2641333],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
LSGAINS,D,3e-08,1,False,False,TDD,vanilla,5,[1.060786  1.060635  1.0615916 1.061087 ],[0.8322285  0.83167356 0.8342536  0.83551925],[315.98737 315.87003 316.19046 316.05093],[250.6593  250.4913  251.25687 251.68275],[7.9704957 7.9708166 7.9711757 7.971617 ],[0.16668484 0.16735584 0.16753496 0.1686768 ],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
LSGAINS,D,3e-08,10,False,False,TDD,vanilla,5,[2.3865156 2.3908005 2.38887   2.3897367],[1.5614467 1.5551188 1.546929  1.5416394],[702.28076 704.79346 705.78516 708.11224],[451.91718 451.30112 449.82318 449.91937],[7.84918   7.8508973 7.854218  7.857828 ],[0.20469269 0.21423903 0.22421475 0.23674121],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
LSGAINS,D,3e-08,30,False,False,TDD,vanilla,5,[2.5501897 2.5881002 2.623234  2.6520472],[1.5220594 1.5313148 1.5248044 1.5270911],[711.2894  714.5432  719.4152  723.76514],[386.72647 389.86926 392.36877 393.42807],[7.781071  7.775741  7.7679524 7.762259 ],[0.31945056 0.33564535 0.35463515 0.3842285 ],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
LSGAINS,D,1e-07,1,False,False,TDD,vanilla,5,[1.1147236 1.1152092 1.1154417 1.1148144],[0.781475   0.78106743 0.7817341  0.781115  ],[334.6073  334.7313  334.7741  334.71063],[238.16249 238.02296 238.10187 238.01775],[7.957862  7.9575725 7.9579887 7.958413 ],[0.04702783 0.04859198 0.05105396 0.05134901],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
LSGAINS,D,1e-07,10,False,False,TDD,vanilla,5,[2.597858  2.6001818 2.599119  2.5996363],[1.433183  1.4381433 1.4359876 1.4374347],[763.02234 763.1914  762.7862  762.8113 ],[405.7269  406.36798 406.1015  406.37878],[7.8259773 7.826941  7.828973  7.831741 ],[0.12161946 0.14206646 0.16065423 0.17929123],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
LSGAINS,D,1e-07,30,False,False,TDD,vanilla,5,[2.430641  2.4297674 2.4264655 2.4302845],[1.366952  1.3652688 1.3596251 1.3589901],[721.1954  723.6843  723.91833 724.31415],[408.75336 410.66208 410.39688 409.4773 ],[7.8093047 7.812773  7.8152647 7.816319 ],[0.28057092 0.30996126 0.33318788 0.3481175 ],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
LSGAINS,D,3e-07,1,False,False,TDD,vanilla,5,[1.0066992 1.0062593 1.0061811 1.0062101],[0.7691212  0.76727635 0.76903576 0.7695055 ],[300.43643 300.29843 300.26132 300.2113 ],[230.91423 230.34343 230.86214 230.92342],[7.9580274 7.957898  7.9581084 7.958291 ],[0.02525067 0.02712072 0.02900359 0.03008451],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
LSGAINS,D,3e-07,10,False,False,TDD,vanilla,5,[2.3677568 2.3715014 2.3739796 2.3791037],[1.4122698 1.4177204 1.4239389 1.4301921],[697.757   697.81366 697.92224 698.8292 ],[408.3043  407.10303 406.55365 406.03485],[7.8158956 7.816917  7.8170433 7.81715  ],[0.12353714 0.13970101 0.15703364 0.17604892],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
