model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
LSGAINS,A,3e-08,1,False,False,TDD,vanilla,0,[0.47827625 0.54663444 0.6210307  0.7009749 ],[0.4246247  0.47226062 0.52635986 0.5876464 ],[ 65.332565  76.11085   87.91214  100.659454],[11.220463 13.721308 16.872543 20.782345],[8.052366  8.010118  7.9646454 7.916059 ],[0.20002764 0.20915824 0.22031447 0.23380019],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
LSGAINS,A,3e-08,10,False,False,TDD,vanilla,0,[2.16241   3.0174859 3.830342  3.974764 ],[2.1833785 3.1052067 5.6816297 4.799162 ],[353.78952 482.97583 571.99475 603.8729 ],[168.54373 236.76794 292.6068  357.09128],[7.1564236 7.135238  7.106594  7.0691595],[1.0426852 1.0801263 1.1177404 1.1627454],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
LSGAINS,A,3e-08,30,False,False,TDD,vanilla,0,[3.0942042 3.2988775 3.5724053 3.9762647],[4.336294  3.5271535 3.6739    4.7773204],[355.1477  382.6247  432.3689  472.92722],[183.12346 214.40196 246.2385  286.78836],[5.488028  5.449881  5.3395624 5.220186 ],[1.9007884 1.889784  1.9101734 1.9303132],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
LSGAINS,A,1e-07,1,False,False,TDD,vanilla,0,[0.44055447 0.5055026  0.5751541  0.6486836 ],[0.32908309 0.3708262  0.41457072 0.45965767],[ 65.79851   76.549416  88.29328  100.95134 ],[21.904135 25.457714 29.433054 33.87759 ],[7.9724684 7.9289894 7.8816633 7.830553 ],[0.5154999  0.51502293 0.51489836 0.5153701 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
LSGAINS,A,1e-07,10,False,False,TDD,vanilla,0,[1.7006394 2.4431393 3.134717  3.4155114],[1.5754173 3.002339  4.41697   4.159185 ],[329.47098 455.36304 558.92194 622.23474],[199.36356 279.92337 353.54355 431.4801 ],[7.237477  7.2246184 7.194914  7.1477075],[1.110274  1.1332575 1.1708878 1.2238405],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
LSGAINS,A,1e-07,30,False,False,TDD,vanilla,0,[2.2516947 2.6381614 3.2637143 3.8189435],[2.2824805 2.26803   3.5690744 4.2561116],[430.9002  473.08414 507.46234 544.51575],[224.04332 282.45984 307.24316 336.93912],[5.6806464 5.5860686 5.3935323 5.194558 ],[1.9125183 1.9098631 1.9304414 1.9155549],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
LSGAINS,A,3e-07,1,False,False,TDD,vanilla,0,[0.29765835 0.34482965 0.39585632 0.450273  ],[0.08104068 0.09464464 0.11011714 0.12770604],[64.625435 75.381165 87.19018  99.981804],[14.146893 17.242874 21.084726 25.78561 ],[7.902294  7.8585525 7.8115063 7.761307 ],[0.3833686  0.39034435 0.39851084 0.40806818],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
LSGAINS,A,3e-07,10,False,False,TDD,vanilla,0,[1.2994151 1.7755007 2.160463  2.455098 ],[0.7288035 1.0181193 1.3170878 1.7317576],[314.21732 437.2804  536.0515  597.0676 ],[191.84843 270.90634 335.92163 404.48077],[7.28028   7.2574306 7.2202177 7.166175 ],[1.0826136 1.1007464 1.1324158 1.1783655],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
LSGAINS,A,3e-07,30,False,False,TDD,vanilla,0,[1.8393908 2.079026  2.4147847 2.5132766],[0.8372227 1.3269678 1.8315765 2.304624 ],[434.32672 458.1197  491.68948 474.33652],[208.80524 241.2161  234.76234 260.2526 ],[5.6387067 5.595017  5.501652  5.3926225],[1.6969583 1.6764874 1.6718382 1.6897937],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
LSGAINS,C,3e-08,1,False,False,TDD,vanilla,0,[0.68143415 0.78374064 0.888726   0.99752176],[0.4490469  0.52841395 0.5967096  0.66473943],[64.73219  75.36296  86.987785 99.53101 ],[ 7.3537183  8.897238  10.907769  13.497905 ],[8.039373  7.9986854 7.9547753 7.9077516],[0.13991776 0.14608154 0.15409186 0.16422912],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
