model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
LSGAINS,B,5e-08,3,True,False,TDD,vanilla,0,[0.847016  1.1769432 1.6056465 2.0889122],[0.47693124 0.733391   1.0829108  1.4308914 ],[180.29604 258.846   353.93503 461.6867 ],[135.04456 209.7253  298.19193 394.37982],[8.008934  7.9619765 7.906146  7.8418903],[0.3148063  0.33694005 0.36391473 0.3963698 ],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
LSGAINS,B,5e-08,6,True,False,TDD,vanilla,0,[1.4609671 2.0003912 2.5297892 3.0904608],[0.7454969 1.0672609 1.2940278 1.7608215],[291.85175 407.55856 527.7102  633.80524],[156.47154 219.68059 280.70972 329.08096],[7.378     7.2392054 7.070809  6.891306 ],[0.6817833 0.7821459 0.912252  1.0326339],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
LSGAINS,B,5e-08,9,True,False,TDD,vanilla,0,[1.7125714 2.2933385 2.7941961 3.1923738],[0.698886  0.8817593 1.1610867 1.6028413],[382.41974 524.4715  635.4728  691.4908 ],[132.25201 183.3558  225.76108 274.42453],[6.93602   6.7454    6.5706425 6.3976665],[1.0103878 1.1501627 1.2094072 1.2901568],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
LSGAINS,B,5e-08,12,True,False,TDD,vanilla,0,[1.8180903 2.3917778 2.804379  3.0842237],[0.642217  0.934831  1.1753389 1.5964588],[372.71765 499.6322  578.30664 613.06647],[138.98912 192.8503  245.78223 305.43732],[6.528593  6.246393  5.9959016 5.8261867],[1.1392238 1.2621154 1.3793384 1.3820134],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
LSGAINS,B,5e-08,15,True,False,TDD,vanilla,0,[1.749462  2.1584952 2.3117242 2.378355 ],[0.68492836 0.7999694  1.1444079  1.3880851 ],[416.82822 522.65564 526.0845  509.82422],[144.00223 187.03204 222.21715 251.99452],[6.3643055 6.084187  5.7846856 5.537541 ],[1.1444607 1.2290288 1.3289279 1.421017 ],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
LSGAINS,B,5e-08,18,True,False,TDD,vanilla,0,[1.7742571 2.251162  2.3999758 2.5752087],[0.5014847  0.76704884 1.0836148  1.459848  ],[382.57608 478.29126 498.11633 523.5277 ],[131.9954  168.12479 209.21338 254.67671],[5.7392464 5.390497  5.2430687 5.177384 ],[1.348833  1.4367684 1.462636  1.4456694],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
LSGAINS,B,5e-08,21,True,False,TDD,vanilla,0,[1.8094854 2.235524  2.4755704 2.6960907],[0.4791791  0.74774766 1.1403419  1.4997433 ],[385.67987 467.6388  487.98056 530.5589 ],[124.292076 174.98605  214.43343  218.28818 ],[5.635443  5.1801343 4.905428  4.792667 ],[1.3620037 1.4138383 1.4251524 1.3794932],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
LSGAINS,B,5e-08,24,True,False,TDD,vanilla,0,[1.7988739 2.1714377 2.2923696 2.3345847],[0.5856456  0.97939974 0.98376316 1.1714029 ],[430.13974 501.13538 515.2343  518.85486],[140.29059 183.02669 204.80403 233.54716],[5.6388774 5.4225426 5.1784987 4.9954815],[1.3572932 1.1779187 1.1695243 1.1697719],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
LSGAINS,B,5e-08,27,True,False,TDD,vanilla,0,[1.8674178 2.1212873 2.2757585 2.4143045],[0.56852305 0.9384382  1.1799946  1.3569673 ],[406.8008  440.71625 465.54224 475.04044],[140.09853 170.0183  199.60413 213.87213],[5.2506285 4.948638  4.7245564 4.599561 ],[1.4940377 1.5332531 1.5036535 1.4145213],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
LSGAINS,B,5e-08,33,True,False,TDD,vanilla,0,[1.8963914 2.1619484 2.4596725 2.5537734],[0.8376811 1.1015439 1.4246931 1.6326495],[443.85974 463.04453 492.74933 493.48602],[148.13214 181.08281 176.93594 202.64537],[5.388519 4.946637 4.803755 4.596769],[1.2840592 1.3808398 1.3587773 1.4053825],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
