model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
LSGAINS,A,3e-08,1,False,False,TDD,phase,10.0,[0.03877831 0.04927083 0.06245817 0.07863865],[0.00909013 0.01453401 0.02247644 0.03320627],[11.345493 14.357284 18.13676  22.766733],[ 3.0047297  4.62709    6.981529  10.151041 ],[8.298392 8.291784 8.284506 8.276513],[0.19049308 0.19529139 0.2005421  0.20624425],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
LSGAINS,A,3e-08,10,False,False,TDD,phase,10.0,[1.4065108 2.0204377 2.6118655 2.7782862],[1.3008238 1.7703419 3.508243  3.1789713],[291.73032 406.53796 483.07468 505.30496],[165.01236 230.14922 282.20578 340.93716],[7.8891015 7.851284  7.809458  7.7610335],[0.6995987  0.79368544 0.8799733  0.9661778 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
LSGAINS,A,3e-08,30,False,False,TDD,phase,10.0,[1.4745865 1.6691871 1.9579197 2.3234174],[1.0622087 1.3631026 1.9825369 3.22774  ],[294.25775 313.08737 352.70496 382.98657],[185.79793 215.73293 244.28935 282.3297 ],[6.993343  6.9355516 6.780032  6.625713 ],[1.290237  1.3226436 1.4882985 1.640541 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
LSGAINS,A,1e-07,1,False,False,TDD,phase,10.0,[0.03894536 0.04958408 0.06288433 0.07913049],[0.00824735 0.01353114 0.0211772  0.03144133],[11.626762 14.697113 18.509193 23.141922],[ 4.2397194  5.7234383  7.8224835 10.640594 ],[8.229166 8.224153 8.218358 8.21171 ],[0.51412463 0.51430595 0.51461005 0.5150408 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
LSGAINS,A,1e-07,10,False,False,TDD,phase,10.0,[1.1422167 1.6981038 2.2403262 2.450994 ],[0.99801683 1.9256036  3.0495741  3.0367055 ],[267.285   378.81918 468.90305 520.6062 ],[191.71704 268.5981  337.90323 410.0249 ],[7.883691  7.8590074 7.82081   7.7674074],[0.7381576  0.79334164 0.8629286  0.9454674 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
LSGAINS,A,1e-07,30,False,False,TDD,phase,10.0,[1.4243736 1.6590964 2.0198786 2.469082 ],[0.5927331 1.1985426 2.0116153 2.998112 ],[367.88864 399.8475  423.9081  449.61462],[224.96825 280.24207 300.1299  328.09894],[7.096006  6.9703803 6.715025  6.4787965],[1.4387658 1.4937177 1.6496352 1.6868922],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
LSGAINS,A,3e-07,1,False,False,TDD,phase,10.0,[0.03830643 0.0486021  0.06149798 0.07726758],[0.00834939 0.0143011  0.02278622 0.03407499],[11.531146 14.65787  18.585451 23.39984 ],[ 3.6594603  5.598774   8.38492   12.10722  ],[8.180653  8.17627   8.1711855 8.165357 ],[0.35403526 0.355563   0.35733497 0.35937446],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
LSGAINS,A,3e-07,10,False,False,TDD,phase,10.0,[0.90337616 1.2898169  1.6053076  1.8100173 ],[0.6034881  0.83693904 1.0820937  1.3778858 ],[252.23512 360.9304  446.368   495.99786],[186.38171 261.31448 322.1703  385.63986],[7.9168963 7.8879194 7.846698  7.7890162],[0.72011405 0.77520543 0.8447823  0.9287167 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
LSGAINS,A,3e-07,30,False,False,TDD,phase,10.0,[1.3777673 1.5185044 1.7380296 1.7498827],[0.4987473  0.91246253 1.2871186  1.64416   ],[374.00967 389.02298 413.04538 388.95602],[210.27902 239.44923 232.57031 256.41425],[7.1073127 7.0282607 6.9076977 6.7592974],[1.3437979 1.3882833 1.4375004 1.5391494],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
LSGAINS,C,3e-08,1,False,False,TDD,phase,10.0,[0.04328954 0.0563826  0.07294478 0.09330437],[0.01215392 0.02021762 0.03113    0.04527191],[11.329742 14.297795 18.01051  22.549685],[2.0082479 3.2119458 4.9907517 7.4080915],[8.286088 8.280563 8.274119 8.26669 ],[0.13205972 0.13479121 0.13803028 0.14179315],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
LSGAINS,C,3e-08,10,False,False,TDD,phase,10.0,[1.4072139 2.2041366 2.640615  2.9650059],[1.0035137 1.8683002 1.8020062 2.1240084],[252.07365 355.01923 438.68173 492.38937],[144.81064 195.82495 232.24767 273.2414 ],[7.657332 7.496564 7.348692 7.249798],[0.93553376 1.0155618  1.0957798  1.0649024 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
LSGAINS,C,3e-08,30,False,False,TDD,phase,10.0,[1.528604  1.8372755 2.0596256 2.2483606],[0.72080743 1.0654703  1.3015184  1.9104267 ],[374.73395 420.68747 436.49387 415.26355],[160.18866 211.59273 220.13539 212.20053],[6.9599566 6.4877405 6.0619593 5.8156023],[1.1584674 1.395336  1.6524202 1.720862 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
LSGAINS,C,1e-07,1,False,False,TDD,phase,10.0,[0.03758144 0.04740345 0.05959757 0.07440841],[0.00583683 0.01000869 0.01606025 0.02421035],[10.838182 13.602505 17.02455  21.173279],[2.4228766 3.7815018 5.7440133 8.3766985],[8.253857 8.24657  8.23833  8.229063],[0.20184964 0.20444848 0.2073899  0.21069737],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
LSGAINS,C,1e-07,10,False,False,TDD,phase,10.0,[1.12394   1.6062231 2.000209  2.2277138],[0.42509612 0.59200025 0.805517   1.1443514 ],[291.9505  412.0246  499.68246 538.4394 ],[133.10796 182.07603 220.54318 272.05896],[7.6605573 7.4737225 7.248926  7.0490184],[0.5995304 0.7580403 0.9711179 1.0902686],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
LSGAINS,C,1e-07,30,False,False,TDD,phase,10.0,[1.2435219 1.3365892 1.4893695 1.5813794],[0.29500952 0.5001235  0.9396493  1.4116262 ],[340.41125 356.56735 368.76624 370.28796],[135.7681  165.27074 171.48045 198.3267 ],[6.833526 6.594604 6.223995 5.994237],[1.1946274 1.0855482 1.366836  1.4643435],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
LSGAINS,C,3e-07,1,False,False,TDD,phase,10.0,[0.03696197 0.04645596 0.05821102 0.07246353],[0.00571172 0.00990188 0.01594451 0.02404679],[11.1170225 13.945377  17.44239   21.678679 ],[1.8423271 3.0122325 4.7218766 7.027539 ],[8.275159 8.268851 8.261532 8.253124],[0.12795895 0.12933737 0.13105948 0.13314797],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
LSGAINS,C,3e-07,10,False,False,TDD,phase,10.0,[1.0739275 1.5065477 1.8237201 1.9647733],[0.45161667 0.6268413  0.79200613 1.0076147 ],[305.69507 427.75742 514.5906  548.6817 ],[135.63199 188.5798  230.53622 279.87973],[7.752546  7.6010346 7.418856  7.2022123],[0.5620779  0.7179746  0.85787416 1.0699179 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
LSGAINS,C,3e-07,30,False,False,TDD,phase,10.0,[1.2187135 1.2870542 1.4341868 1.424403 ],[0.27812403 0.48272845 0.55706567 0.72451776],[361.73593 380.92087 430.57104 418.79562],[139.0951  180.58946 209.08089 212.08295],[6.993628  6.668171  6.4308295 6.2611475],[1.0246323 1.2446151 1.3047538 1.3957995],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
LSGAINS,D,3e-08,1,False,False,TDD,phase,10.0,[0.03489574 0.04470485 0.05706256 0.07224657],[0.00988793 0.01574286 0.02400578 0.03491913],[10.487596 13.412861 17.093744 21.612865],[ 2.9883235  4.650281   7.0179205 10.1615925],[8.286262 8.281602 8.276451 8.270769],[0.16867802 0.16893616 0.16925135 0.16963506],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
LSGAINS,D,3e-08,10,False,False,TDD,phase,10.0,[0.9977375 1.3999115 1.6981086 1.8492324],[0.56751835 0.78729075 1.0075401  1.3014169 ],[301.56186 422.2642  508.9901  549.6887 ],[174.30142 239.48378 297.5522  376.65784],[8.145666 8.147266 8.148398 8.149777],[0.2486196  0.25227425 0.2571769  0.2633398 ],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
