model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MAMBACSP,A,3e-08,1,False,False,TDD,vanilla,0,[0.0184278  0.02256457 0.0292344  0.03939224],[0.01247069 0.01724311 0.02066462 0.02999194],[3.0175397 3.6247506 5.1628356 6.9699883],[0.9211545 1.3878934 2.650765  4.0906386],[8.319174 8.315688 8.309556 8.302249],[0.19020715 0.19485919 0.19979827 0.20478146],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
MAMBACSP,A,3e-08,10,False,False,TDD,vanilla,0,[0.06592527 0.13092385 0.21609662 0.3180469 ],[0.06412933 0.14542978 0.23200655 0.4033472 ],[ 7.8401995 15.512854  27.86834   43.287796 ],[ 2.6389227  6.5776696 16.064093  28.918758 ],[8.16795  8.13059  8.076461 8.011683],[0.56345403 0.6408237  0.727387   0.81847656],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
MAMBACSP,A,3e-08,30,False,False,TDD,vanilla,0,[0.25378898 0.45280004 0.74122065 1.0358875 ],[0.42140177 0.56986165 1.0105835  1.4381323 ],[ 19.675299  48.009354  93.34788  148.9057  ],[  9.775397  40.217094  87.6608   139.57726 ],[7.8152328 7.6645656 7.410064  7.0226545],[1.0348855 1.1859428 1.3932228 1.6941012],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
MAMBACSP,A,1e-07,1,False,False,TDD,vanilla,0,[0.02060795 0.02369788 0.02866525 0.03795004],[0.01194418 0.01499741 0.01721951 0.02480268],[3.5797431 3.9415882 4.999068  6.700581 ],[1.5645962 1.7123009 2.286477  3.3505783],[8.249194 8.247895 8.244083 8.239219],[0.515198   0.5161871  0.51777077 0.5195897 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
MAMBACSP,A,1e-07,10,False,False,TDD,vanilla,0,[0.05661262 0.10758027 0.16994728 0.24206391],[0.04520125 0.1015857  0.18993764 0.22412607],[ 7.659915 14.857632 25.73841  40.451473],[ 2.6784482  6.727989  15.622572  29.816868 ],[8.106148 8.073839 8.028572 7.968961],[0.6380679  0.6943516  0.75657105 0.8227822 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
MAMBACSP,A,1e-07,30,False,False,TDD,vanilla,0,[0.14497456 0.40117866 0.6012684  0.8348999 ],[0.18556    1.1051451  0.74960136 0.7200667 ],[ 17.922813  43.25204   86.85865  139.54204 ],[  8.450082  34.355038  74.05932  117.17501 ],[7.9742374 7.8246045 7.524961  7.08967  ],[1.0345548 1.1478325 1.3519957 1.5800219],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
MAMBACSP,A,3e-07,1,False,False,TDD,vanilla,0,[0.01578038 0.01826585 0.02360106 0.0293129 ],[0.00497046 0.00614811 0.00807186 0.01015687],[3.5625734 4.0040135 5.22272   6.6010027],[0.8078324 0.9876504 1.417606  2.0357609],[8.196429 8.195542 8.190802 8.186452],[0.35455328 0.3557208  0.35722798 0.35880545],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
MAMBACSP,A,3e-07,10,False,False,TDD,vanilla,0,[0.04846951 0.08932285 0.13540062 0.19023801],[0.03190481 0.06246654 0.09474026 0.1464551 ],[ 8.336042 15.744931 25.502188 37.398067],[ 2.5240934  5.720737  10.489198  19.012732 ],[8.12579   8.086712  8.039592  7.9878426],[0.63675666 0.70236105 0.7711541  0.8420882 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
MAMBACSP,A,3e-07,30,False,False,TDD,vanilla,0,[0.11139935 0.23188405 0.4363411  0.66570723],[0.09275603 0.22094266 0.47670075 0.7201644 ],[ 17.148643  37.096973  74.52191  127.807304],[  5.9336534  22.26144    55.22455   100.46894  ],[7.9288154 7.828709  7.6350627 7.3553996],[0.99842644 1.1202122  1.3089902  1.5448314 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
MAMBACSP,C,3e-08,1,False,False,TDD,vanilla,0,[0.02767354 0.03294613 0.04303671 0.05930143],[0.01744337 0.02153563 0.02916658 0.04275209],[3.050127  3.5161295 4.9774966 6.509064 ],[0.5120236  0.76008147 1.2931017  1.8877103 ],[8.307715  8.306084  8.301528  8.2960415],[0.13206136 0.13464674 0.13772844 0.14157538],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
MAMBACSP,C,3e-08,10,False,False,TDD,vanilla,0,[0.09554386 0.2265873  0.42244434 0.5784123 ],[0.07679635 0.21722457 0.3891425  0.47271115],[10.237585 25.000755 50.730614 83.79249 ],[ 5.258504 18.887035 42.25382  71.4248  ],[8.165294  8.069163  7.9030666 7.6468177],[0.45388535 0.53465396 0.6988331  1.0153904 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
MAMBACSP,C,3e-08,30,False,False,TDD,vanilla,0,[0.411872  0.8543129 0.9596136 1.1167296],[0.4002605  0.7573107  0.5929834  0.72097015],[ 66.68393 151.17422 201.23637 234.94662],[ 58.550297 115.022415 125.75851  128.30719 ],[7.892031  7.0373564 6.441967  5.9174023],[0.80506504 1.4301708  1.6580491  1.6540152 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
