model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MAMBACSP,B,5e-08,3,True,False,TDD,vanilla,0,[0.03956363 0.06073221 0.09596556 0.14625496],[0.01659896 0.03162317 0.07053858 0.10472159],[ 7.257288 10.764403 17.566927 27.057968],[ 2.5714085  4.4795294  8.457903  13.9887   ],[8.279607 8.264194 8.237574 8.198337],[0.28982124 0.3044821  0.32052174 0.3387292 ],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
MAMBACSP,B,5e-08,6,True,False,TDD,vanilla,0,[0.06761577 0.12777303 0.21956928 0.34220278],[0.03192079 0.07842121 0.15102556 0.24504346],[11.177565 20.860867 38.63835  62.845543],[ 4.426254 10.906387 24.712284 42.77114 ],[8.147528  8.095931  7.996283  7.8342195],[0.40475693 0.43382242 0.4971169  0.6350502 ],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
MAMBACSP,B,5e-08,9,True,False,TDD,vanilla,0,[0.0845926  0.17824154 0.3179992  0.4841228 ],[0.04363375 0.12064743 0.20226862 0.33563954],[ 14.92784   33.194534  65.21732  101.13118 ],[ 6.602926 23.131245 50.563534 76.28645 ],[8.183843  8.099049  7.9214387 7.658868 ],[0.45602345 0.50136966 0.6180535  0.833205  ],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
MAMBACSP,B,5e-08,12,True,False,TDD,vanilla,0,[0.12166908 0.27325302 0.4567187  0.6051819 ],[0.0703797  0.18013096 0.2866062  0.30218056],[ 19.762135  49.600636  92.046425 135.43439 ],[10.595789 34.685146 65.067924 90.07842 ],[8.073529  7.903566  7.5543575 7.0900493],[0.4516995  0.5624224  0.89282024 1.3308202 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
MAMBACSP,B,5e-08,15,True,False,TDD,vanilla,0,[0.15955444 0.36482406 0.5755986  0.7539544 ],[0.11159565 0.25343925 0.34816015 0.37346363],[ 30.21209  79.46295 134.93988 187.18324],[ 20.703556  61.184086  96.17607  123.70631 ],[8.168487 7.853637 7.312505 6.773479],[0.57281023 0.8112105  1.2917048  1.5604689 ],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
MAMBACSP,B,5e-08,18,True,False,TDD,vanilla,0,[0.2498301  0.60177946 0.8234462  0.97656107],[0.16316612 0.42211947 0.42907664 0.4024367 ],[ 49.477272 128.31227  193.04646  244.62946 ],[ 38.848362  98.70541  130.53792  152.01868 ],[7.880049  7.170642  6.421973  5.8285046],[0.6427363 1.1800171 1.646975  1.8138957],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
MAMBACSP,B,5e-08,21,True,False,TDD,vanilla,0,[0.30117047 0.6452873  0.9342134  0.9853824 ],[0.22571349 0.39111283 0.6420439  0.3325732 ],[ 59.79648 139.84113 197.8478  241.05049],[ 53.37396  104.19636  116.694695 123.71252 ],[7.7752686 7.025206  6.257161  5.693515 ],[0.7252161 1.2392614 1.582673  1.7103322],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
MAMBACSP,B,5e-08,24,True,False,TDD,vanilla,0,[0.32490045 0.6267916  0.8355046  0.9528963 ],[0.28684908 0.3927025  0.37029883 0.32217687],[ 70.71596 152.34268 207.46895 251.24826],[ 66.17489 115.50633 128.51323 136.90477],[7.850798  7.029273  6.3710046 5.834082 ],[0.8395225 1.4968177 1.6727796 1.7191796],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
MAMBACSP,B,5e-08,27,True,False,TDD,vanilla,0,[0.36134788 0.70106435 0.87505203 1.019057  ],[0.23176013 0.37145978 0.34868252 0.38337383],[ 74.15615 158.69254 215.28409 251.5191 ],[ 64.14707  111.308464 128.77794  127.081535],[7.73219   6.7703795 6.0944514 5.4863887],[0.75041527 1.5015813  1.6834145  1.7682823 ],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
MAMBACSP,B,5e-08,33,True,False,TDD,vanilla,0,[0.51243323 0.90492105 1.0360364  1.1682668 ],[0.35194793 0.5916698  0.43149677 0.53821015],[112.72692 200.52953 247.47705 275.5453 ],[ 92.97619 132.36761 132.0996  126.55169],[7.4843974 6.3831162 5.832315  5.234879 ],[1.1377709 1.8029345 1.7582188 1.898435 ],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
