model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MAMBACSP,A,3e-08,1,False,False,TDD,phase,10.0,[0.00987185 0.00941006 0.01299442 0.0191169 ],[0.00424804 0.00498978 0.00815466 0.01701621],[3.0556235 2.8495169 4.241701  6.2232223],[1.5627247 1.8475066 3.0013878 6.0201583],[8.327352 8.325205 8.322665 8.318419],[0.1899799  0.1944728  0.19951242 0.20440358],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
MAMBACSP,A,3e-08,10,False,False,TDD,phase,10.0,[0.03332796 0.06897531 0.12770009 0.19113983],[0.03895168 0.07360575 0.12889189 0.21645652],[ 6.121223 10.635105 20.715174 34.42251 ],[ 4.0973315  6.997319  15.913023  30.887978 ],[8.190421  8.1702795 8.138652  8.100911 ],[0.5512245 0.6152889 0.682767  0.7469105],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
MAMBACSP,A,3e-08,30,False,False,TDD,phase,10.0,[0.14601028 0.29227176 0.57386404 0.7959936 ],[0.14349651 0.26795748 0.75654984 0.9058159 ],[ 20.101229  44.695023  87.912865 144.31569 ],[ 17.395838  41.64201   86.984535 141.8124  ],[7.8597937 7.752321  7.5295014 7.1404448],[0.9858626 1.0921525 1.2837212 1.5950782],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
MAMBACSP,A,1e-07,1,False,False,TDD,phase,10.0,[0.00974166 0.00856074 0.00995833 0.01329994],[0.00262856 0.00297739 0.0040746  0.00652803],[2.7722046 2.1754322 2.8917098 3.5757043],[1.1554134 1.0066007 1.4645419 1.9684308],[8.258787 8.259193 8.258995 8.258209],[0.5148933 0.5154748 0.51627   0.5174045],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
MAMBACSP,A,1e-07,10,False,False,TDD,phase,10.0,[0.02270978 0.04661119 0.08780327 0.13145116],[0.01456955 0.04218355 0.07972322 0.10482034],[ 4.8627415  8.377497  16.911854  27.65795  ],[ 3.2911358  6.0283318 13.584998  23.974998 ],[8.133152 8.117892 8.090856 8.059831],[0.6260179  0.6759315  0.7316107  0.78870094],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
MAMBACSP,A,1e-07,30,False,False,TDD,phase,10.0,[0.09706303 0.25493702 0.42372918 0.62683314],[0.16716875 0.49532813 0.5508335  0.46672535],[ 16.344448  40.54107   82.1349   133.42268 ],[ 16.845844  45.621136  88.371216 129.2758  ],[8.021422  7.9023175 7.6537867 7.2390833],[0.99935186 1.101168   1.2603631  1.5354859 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
MAMBACSP,A,3e-07,1,False,False,TDD,phase,10.0,[0.01069514 0.00906597 0.01086759 0.01214867],[0.00208189 0.00239204 0.00256299 0.00341868],[3.259126  2.5207992 3.443982  3.707287 ],[0.66096133 0.61505425 0.9462285  1.2093681 ],[8.208569  8.209575  8.209043  8.2086525],[0.35405645 0.35507676 0.35644162 0.35830587],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
MAMBACSP,A,3e-07,10,False,False,TDD,phase,10.0,[0.0209122  0.03653494 0.06736241 0.10249346],[0.00829725 0.02116574 0.04230754 0.07246079],[ 5.94854   8.897205 16.502619 25.769958],[ 3.7339616  6.0850616 11.123072  19.845346 ],[8.15861  8.144498 8.119228 8.092378],[0.6203145  0.67152673 0.7274989  0.78110147],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
MAMBACSP,A,3e-07,30,False,False,TDD,phase,10.0,[0.0598653  0.14064673 0.29983723 0.5068129 ],[0.03529105 0.11413894 0.2904946  0.47159597],[ 15.415501  31.501255  66.74673  121.03066 ],[ 14.62599   29.949617  64.80979  113.16687 ],[7.9920583 7.93418   7.785908  7.537001 ],[0.9311756 1.0237106 1.1720287 1.4267721],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
MAMBACSP,C,3e-08,1,False,False,TDD,phase,10.0,[0.01114633 0.01064642 0.01360751 0.01881912],[0.00347623 0.00386032 0.00551005 0.01054909],[2.8950706 2.53412   3.683947  4.6703553],[0.830044   0.85647243 1.3998082  2.5595222 ],[8.315851 8.315902 8.315095 8.312702],[0.13139674 0.13399653 0.13684127 0.13992812],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
MAMBACSP,C,3e-08,10,False,False,TDD,phase,10.0,[0.04446544 0.11583332 0.24495958 0.3705728 ],[0.0419144  0.13278234 0.26056567 0.34572583],[ 8.286151 18.148407 39.926666 69.93542 ],[ 5.984498 15.834594 35.68288  64.0172  ],[8.192708  8.130276  8.011791  7.8122754],[0.44023383 0.5029466  0.6351733  0.9177063 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
MAMBACSP,C,3e-08,30,False,False,TDD,phase,10.0,[0.35094354 0.71449953 0.84873444 1.0034384 ],[0.3324731  0.52985084 0.45272508 0.54259   ],[ 68.60314 149.96939 199.00237 234.84175],[ 60.775856 114.386154 125.864365 131.21135 ],[7.928214  7.0926194 6.5216365 5.782434 ],[0.79783237 1.4414328  1.5977011  1.8219252 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
MAMBACSP,C,1e-07,1,False,False,TDD,phase,10.0,[0.01202506 0.01100507 0.01237134 0.01616326],[0.00199936 0.00240173 0.00288455 0.00477353],[3.157151  2.6271243 3.485088  4.1110554],[0.57819104 0.60508204 0.9565659  1.4757247 ],[8.28162  8.279991 8.277462 8.273747],[0.20109521 0.20325424 0.20561643 0.2082328 ],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
MAMBACSP,C,1e-07,10,False,False,TDD,phase,10.0,[0.03247356 0.07306199 0.1543843  0.26238942],[0.01818647 0.05955403 0.12021495 0.20995915],[ 7.7360735 17.063982  37.517616  65.738    ],[ 5.765458 18.079128 40.474506 70.89528 ],[8.206491  8.165296  8.071481  7.9121685],[0.40699422 0.44521984 0.493851   0.6009317 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
