model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MAMBACSP,B,5e-08,3,True,False,TDD,vanilla,0,[0.06230045 0.08835346 0.1319282  0.19694285],[0.02162928 0.03421017 0.07260244 0.11220109],[11.008083 15.161247 22.53161  34.4845  ],[ 2.3180928  3.4797053  7.4686236 14.061351 ],[8.264899 8.246161 8.214651 8.173929],[0.29110098 0.30634853 0.3216204  0.33976638],[8.310018 8.311025 8.311322 8.311014],[0.2866387  0.29886192 0.3112389  0.32331753]
MAMBACSP,B,5e-08,6,True,False,TDD,vanilla,0,[0.07824795 0.15089089 0.26692963 0.4048227 ],[0.0312723  0.09125658 0.18639432 0.27273372],[12.668024 23.452888 44.988224 72.76276 ],[ 3.1613448 10.027768  26.933508  45.93188  ],[8.14313   8.087439  7.9705205 7.8016496],[0.40396103 0.4303139  0.49381757 0.62436557],[8.200852 8.201835 8.201868 8.201473],[0.3916575  0.3997785  0.4085088  0.41598982]
MAMBACSP,B,5e-08,9,True,False,TDD,vanilla,0,[0.09511031 0.22486049 0.40373302 0.58352333],[0.0608644  0.1709907  0.2684385  0.38492578],[ 15.751752  38.793297  78.777084 119.29256 ],[ 5.6905985 25.246296  56.782894  78.355545 ],[8.178945  8.065731  7.8289104 7.5162024],[0.4578125 0.5219507 0.6937441 1.0070542],[8.251503 8.261046 8.269067 8.268886],[0.43901262 0.44828576 0.46303815 0.48474985]
MAMBACSP,B,5e-08,12,True,False,TDD,vanilla,0,[0.14117572 0.34801406 0.5883182  0.7144576 ],[0.08191015 0.24445145 0.39398375 0.3552884 ],[ 21.812075  60.14441  110.87152  156.35141 ],[11.37147 43.43153 75.65113 99.63188],[8.059222 7.839369 7.414241 6.988866],[0.4553893 0.6040696 1.0600096 1.328312 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534238 0.45664805 0.49680933 0.52424616]
MAMBACSP,B,5e-08,15,True,False,TDD,vanilla,0,[0.19405644 0.44498494 0.6978234  0.8406607 ],[0.16480272 0.3004631  0.39339092 0.38367745],[ 34.155636  96.26971  162.87267  215.94713 ],[ 21.891003  64.199974  96.87149  122.09386 ],[8.139181  7.751704  7.152677  6.4956975],[0.5871891 0.8734121 1.3079569 1.6147237],[8.301512 8.301376 8.2951   8.286509],[0.51885885 0.5244441  0.5284308  0.55424315]
MAMBACSP,B,5e-08,18,True,False,TDD,vanilla,0,[0.30254006 0.7284755  0.9373788  1.0178856 ],[0.21486078 0.5496965  0.4977033  0.32118967],[ 55.609535 151.65543  218.8273   265.85968 ],[ 42.333233 110.33853  137.37308  153.52313 ],[7.8225236 6.9585404 6.272378  5.8094087],[0.6659966 1.3446292 1.5763867 1.6286681],[8.143848 8.165355 8.190139 8.226463],[0.55700666 0.5532856  0.58807176 0.6425339 ]
MAMBACSP,B,5e-08,21,True,False,TDD,vanilla,0,[0.3613983 0.7310635 0.9762288 0.9924911],[0.26336402 0.42376676 0.5467322  0.3143356 ],[ 70.04744 159.85432 217.99477 252.57968],[ 55.326508 105.08951  113.27038  120.98081 ],[7.687151 6.807644 6.056233 5.653358],[0.7745422 1.3631833 1.6204247 1.641601 ],[8.123272 8.136701 8.135805 8.151181],[0.5637357  0.5555875  0.58310056 0.62311316]
MAMBACSP,B,5e-08,24,True,False,TDD,vanilla,0,[0.3868435  0.70752543 0.92050743 1.0353122 ],[0.3090914  0.36835194 0.34322658 0.3371731 ],[ 83.156   173.98729 235.17737 278.80933],[ 72.28265  114.217026 126.02566  139.15936 ],[7.755653  6.806656  6.1713543 5.7312684],[0.9261251 1.5900583 1.6561586 1.5818751],[8.27013  8.258452 8.255481 8.262504],[0.5118271  0.5137656  0.52345896 0.57083213]
MAMBACSP,B,5e-08,27,True,False,TDD,vanilla,0,[0.45222   0.8093806 0.9874392 1.0612167],[0.27211678 0.39311862 0.5399919  0.31635085],[ 94.19602 185.21098 238.72685 272.58765],[ 76.898186 121.93673  129.20158  130.37721 ],[7.5775776 6.4943433 5.82025   5.163707 ],[0.81341547 1.5698601  1.5971783  1.6846746 ],[8.164666 8.149782 8.144776 8.15001 ],[0.5907433  0.6523984  0.6741813  0.66140956]
MAMBACSP,B,5e-08,33,True,False,TDD,vanilla,0,[0.6118404  0.99077624 1.1150587  1.1726522 ],[0.39742526 0.57276154 0.44867492 0.46905753],[132.53181 220.12918 269.99313 292.30405],[ 98.38569 134.10411 136.57571 135.83247],[7.3237157 6.3279195 5.703444  5.267205 ],[1.2055386 1.6451374 1.6786116 1.6470449],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
MAMBACSP,B,5e-08,36,True,False,TDD,vanilla,0,[0.7621544 1.0344183 1.147147  1.1488205],[0.47726324 0.4362885  0.42006004 0.39051414],[168.57887 247.00775 283.08542 302.79315],[110.92024 123.35554 113.31814 123.56902],[6.951265  5.7283545 5.1686254 4.7578554],[1.4558896 1.8359885 1.7175363 1.6903716],[8.266979 8.223077 8.203336 8.203679],[0.63908565 0.639546   0.6131122  0.6540083 ]
MAMBACSP,B,5e-08,42,True,False,TDD,vanilla,0,[0.77398896 0.9821107  1.0519227  1.0486271 ],[0.39449024 0.30577683 0.2871425  0.21981707],[168.24336 252.07103 284.91132 308.6948 ],[115.43966 131.57495 124.46619 130.14697],[6.718588  5.8358984 5.2154083 5.0225406],[1.4333725 1.4994055 1.5701495 1.4399022],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.62573683 0.63968205]
MAMBACSP,B,2e-07,3,True,False,TDD,vanilla,0,[0.15920034 0.18021101 0.209551   0.25080138],[0.06293438 0.0669268  0.07400832 0.08585401],[34.515812 38.84306  45.24824  54.955677],[13.586526 14.103568 15.460397 19.390873],[7.95515   7.93214   7.8991356 7.858889 ],[0.45286968 0.46274042 0.47629008 0.4911831 ],[8.140387 8.142667 8.144901 8.14683 ],[0.40203154 0.40776485 0.4140067  0.42071092]
MAMBACSP,B,2e-07,6,True,False,TDD,vanilla,0,[0.16606139 0.20932259 0.28535858 0.3809291 ],[0.06463107 0.07839188 0.11564675 0.16165084],[37.701466 46.610195 63.939598 87.89977 ],[14.163839 16.162003 23.245647 33.81605 ],[8.005877 7.956381 7.860038 7.730375],[0.43161488 0.4569179  0.5073237  0.5890034 ],[8.200198 8.203735 8.207058 8.210534],[0.37354085 0.38056552 0.38964164 0.39972013]
MAMBACSP,B,2e-07,9,True,False,TDD,vanilla,0,[0.17006275 0.25596341 0.39743692 0.5305697 ],[0.05734927 0.08204936 0.14981288 0.20461655],[ 38.41395  58.16698  94.46653 134.66747],[11.83225  20.599504 45.118065 71.08478 ],[8.022488  7.9171886 7.7120643 7.446063 ],[0.45919788 0.46629387 0.5017544  0.61583996],[8.216351 8.215251 8.214624 8.214304],[0.40763524 0.41026488 0.41645426 0.42503932]
MAMBACSP,B,2e-07,12,True,False,TDD,vanilla,0,[0.2084414  0.3731319  0.57304865 0.6917106 ],[0.08283018 0.20218585 0.30595896 0.2828628 ],[ 42.829205  77.24368  124.619606 163.33173 ],[14.537612 37.402195 65.613    77.863174],[7.872173  7.601421  7.095895  6.7292976],[0.53640693 0.737195   1.268469   1.4220079 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833026 0.45556214 0.4728695  0.49387437]
MAMBACSP,B,2e-07,15,True,False,TDD,vanilla,0,[0.23357777 0.4292632  0.61474586 0.75383514],[0.09754235 0.22199269 0.25853878 0.24471034],[ 50.43397 102.2166  159.30132 208.77377],[18.967104 55.32808  79.01417  96.95478 ],[7.921058  7.5707307 7.0992527 6.562174 ],[0.58559227 0.86163646 1.1508754  1.3604527 ],[8.197627 8.204033 8.217084 8.230653],[0.4852605  0.50316983 0.5246719  0.54396856]
MAMBACSP,B,2e-07,18,True,False,TDD,vanilla,0,[0.27059424 0.5020615  0.6983372  0.81847656],[0.12981485 0.27073243 0.29525435 0.24628858],[ 58.132267 121.211044 180.17683  224.15034 ],[ 29.442915  80.10262  102.74133  111.62767 ],[7.8376093 7.357247  6.79364   6.270387 ],[0.59548193 1.0307446  1.3839498  1.4823278 ],[8.1638975 8.175692  8.188434  8.202104 ],[0.48944053 0.50745434 0.51854205 0.52203894]
MAMBACSP,B,2e-07,21,True,False,TDD,vanilla,0,[0.34866866 0.6299333  0.8170054  0.9068949 ],[0.1579667  0.25540796 0.26842898 0.2221934 ],[ 82.83919 164.92517 215.44893 245.06232],[41.241894 83.63373  94.031555 98.639626],[7.7135067 6.9375486 6.199988  5.787514 ],[0.58380973 1.028068   1.3352487  1.3428437 ],[8.188612 8.176667 8.144227 8.140654],[0.44568118 0.44044286 0.45722884 0.47989476]
MAMBACSP,B,2e-07,24,True,False,TDD,vanilla,0,[0.38776258 0.6759496  0.838116   0.9039412 ],[0.20978238 0.30752853 0.2931916  0.21168184],[ 89.17436 169.78517 220.34335 259.59442],[ 50.084778  89.59063   96.59493  110.063034],[7.5732994 6.636825  5.9602776 5.6345754],[0.78823036 1.5056294  1.7198215  1.5860064 ],[8.138821 8.121225 8.131564 8.179232],[0.5049219 0.5401906 0.5545749 0.5767097]
MAMBACSP,B,2e-07,27,True,False,TDD,vanilla,0,[0.41233978 0.6967869  0.8635301  0.9346262 ],[0.23417549 0.29603872 0.2706145  0.19858538],[ 98.74785 182.3979  231.86926 259.8689 ],[ 60.55021   97.142334 100.219765 103.37659 ],[7.5505495 6.6208935 6.0067163 5.468291 ],[0.91108763 1.5120693  1.5627705  1.5699613 ],[8.195907 8.177614 8.161719 8.149494],[0.58492225 0.59560144 0.5773279  0.56295604]
MAMBACSP,B,2e-07,33,True,False,TDD,vanilla,0,[0.53363466 0.7933101  0.9215148  0.9764124 ],[0.2526368  0.26751512 0.224043   0.13617687],[126.44242 212.64723 253.27182 274.93457],[ 71.688416 105.96567  103.668236 106.26019 ],[7.1387987 6.1769495 5.6027923 5.043454 ],[1.0291535 1.4588206 1.3728095 1.4606153],[8.113809 8.133947 8.133893 8.112729],[0.5259433 0.5533906 0.5503319 0.5765364]
MAMBACSP,B,2e-07,36,True,False,TDD,vanilla,0,[0.51980186 0.79740846 0.9556607  1.0146762 ],[0.30127606 0.29600912 0.27943122 0.26362312],[125.1077  201.97232 247.13957 260.3059 ],[ 76.118614  97.72818  102.56622   95.386795],[7.253922  6.3113027 5.5715837 5.131359 ],[1.1191452 1.5258926 1.538392  1.510781 ],[8.202237 8.165164 8.124358 8.063301],[0.48082298 0.53177947 0.57521355 0.61029977]
MAMBACSP,B,2e-07,42,True,False,TDD,vanilla,0,[0.62660784 0.8729274  0.96624446 0.9979855 ],[0.31705257 0.2651952  0.21205013 0.14039065],[152.38925 235.01479 265.34735 273.54678],[ 91.40508  111.588036 113.167854 109.91914 ],[6.7457027 5.869421  5.2964263 4.9639277],[1.4464024 1.4657595 1.3600156 1.1929486],[8.116588  8.1407385 8.108494  8.074529 ],[0.5461968  0.52060753 0.52204317 0.5106326 ]
MAMBACSP,B,4e-07,3,True,False,TDD,vanilla,0,[0.22215004 0.23796642 0.2614651  0.29148644],[0.08087269 0.08227861 0.08485512 0.08969816],[56.241898 60.248497 66.533195 74.8013  ],[18.270426 18.318878 19.020266 20.431774],[7.9006176 7.876985  7.8457823 7.81341  ],[0.42654204 0.434078   0.44211277 0.45295894],[8.20847  8.210395 8.212237 8.213969],[0.33442357 0.33968475 0.345037   0.3505006 ]
MAMBACSP,B,4e-07,6,True,False,TDD,vanilla,0,[0.22604486 0.25813383 0.3162935  0.3880294 ],[0.06567778 0.06866198 0.0839574  0.10690146],[56.254227 64.134995 79.3934   99.47615 ],[17.105532 18.023989 23.60533  33.317154],[7.8819423 7.831067  7.7440534 7.6364384],[0.37863773 0.39189583 0.41721016 0.45353606],[8.184885 8.185724 8.186444 8.187491],[0.32194275 0.32802504 0.33519444 0.3429576 ]
MAMBACSP,B,4e-07,9,True,False,TDD,vanilla,0,[0.22910294 0.29479384 0.4014263  0.504654  ],[0.08348219 0.09723623 0.14328997 0.18736924],[ 57.649445  73.03376  101.009834 131.0565  ],[22.876543 26.080986 38.771896 54.499996],[7.8851695 7.783001  7.5943465 7.3602715],[0.41498291 0.4274678  0.48148045 0.6090167 ],[8.193824  8.191843  8.1865635 8.178488 ],[0.33316842 0.33920404 0.35002944 0.36503997]
MAMBACSP,B,4e-07,12,True,False,TDD,vanilla,0,[0.24891095 0.34793368 0.49079406 0.61734504],[0.08296045 0.1101881  0.1651455  0.19057448],[ 62.029423  88.25839  128.45909  168.2486  ],[22.414814 30.153452 48.926777 64.29029 ],[7.806602  7.6346645 7.320349  6.967444 ],[0.40325695 0.455541   0.6775088  0.9329878 ],[8.155842 8.160818 8.163987 8.167347],[0.32843772 0.33568704 0.35014972 0.36756453]
MAMBACSP,B,4e-07,15,True,False,TDD,vanilla,0,[0.27894875 0.45323676 0.6290587  0.74922884],[0.09782199 0.1922684  0.24915469 0.23622544],[ 68.4061   115.806404 165.80377  205.85744 ],[23.612408 52.686478 74.36858  88.508316],[7.754669  7.405919  6.8702393 6.426124 ],[0.5200395 0.7651056 1.1970831 1.3108667],[8.153601 8.155079 8.152279 8.149134],[0.41019136 0.43171164 0.44939855 0.4603841 ]
MAMBACSP,B,4e-07,18,True,False,TDD,vanilla,0,[0.31288227 0.5088732  0.6820496  0.7917652 ],[0.11531407 0.20708583 0.23665798 0.20377682],[ 76.02396 132.23056 185.01537 221.75056],[31.580854 67.11849  85.18571  87.62661 ],[7.6711335 7.220418  6.603466  6.0776734],[0.55412984 0.8020187  1.1288557  1.32044   ],[8.1320305 8.137831  8.141356  8.146607 ],[0.4299151  0.43325627 0.43164545 0.42852744]
MAMBACSP,B,4e-07,21,True,False,TDD,vanilla,0,[0.31593135 0.5319384  0.7127617  0.83153605],[0.11953913 0.19654511 0.1969414  0.1571861 ],[ 79.683815 145.70782  200.70229  236.4316  ],[ 31.576021  75.45579   97.845764 106.81258 ],[7.70083   7.1673627 6.5290833 5.9574566],[0.51450676 0.7955432  1.0632583  1.1128427 ],[8.166336 8.156872 8.151517 8.130608],[0.39600894 0.41945392 0.43816084 0.4560646 ]
MAMBACSP,B,4e-07,24,True,False,TDD,vanilla,0,[0.3732344 0.6184558 0.7945124 0.8824879],[0.15087259 0.23720036 0.23571528 0.18097223],[ 97.76992 177.36963 235.00781 268.82773],[ 45.672718  90.589264 104.75878  103.06025 ],[7.612595 6.782303 6.162482 5.85247 ],[0.5887548 1.1910853 1.3086853 1.1599178],[8.199759 8.205041 8.207555 8.21912 ],[0.40476805 0.4265331  0.437374   0.43781117]
MAMBACSP,B,4e-07,27,True,False,TDD,vanilla,0,[0.43345603 0.69262487 0.85511863 0.92534286],[0.18476646 0.24886583 0.2345841  0.17386727],[111.45316 184.29143 230.15376 257.6766 ],[50.60398 79.2233  79.41391 78.39435],[7.4028955 6.462533  5.7796235 5.497725 ],[0.6942915 1.2141955 1.358065  1.1742382],[8.149213 8.11694  8.104064 8.116798],[0.38061866 0.3709262  0.37762538 0.39070326]
MAMBACSP,B,4e-07,33,True,False,TDD,vanilla,0,[0.524128   0.7762143  0.8866152  0.94677716],[0.21463102 0.23358195 0.18785298 0.14427772],[149.41676 237.89151 272.08826 291.13754],[ 83.94072 112.55229  92.84956  93.01184],[7.232953  6.1886506 5.6773157 5.337043 ],[0.8896272 1.2828643 1.2740275 1.2148229],[8.246286 8.265709 8.252911 8.226303],[0.46850497 0.4546497  0.43810767 0.4547688 ]
MAMBACSP,B,4e-07,36,True,False,TDD,vanilla,0,[0.5674246  0.8167604  0.91946244 0.97649765],[0.23638132 0.22138438 0.1603509  0.11003505],[139.3409  216.73265 260.14575 289.1382 ],[63.422432 75.83635  77.84586  85.989136],[6.8319535 5.786659  5.3749056 4.959377 ],[1.0852382 1.4175494 1.3102847 1.1565379],[8.057566 8.079076 8.129921 8.168676],[0.40291405 0.39826262 0.400419   0.4095985 ]
MAMBACSP,B,4e-07,42,True,False,TDD,vanilla,0,[0.6322097 0.8374043 0.9216339 0.9862426],[0.3079872  0.26279438 0.15358292 0.10658064],[167.11064 229.72908 260.25925 288.41522],[93.94913  88.61446  88.76186  88.707245],[6.630511  5.8476243 5.477037  5.1724725],[1.3485001 1.4108049 1.285531  1.0835649],[8.13121   8.1205845 8.131761  8.168282 ],[0.45830318 0.4678817  0.483578   0.4428105 ]
MAMBACSP,E,5e-08,3,True,False,TDD,vanilla,0,[0.03858507 0.04661844 0.05373247 0.07250712],[0.00909218 0.01285167 0.01630632 0.02418667],[11.244865 13.627926 15.740892 21.19124 ],[2.7926283 4.052866  5.2341323 7.374711 ],[8.239483 8.226603 8.215444 8.205546],[0.10724082 0.10832979 0.10865153 0.1103382 ],[8.275206 8.273342 8.271564 8.269935],[0.10735613 0.10797673 0.10877382 0.10978277]
MAMBACSP,E,5e-08,6,True,False,TDD,vanilla,0,[0.04651719 0.05898805 0.07288719 0.08672784],[0.014638   0.0207155  0.02905037 0.02994523],[13.45526  17.0911   21.191875 25.39243 ],[4.399252 6.105876 8.495698 8.961089],[8.237727 8.22348  8.207512 8.194302],[0.11454803 0.11649766 0.1192959  0.12181235],[8.276046 8.276882 8.277935 8.278976],[0.11304255 0.11515561 0.11746035 0.1195814 ]
MAMBACSP,E,5e-08,9,True,False,TDD,vanilla,0,[0.05129224 0.07218021 0.09509502 0.10548922],[0.01513519 0.02340809 0.03995634 0.04092965],[14.996299 21.030657 27.618027 31.021507],[ 4.2958364  6.419176  10.793048  11.912174 ],[8.254566 8.234488 8.211194 8.193246],[0.13062531 0.13461727 0.14250544 0.15220715],[8.294175 8.29685  8.298473 8.298301],[0.12703057 0.12796013 0.1290341  0.13212253]
MAMBACSP,E,5e-08,12,True,False,TDD,vanilla,0,[0.05380755 0.07868352 0.10492328 0.11775803],[0.01729805 0.02641319 0.04293819 0.04384137],[15.254756 22.29148  29.717182 33.470345],[ 4.6483626  7.168986  11.608169  12.179413 ],[8.204456 8.17436  8.13863  8.112554],[0.11042683 0.11701861 0.13321787 0.14925817],[8.245989 8.241977 8.236683 8.23173 ],[0.10888104 0.11287002 0.11957746 0.12670897]
MAMBACSP,E,5e-08,15,True,False,TDD,vanilla,0,[0.06278456 0.08942801 0.12962574 0.1558189 ],[0.02266411 0.0318692  0.05421145 0.07469892],[17.918045 25.70406  37.528366 45.787586],[ 6.2663517  9.1014185 15.889816  23.169315 ],[8.214263  8.180421  8.1386    8.1095915],[0.13954628 0.14983107 0.16187218 0.16376328],[8.262611  8.2612095 8.260151  8.261041 ],[0.134938   0.13911162 0.14343648 0.14577532]
MAMBACSP,E,5e-08,18,True,False,TDD,vanilla,0,[0.06921647 0.09555579 0.14229462 0.16900179],[0.03583908 0.04012492 0.05893664 0.08906586],[19.960249 27.92776  41.821598 49.906532],[ 9.899862 11.640162 17.85595  27.124802],[8.225949 8.187592 8.144297 8.12339 ],[0.14101331 0.1533499  0.1646698  0.17168365],[8.281872 8.281912 8.279536 8.27891 ],[0.13541304 0.14105989 0.14464791 0.14809407]
MAMBACSP,E,5e-08,21,True,False,TDD,vanilla,0,[0.08061577 0.10831097 0.15300907 0.18445519],[0.04821471 0.05813394 0.08331838 0.10073006],[23.575285 31.815239 45.249268 54.510513],[13.043822 17.040108 23.939686 28.438738],[8.244752 8.19575  8.145526 8.110147],[0.15238427 0.15586632 0.18062834 0.19621322],[8.307358 8.301057 8.291944 8.288347],[0.14678082 0.14288224 0.14931943 0.1521184 ]
MAMBACSP,E,5e-08,24,True,False,TDD,vanilla,0,[0.08861232 0.12100202 0.16569199 0.22508477],[0.04843196 0.05913089 0.08421373 0.11654154],[25.927174 35.297523 48.44456  66.45618 ],[13.326899 16.999834 24.22559  34.86222 ],[8.213936 8.154995 8.107118 8.061904],[0.14260496 0.15662758 0.19150458 0.22208668],[8.2875   8.278505 8.268627 8.264957],[0.13044441 0.13442534 0.15097408 0.1635157 ]
MAMBACSP,E,5e-08,27,True,False,TDD,vanilla,0,[0.08978732 0.12509374 0.17393284 0.21206857],[0.04622672 0.0645345  0.08474326 0.11056081],[25.937544 36.706905 52.15693  64.152176],[12.672734 19.065687 26.863302 34.44908 ],[8.204166 8.164162 8.126756 8.100448],[0.14138982 0.16232668 0.16760923 0.18945111],[8.279845  8.286421  8.2941885 8.295663 ],[0.1292807  0.14179234 0.1378462  0.14801463]
MAMBACSP,E,5e-08,33,True,False,TDD,vanilla,0,[0.10460356 0.13316923 0.19185895 0.25118688],[0.0569624  0.06768444 0.07863389 0.12470622],[30.293709 38.935204 57.208004 75.55667 ],[16.036428 20.151123 23.997557 40.295807],[8.181889 8.14489  8.084274 8.062296],[0.16647506 0.17780797 0.19666018 0.20144035],[8.287059 8.28844  8.283365 8.28227 ],[0.14250231 0.14087306 0.14854088 0.15866248]
MAMBACSP,E,5e-08,36,True,False,TDD,vanilla,0,[0.10906181 0.14777927 0.19068165 0.24520807],[0.05852809 0.07333176 0.07374865 0.10910061],[31.28085  42.758354 56.873905 74.26151 ],[15.784985 20.667742 22.915207 34.677795],[8.181208 8.139154 8.099558 8.08721 ],[0.18896899 0.21250726 0.21546836 0.21282104],[8.281623 8.287588 8.29217  8.30194 ],[0.16172272 0.17149192 0.17695847 0.17350183]
MAMBACSP,E,5e-08,42,True,False,TDD,vanilla,0,[0.10525682 0.15450582 0.20429827 0.26351517],[0.05595152 0.0743636  0.07699827 0.11159516],[30.280247 45.253998 60.451157 78.51166 ],[15.195606 22.87478  24.450161 35.213757],[8.185659 8.125329 8.08094  8.047186],[0.16928314 0.18820202 0.19366643 0.19432008],[8.2850485 8.277092  8.275991  8.275187 ],[0.15040702 0.15980265 0.16346735 0.16856034]
MAMBACSP,E,2e-07,3,True,False,TDD,vanilla,0,[0.06760328 0.07556073 0.0800519  0.09057085],[0.0170923  0.02070505 0.02435013 0.02685368],[20.251314 22.626104 23.964062 27.121058],[5.0736303 6.1570463 7.2326794 8.026091 ],[8.226779 8.216958 8.208558 8.19995 ],[0.04454698 0.04742896 0.05039237 0.05206266],[8.280581 8.280627 8.280685 8.280739],[0.03952417 0.04055549 0.04168776 0.04291363]
