model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MAMBACSP,A,3e-08,1,False,False,TDD,vanilla,0,[0.05173118 0.0603669  0.06686116 0.08977339],[0.03748499 0.04082963 0.04558451 0.06407179],[ 8.273789 10.483363 12.327897 16.446407],[ 2.1516817  3.2528949  6.3435407 11.169469 ],[8.303676 8.29309  8.287413 8.280841],[0.19088086 0.19583786 0.20145924 0.20632412],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
MAMBACSP,A,3e-08,10,False,False,TDD,vanilla,0,[0.10367176 0.20466736 0.33172673 0.4366993 ],[0.11582651 0.21231502 0.44823992 0.5437918 ],[11.738223 22.766077 39.416462 60.47663 ],[ 3.6019137  9.9946165 23.364307  40.788784 ],[8.152748 8.102526 8.03325  7.95552 ],[0.5716487  0.65810597 0.7598914  0.88432807],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
MAMBACSP,A,3e-08,30,False,False,TDD,vanilla,0,[0.3988229 0.6892077 1.1120194 1.3730525],[0.7785519 0.889477  1.665024  1.9608064],[ 33.312828  76.48937  138.21127  196.70955 ],[ 20.368347  61.46691  114.04212  164.1448  ],[7.728065 7.5355   7.204324 6.881649],[1.1899552 1.2969745 1.4538378 1.632821 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
MAMBACSP,A,1e-07,1,False,False,TDD,vanilla,0,[0.06466071 0.07319207 0.07630339 0.08820397],[0.04772917 0.04492074 0.04143784 0.05533792],[11.707135 14.077297 14.959589 16.465704],[5.3449225 5.637221  6.561122  7.865279 ],[8.230964 8.218878 8.212853 8.205304],[0.5156644 0.5160454 0.5170568 0.517926 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
MAMBACSP,A,1e-07,10,False,False,TDD,vanilla,0,[0.08871956 0.17099148 0.24111639 0.3262535 ],[0.06640722 0.19987856 0.2383632  0.31934017],[13.307373 21.74668  36.693325 56.517178],[ 4.6159816  8.880829  21.682388  41.729973 ],[8.091648  8.04824   7.9860682 7.924386 ],[0.64519066 0.7075812  0.78205013 0.8567411 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
MAMBACSP,A,1e-07,30,False,False,TDD,vanilla,0,[0.21615297 0.42982242 0.66236514 0.8418914 ],[0.22037892 0.41072837 0.5254229  0.49962115],[ 31.207302  76.25172  131.8496   186.0267  ],[ 21.815052  68.03167  122.171906 164.92987 ],[7.9242773 7.7032475 7.3061724 6.80564  ],[1.0701959 1.237478  1.4929298 1.670369 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
MAMBACSP,A,3e-07,1,False,False,TDD,vanilla,0,[0.05589109 0.06548253 0.0782688  0.08601768],[0.01227061 0.0142139  0.01707078 0.02125275],[12.86819  15.425219 18.590307 20.2694  ],[3.3835626 3.7287056 4.9026723 5.904976 ],[8.164611 8.147986 8.139223 8.130494],[0.35676786 0.35900718 0.35978574 0.36285153],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
MAMBACSP,A,3e-07,10,False,False,TDD,vanilla,0,[0.09040798 0.13913962 0.20746028 0.28828767],[0.05261647 0.1004775  0.13672337 0.19598767],[17.0176   24.238792 39.193024 59.9252  ],[ 4.8117    6.831021 15.939833 33.766148],[8.100948  8.052776  7.987211  7.9260826],[0.64945155 0.7193702  0.80274725 0.87620497],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
MAMBACSP,A,3e-07,30,False,False,TDD,vanilla,0,[0.15608302 0.33121765 0.62584305 0.846298  ],[0.11570252 0.2969498  0.666921   0.8188374 ],[ 28.161604  64.59411  122.2728   192.19846 ],[ 15.337282  51.043015 103.21936  153.72038 ],[7.899737  7.770375  7.4902477 7.1414723],[0.9999987 1.1168592 1.3508366 1.605497 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
MAMBACSP,C,3e-08,1,False,False,TDD,vanilla,0,[0.07384118 0.08458254 0.09563199 0.11848951],[0.04536733 0.04403288 0.0619348  0.07993554],[ 8.195279 10.284863 11.684265 14.540844],[1.5219682 2.1186986 3.1159718 4.841148 ],[8.289948 8.281636 8.275509 8.268869],[0.13268521 0.13594267 0.13964091 0.14403632],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
