model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MAMBACSP,B,2e-07,15,True,False,TDD,vanilla,0,[0.23407155 0.4313624  0.61933744 0.7522557 ],[0.09696975 0.22489047 0.26216012 0.24240802],[ 50.51944 102.33357 159.57312 207.93462],[18.25138 55.0015  79.04285 96.74053],[7.922265  7.574024  7.0852923 6.576637 ],[0.58326566 0.8476667  1.181975   1.3485999 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
MAMBACSP,B,2e-07,15,True,False,TDD,vanilla,5,[0.19903421 0.38480756 0.56453276 0.7042305 ],[0.09271502 0.22163543 0.26504427 0.24705371],[ 44.538483  94.28911  148.3275   197.95605 ],[ 19.90293   57.842373  83.32571  100.949776],[7.962126  7.628121  7.166193  6.6307917],[0.57377386 0.8709523  1.1840698  1.422581  ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
MAMBACSP,B,2e-07,15,True,False,TDD,vanilla,10,[0.19027354 0.37280333 0.5456807  0.6885899 ],[0.09214493 0.22193322 0.26848048 0.2520973 ],[ 43.923374  93.50252  145.88715  196.39929 ],[ 21.277653  59.710056  85.80715  103.07992 ],[7.975447  7.653375  7.1952915 6.6659636],[0.56719476 0.86166537 1.1932702  1.4270984 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
MAMBACSP,B,2e-07,15,True,False,TDD,vanilla,15,[0.18860321 0.3705339  0.54182994 0.6855945 ],[0.0927363  0.22159782 0.26947108 0.25272018],[ 44.235302  94.06776  145.95241  196.7809  ],[ 22.131733  60.775578  86.96669  103.92731 ],[7.9790673 7.6596055 7.19841   6.665429 ],[0.56554323 0.8598601  1.2010821  1.4335693 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
MAMBACSP,B,2e-07,15,True,False,TDD,vanilla,20,[0.18825524 0.37032908 0.54121286 0.6857491 ],[0.09276507 0.22190359 0.2703296  0.25286105],[ 44.360775  94.40894  146.31924  197.32231 ],[ 22.284805  60.97839   87.31161  104.09953 ],[7.9801135 7.6600018 7.1987944 6.663614 ],[0.5655203  0.86286926 1.2036091  1.4380141 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
MAMBACSP,B,2e-07,15,True,False,TDD,vanilla,25,[0.18813786 0.37003526 0.54074544 0.68568003],[0.09264583 0.22152656 0.270456   0.2530531 ],[ 44.40299  94.41465 146.25836 197.36705],[ 22.360237  60.99476   87.31194  104.01985 ],[7.980434  7.661366  7.200476  6.6655188],[0.56529564 0.8620095  1.2032943  1.4376249 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
MAMBACSP,B,2e-07,21,True,False,TDD,vanilla,0,[0.34997073 0.62939286 0.8148431  0.9061704 ],[0.15584175 0.25491038 0.26896456 0.22427529],[ 82.820564 164.67677  215.10039  245.03914 ],[40.724724 83.64029  94.6908   99.8746  ],[7.7137575 6.9334416 6.225784  5.796038 ],[0.5856296 1.0490086 1.3216908 1.3251288],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
MAMBACSP,B,2e-07,21,True,False,TDD,vanilla,5,[0.31868932 0.5997646  0.78068703 0.8753424 ],[0.1579102  0.25722978 0.2675694  0.22070587],[ 77.88    159.71318 208.28963 239.23662],[ 43.165688  86.366684  97.81107  102.748795],[7.7612395 6.9709783 6.254311  5.8798733],[0.5762152 1.059597  1.4016206 1.3605409],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
MAMBACSP,B,2e-07,21,True,False,TDD,vanilla,10,[0.31492394 0.5920957  0.7671378  0.8640255 ],[0.16039458 0.25958893 0.2656997  0.219067  ],[ 78.75246 160.1641  206.82298 238.4082 ],[ 45.495705  88.34602   98.56574  103.58714 ],[7.7700286 6.9684544 6.2649684 5.899793 ],[0.580051  1.0846723 1.4138592 1.3805258],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
MAMBACSP,B,2e-07,21,True,False,TDD,vanilla,15,[0.31449115 0.59104246 0.76433825 0.86230356],[0.1605322  0.2596315  0.26539657 0.21848366],[ 79.39004 160.79298 206.97783 238.62447],[ 46.047985  88.826805  98.87073  103.60584 ],[7.773954  6.96832   6.265913  5.9153504],[0.57940006 1.0901756  1.4200509  1.3724074 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
MAMBACSP,B,2e-07,21,True,False,TDD,vanilla,20,[0.31466585 0.59156924 0.7639743  0.86238515],[0.15993576 0.2593853  0.26519635 0.21847272],[ 79.68385 161.18355 207.19135 238.90715],[ 46.153248  88.85255   98.8927   103.67739 ],[7.7753096 6.9677324 6.265349  5.9147124],[0.5780702 1.0915653 1.4187331 1.3717375],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
MAMBACSP,B,2e-07,21,True,False,TDD,vanilla,25,[0.31458104 0.59135264 0.7635696  0.86185426],[0.16010249 0.2595881  0.26551917 0.21888112],[ 79.77456 161.26787 207.19693 238.8838 ],[ 46.248013  88.93294   98.99938  103.786896],[7.7755656 6.968067  6.2674904 5.917136 ],[0.57903177 1.0934165  1.4184196  1.3739868 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
MAMBACSP,B,2e-07,27,True,False,TDD,vanilla,0,[0.41263044 0.6940005  0.8662098  0.938167  ],[0.23505136 0.2949519  0.2758882  0.19715394],[ 98.738655 181.73837  231.93927  260.23322 ],[ 60.822132  96.96523   99.77031  102.62066 ],[7.548944  6.6181793 6.0234637 5.4711504],[0.91712797 1.5164524  1.5422797  1.5454993 ],[8.195908 8.177614 8.161719 8.149493],[0.58492225 0.5956014  0.5773279  0.5629562 ]
MAMBACSP,B,2e-07,27,True,False,TDD,vanilla,5,[0.37741444 0.6634067  0.83991134 0.9138393 ],[0.2416256  0.3045471  0.28596422 0.20276803],[ 92.94304 175.14195 225.44199 254.80269],[ 63.09681  98.69704 101.66044 103.96791],[7.585631  6.692747  6.076507  5.5748987],[0.96371233 1.5098146  1.5629758  1.554473  ],[8.195908 8.177614 8.161719 8.149493],[0.58492225 0.5956014  0.5773279  0.5629562 ]
MAMBACSP,B,2e-07,27,True,False,TDD,vanilla,10,[0.3691619  0.65149736 0.82650495 0.90687895],[0.24155325 0.3000299  0.27517208 0.19588143],[ 93.24656 174.64622 224.33253 254.60928],[ 64.573135  99.19652  102.12414  104.70128 ],[7.595335  6.704199  6.083466  5.5868964],[0.9740855 1.5137095 1.5787169 1.5678968],[8.195908 8.177614 8.161719 8.149493],[0.58492225 0.5956014  0.5773279  0.5629562 ]
MAMBACSP,B,2e-07,27,True,False,TDD,vanilla,15,[0.369043  0.6496192 0.8239111 0.9048703],[0.24145633 0.297304   0.2727684  0.1912101 ],[ 94.103836 175.28691  224.63974  254.98451 ],[ 65.36932   99.560036 102.44648  105.08933 ],[7.5958796 6.704276  6.0743604 5.598308 ],[0.9807283 1.5210545 1.5912061 1.5656198],[8.195908 8.177614 8.161719 8.149493],[0.58492225 0.5956014  0.5773279  0.5629562 ]
