model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MLP,A,3e-08,1,False,False,TDD,vanilla,0,[0.09112202 0.10209788 0.12696275 0.15866768],[0.05387734 0.04930115 0.05809503 0.06001901],[17.150734 20.307863 25.725801 34.84412 ],[ 5.8345895  6.6264806  8.434758  12.287834 ],[8.280617 8.271705 8.25803  8.242648],[0.19269097 0.19726847 0.20302832 0.20894647],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
MLP,A,3e-08,10,False,False,TDD,vanilla,0,[0.15032473 0.19188078 0.2852933  0.38258278],[0.08906768 0.11214657 0.23950285 0.26527876],[25.853086 36.42257  56.903088 85.8461  ],[ 8.68735   15.4324875 27.850119  45.35892  ],[8.122455 8.087765 8.021529 7.934876],[0.5901263  0.67065495 0.77584493 0.9003234 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
MLP,A,3e-08,30,False,False,TDD,vanilla,0,[0.5467425  0.6321857  0.80934334 0.95562315],[0.37589955 0.33359027 0.4898655  0.5395054 ],[108.25499 140.23764 182.53801 228.18297],[ 99.87988  121.777115 150.50789  189.65767 ],[7.448524  7.2045283 7.1205363 6.793542 ],[1.2814596 1.5366707 1.3325031 1.590107 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
MLP,A,1e-07,1,False,False,TDD,vanilla,0,[0.11368294 0.12637752 0.1526531  0.19003944],[0.0469061  0.04539977 0.05218873 0.05426365],[23.029634 26.657192 32.941456 44.032803],[10.097174 11.811186 14.089409 18.572227],[8.196902  8.1885395 8.174659  8.159524 ],[0.5171367  0.516703   0.51827085 0.5201708 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
MLP,A,1e-07,10,False,False,TDD,vanilla,0,[0.1571777  0.198155   0.27981755 0.3819793 ],[0.08666911 0.10401976 0.15675965 0.15571983],[29.462662 39.55227  61.99691  98.337685],[11.278979 18.095093 35.178017 63.230232],[8.044633 8.016983 7.956049 7.862644],[0.66104966 0.7158046  0.7875087  0.8643109 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
MLP,A,1e-07,30,False,False,TDD,vanilla,0,[0.5657271  0.66089845 0.7875732  0.9005443 ],[0.30158934 0.33808482 0.31486136 0.2859739 ],[155.35497 182.92273 218.14113 244.65123],[145.14293 165.59987 195.56708 200.57521],[7.439196  7.206183  6.9419746 6.623995 ],[1.398108  1.5482551 1.6881014 1.6591479],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
MLP,A,3e-07,1,False,False,TDD,vanilla,0,[0.13327403 0.13593727 0.1579662  0.19923972],[0.02418479 0.02286823 0.02539246 0.03110818],[34.00311  34.811813 40.918564 53.796474],[ 8.737333   8.7146435 10.207708  14.382616 ],[8.110661 8.111227 8.108781 8.108825],[0.36141172 0.36273015 0.36632577 0.36935216],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
MLP,A,3e-07,10,False,False,TDD,vanilla,0,[0.25321153 0.29056594 0.39340374 0.55796725],[0.12187559 0.13627198 0.16297567 0.2128581 ],[ 64.79497  76.96131 109.97543 166.90053],[ 41.70276   49.667767  65.55739  100.39014 ],[7.9815273 7.9535203 7.8654633 7.6938844],[0.6859913  0.7502504  0.83403903 0.9593697 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
MLP,A,3e-07,30,False,False,TDD,vanilla,0,[0.70767707 0.76022035 0.8823258  0.9928038 ],[0.31986466 0.2765499  0.27399397 0.29051268],[211.75793 235.76544 272.39822 308.57498],[163.36891 179.13782 199.26843 218.14146],[7.2549105 7.090908  7.059163  6.7964125],[1.3213619 1.3200788 1.4225603 1.64808  ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
MLP,C,3e-08,1,False,False,TDD,vanilla,0,[0.137209   0.14937167 0.18126796 0.21717739],[0.04893545 0.04402629 0.05366141 0.06001698],[18.822376 22.053381 27.664867 37.19436 ],[4.5071735 5.1072335 6.2875237 8.479996 ],[8.260693 8.253709 8.239387 8.223285],[0.13542062 0.13867795 0.14345095 0.14864863],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
