model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
ITRANSFORMER,A,3e-08,1,False,False,TDD,vanilla,0,[0.39261764 0.39341813 0.39598238 0.40013936],[0.14501041 0.14296858 0.1425734  0.14266479],[109.13845  109.457565 110.341156 111.40716 ],[48.551716 48.702637 49.073704 49.469418],[7.774167  7.7704167 7.7680163 7.7673607],[0.4041558  0.41207787 0.41542763 0.41094282],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
ITRANSFORMER,A,3e-08,10,False,False,TDD,vanilla,0,[0.42164266 0.47503337 0.53670985 0.6038006 ],[0.1792452  0.19394742 0.286387   0.47919932],[103.336624 115.340706 125.01542  131.39305 ],[58.63263  60.245354 66.85997  76.260704],[7.6314716 7.5548034 7.5303893 7.5031257],[0.71518815 0.8143293  0.8667639  0.9944206 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
ITRANSFORMER,A,3e-08,30,False,False,TDD,vanilla,0,[0.6291252  0.7769206  0.93038404 1.0097852 ],[0.50703055 0.5598714  0.6717635  0.515817  ],[117.11946 143.13094 178.27283 208.75879],[ 69.05259   98.800575 127.36078  149.44238 ],[7.2209907 6.99813   6.8056755 6.604355 ],[1.1473368 1.3027267 1.4079283 1.5724032],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
ITRANSFORMER,A,1e-07,1,False,False,TDD,vanilla,0,[0.48625392 0.48928127 0.49336544 0.49905622],[0.09740203 0.09775544 0.09766832 0.0979884 ],[138.01692 138.87259 140.3114  142.2378 ],[54.161316 54.688778 55.5362   56.368134],[7.6074657 7.60309   7.595873  7.583818 ],[0.6142547  0.61524534 0.61782134 0.61963314],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
ITRANSFORMER,A,1e-07,10,False,False,TDD,vanilla,0,[0.50985736 0.5444757  0.58706534 0.60019517],[0.13241015 0.14682296 0.30144832 0.16209278],[137.61186 145.86542 151.38847 159.09865],[63.437874 72.71721  75.347    81.15733 ],[7.3636928 7.3311524 7.294259  7.2565093],[0.7046553  0.7495604  0.82191265 0.9095261 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
ITRANSFORMER,A,1e-07,30,False,False,TDD,vanilla,0,[0.57685083 0.7002781  0.81977934 0.8800804 ],[0.18792407 0.4016156  0.34841216 0.28696972],[156.9436  170.64627 205.54256 221.60901],[ 97.91547  102.955696 142.40823  158.29227 ],[7.1824784 7.065975  6.6751723 6.4884667],[1.2240609 1.3491029 1.4678991 1.4215459],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
ITRANSFORMER,A,3e-07,1,False,False,TDD,vanilla,0,[0.5113101  0.5159778  0.521672   0.52829874],[0.02875031 0.02995379 0.03157006 0.03280609],[149.80203 150.98668 152.48534 154.25899],[31.101486 31.374996 31.824606 32.30006 ],[7.4303107 7.420502  7.40878   7.3928204],[0.39177847 0.39452428 0.39819044 0.40022513],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
ITRANSFORMER,A,3e-07,10,False,False,TDD,vanilla,0,[0.54120034 0.5676913  0.59406555 0.62937564],[0.05050661 0.06412748 0.07535908 0.09385919],[158.47714 166.00957 174.76083 186.33461],[56.86677 62.1502  69.65096 79.60484],[7.296799  7.257549  7.2035193 7.1275206],[0.7139916  0.7778352  0.8388951  0.91069514],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
ITRANSFORMER,A,3e-07,30,False,False,TDD,vanilla,0,[0.5996441  0.66446596 0.76515913 0.8651907 ],[0.09590215 0.14241213 0.2126044  0.3083067 ],[167.09753 184.13818 210.88272 241.11148],[ 76.98702  90.9352  115.5027  145.47514],[7.034182  6.9221535 6.7177067 6.532504 ],[1.0956104 1.2067248 1.3202857 1.4426271],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
ITRANSFORMER,C,3e-08,1,False,False,TDD,vanilla,0,[0.4630969  0.46764696 0.4738948  0.48228395],[0.11060104 0.11276165 0.11576209 0.11953697],[113.54063  114.890236 116.80571  119.122345],[28.959799 28.928709 28.975204 29.164518],[7.630865  7.623743  7.614909  7.6034093],[0.27620763 0.2787779  0.27982488 0.28054646],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
