model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MAMBA,A,3e-08,1,False,False,TDD,vanilla,0,[0.04924261 0.04998247 0.05354143 0.07729223],[0.02772744 0.02908405 0.03109334 0.041396  ],[14.243292  13.1370125 13.305621  19.136784 ],[10.312126  8.828125  8.47405  11.610877],[8.293591 8.293061 8.292315 8.275978],[0.1861134  0.19235797 0.19769475 0.20328319],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
MAMBA,A,3e-08,10,False,False,TDD,vanilla,0,[0.13667421 0.22243153 0.31966028 0.42096606],[0.10914697 0.23493545 0.37555403 0.41556877],[27.431736 39.29963  56.874615 88.21638 ],[16.144165 25.786814 39.43259  59.18379 ],[8.121764  8.084755  8.015009  7.9124117],[0.56829345 0.6387972  0.7262323  0.8310479 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
MAMBA,A,3e-08,30,False,False,TDD,vanilla,0,[0.4731062  0.73589206 0.9411284  1.0092895 ],[0.65250826 1.2720665  1.1223105  0.71363217],[ 61.66969 103.56549 159.6034  213.08655],[ 54.94151  97.11484 134.84193 178.0167 ],[7.6881366 7.51469   7.18389   6.7326355],[1.059136  1.192787  1.3257911 1.5265934],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
MAMBA,A,1e-07,1,False,False,TDD,vanilla,0,[0.05557017 0.05375328 0.05847103 0.09003033],[0.02748138 0.02576566 0.0294381  0.03911445],[14.582249 13.595828 13.984397 21.297024],[ 9.710549  9.001765  8.866435 12.654094],[8.219814 8.222649 8.224286 8.208096],[0.5109987  0.511204   0.512196   0.51114124],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
MAMBA,A,1e-07,10,False,False,TDD,vanilla,0,[0.13656873 0.21165194 0.30166784 0.4116471 ],[0.0843598  0.17690639 0.2485604  0.27421954],[27.684088 43.02509  64.56088  99.548096],[14.794467 30.308323 49.620518 77.93913 ],[8.048483  8.011609  7.9378595 7.8325624],[0.6554993  0.71650463 0.7879673  0.86540073],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
MAMBA,A,1e-07,30,False,False,TDD,vanilla,0,[0.35899013 0.59994    0.7309777  0.95101   ],[0.25452596 0.74494916 0.33882442 0.4090724 ],[ 86.992714 134.47984  193.66588  238.08656 ],[ 74.129425 111.83118  160.69412  189.54456 ],[7.806613  7.5647607 7.045083  6.4006343],[1.0389057 1.204589  1.4845746 1.620089 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
MAMBA,A,3e-07,1,False,False,TDD,vanilla,0,[0.0905758  0.07177585 0.07313237 0.12098407],[0.0376723  0.02817098 0.03039433 0.05314158],[24.903814 18.687323 18.626106 31.572731],[12.573004  8.24023   8.716559 17.202244],[8.146529 8.157399 8.159179 8.142321],[0.35770622 0.35618907 0.35788035 0.36350444],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
MAMBA,A,3e-07,10,False,False,TDD,vanilla,0,[0.28372902 0.33272466 0.40318176 0.56120896],[0.11109826 0.15476584 0.21168964 0.22646314],[ 71.38728  81.22903  99.05768 152.25894],[42.376106 49.235638 61.717125 85.9844  ],[7.9159026 7.8679485 7.7893205 7.642618 ],[0.6932331  0.76525867 0.8572402  0.98737174],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
MAMBA,A,3e-07,30,False,False,TDD,vanilla,0,[0.56523705 0.7080496  0.874246   1.1197971 ],[0.2264026  0.3370255  0.52304244 0.4565556 ],[150.1957  186.38866 225.67488 322.9866 ],[ 95.951584 122.9137   149.26447  221.33163 ],[7.381621  7.2411604 6.8722606 6.5558095],[1.2628089 1.4211978 1.5877234 1.619479 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
MAMBA,C,3e-08,1,False,False,TDD,vanilla,0,[0.07340947 0.07520323 0.08150458 0.10993869],[0.03254278 0.03608131 0.04140674 0.04499736],[15.681835 14.421474 14.576302 20.472078],[7.1900587 6.1719513 6.010966  7.422082 ],[8.270179 8.274797 8.276031 8.258342],[0.1350343  0.13775846 0.14012969 0.1448552 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
MAMBA,C,3e-08,10,False,False,TDD,vanilla,0,[0.2167812  0.39795628 0.6002538  0.69211936],[0.14541356 0.36840093 0.4752207  0.42397177],[ 37.377693  60.90212   98.34044  138.57024 ],[15.671876 31.790241 61.136864 86.44227 ],[8.071961  7.9264746 7.635372  7.296025 ],[0.47089252 0.5741668  0.8380522  1.1642243 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
MAMBA,C,3e-08,30,False,False,TDD,vanilla,0,[0.66805816 0.9720684  1.0961663  1.2261152 ],[0.5379024 0.6181281 0.5486883 0.5445637],[124.821014 205.87952  257.01233  287.8024  ],[ 79.70386 124.04798 139.13272 161.40215],[7.5888753 6.7109585 5.969699  5.4200287],[0.98053765 1.5423199  1.745234   1.7562971 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
MAMBA,C,1e-07,1,False,False,TDD,vanilla,0,[0.07758738 0.07166894 0.07526022 0.10720164],[0.03051226 0.02971254 0.03207472 0.04032112],[18.513151 16.26974  16.769787 23.865017],[ 8.537857  7.554055  8.04249  11.104119],[8.216663 8.223835 8.224079 8.203724],[0.20225708 0.20397669 0.20698473 0.20994096],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
MAMBA,C,1e-07,10,False,False,TDD,vanilla,0,[0.29152194 0.38332045 0.50894994 0.6297349 ],[0.11465596 0.14882228 0.19869347 0.21782899],[ 64.96232  90.66946 127.74021 162.92354],[28.662207 48.03929  76.33657  89.98195 ],[7.9029064 7.7515316 7.457114  7.1396637],[0.4778192 0.5675896 0.7266866 0.899807 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
MAMBA,C,1e-07,30,False,False,TDD,vanilla,0,[0.5922156  0.72967917 0.87384224 1.0196642 ],[0.23246627 0.2341389  0.26158148 0.24730256],[137.1065  188.2959  232.39737 281.62897],[ 68.41162   90.833755 106.680214 134.79283 ],[7.346796  6.792836  6.220481  5.6718493],[0.85887843 1.1433283  1.2511704  1.278732  ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
