model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
TIMEMIXER,A,3e-08,1,False,False,TDD,vanilla,0,[0.48833084 0.5349236  0.5623396  0.57026696],[0.31722525 0.32237193 0.32976162 0.33763176],[ 91.57764  110.36572  123.679375 128.9221  ],[25.207762 46.030514 63.345318 70.41134 ],[7.919793  7.9142146 7.92654   7.9375725],[0.20339209 0.21586713 0.21885052 0.22498761],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
TIMEMIXER,A,3e-08,10,False,False,TDD,vanilla,0,[1.2310529 1.5406154 1.7230605 1.5823482],[0.92623913 1.5855212  2.3915544  1.4560603 ],[205.78828 245.19519 270.2642  288.92325],[ 67.803566  85.97985  114.5476   133.12514 ],[6.7786345 6.1786823 5.953661  5.831538 ],[1.0580336 1.4508922 1.7202152 1.6936269],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
TIMEMIXER,A,3e-08,30,False,False,TDD,vanilla,0,[2.833078  2.476428  2.4415674 2.2998075],[6.4615335 3.3501987 2.6581626 2.0103834],[239.46785 276.71817 323.16415 341.27008],[107.20102 139.36264 178.94481 203.41002],[5.6665134 5.2731433 4.9131703 4.804676 ],[1.8603698 1.810823  1.6576651 1.758305 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
TIMEMIXER,A,1e-07,1,False,False,TDD,vanilla,0,[0.45997497 0.49238572 0.5090932  0.51201445],[0.23630723 0.2376843  0.24730866 0.2525762 ],[ 91.60884  104.98255  115.03952  117.846565],[38.18894 55.02568 71.81163 76.98279],[7.836681 7.839694 7.858063 7.874921],[0.5224894 0.5440765 0.5267748 0.535672 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
TIMEMIXER,A,1e-07,10,False,False,TDD,vanilla,0,[1.0428379 1.3312625 1.5185405 1.4891379],[0.6970196 1.1166703 1.5462823 1.1407449],[203.5062  260.221   297.79218 314.3405 ],[ 90.60027 125.55143 161.28409 180.13571],[6.8185387 6.1351347 5.811598  5.671432 ],[1.093294  1.4250969 1.5835699 1.6253216],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
TIMEMIXER,A,1e-07,30,False,False,TDD,vanilla,0,[1.8752512 1.8480405 2.2049046 2.0149248],[3.8084404 1.6524723 2.9363327 1.8394471],[288.29083 323.5626  350.05414 348.96988],[148.52228 177.32224 188.57051 194.8352 ],[5.6748266 5.146078  4.7473965 4.4957585],[1.67306   1.6482122 1.6195081 1.6308773],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
TIMEMIXER,A,3e-07,1,False,False,TDD,vanilla,0,[0.36037502 0.41639984 0.45107988 0.464454  ],[0.07920033 0.13488661 0.1830058  0.20207512],[ 91.9185  110.80782 124.30043 129.44867],[29.667158 51.135796 69.7429   76.584145],[7.761008  7.7575035 7.776399  7.790959 ],[0.3831489  0.39492607 0.38443294 0.390719  ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
TIMEMIXER,A,3e-07,10,False,False,TDD,vanilla,0,[0.8492744 1.0688761 1.1924263 1.2534118],[0.37207007 0.59400225 0.6874737  0.74979055],[201.91425 257.9987  297.0765  318.42667],[ 80.62002 109.14772 144.1183  163.35283],[6.827838  6.2980013 6.0690217 5.9465938],[1.1237421 1.3429595 1.4939224 1.508237 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
TIMEMIXER,A,3e-07,30,False,False,TDD,vanilla,0,[1.2334436 1.3614818 1.557705  1.5481447],[0.6422521 0.8897107 1.1983825 1.1853886],[276.8998  300.8292  338.71167 351.26566],[128.74062 126.99967 160.1218  182.39572],[5.487288  5.2981257 5.0233006 4.8545613],[1.6279902 1.5562869 1.5800706 1.5991772],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
TIMEMIXER,C,3e-08,1,False,False,TDD,vanilla,0,[0.63234514 0.6849577  0.70859367 0.7157494 ],[0.32289043 0.35350373 0.36015022 0.37006846],[ 91.009445 109.26204  122.22706  127.6605  ],[16.093298 31.255213 44.311203 50.73314 ],[7.9005084 7.889031  7.8975563 7.9082775],[0.14738284 0.15872006 0.16152851 0.16652308],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
