model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
TSMIXER,A,3e-08,1,False,False,TDD,vanilla,0,[0.08914743 0.09375224 0.10173526 0.11932104],[0.04929213 0.05003932 0.05125193 0.05894266],[16.452858 17.194923 19.003164 22.630255],[4.3045173 4.038529  4.563905  6.147437 ],[8.2656555 8.265668  8.254743  8.244417 ],[0.18753023 0.1929754  0.1984493  0.20401812],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
TSMIXER,A,3e-08,10,False,False,TDD,vanilla,0,[0.20471914 0.25438544 0.29898456 0.34651977],[0.15660682 0.21148117 0.33749992 0.26894483],[29.508106 34.8623   43.347    59.538586],[ 8.481546 11.707279 19.909227 33.67087 ],[8.058869 8.039517 7.998711 7.936841],[0.5970949  0.665666   0.7512006  0.83426875],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
TSMIXER,A,3e-08,30,False,False,TDD,vanilla,0,[0.5315539  0.63429224 0.88776773 1.0578625 ],[0.75946426 0.52629226 0.86663055 1.2152723 ],[ 51.9593   85.64044 136.79054 182.6238 ],[ 22.632137  55.378365 103.04345  140.30429 ],[7.588721  7.4163346 7.1180553 6.7387915],[1.1965264 1.3244901 1.4196866 1.6680738],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
TSMIXER,A,1e-07,1,False,False,TDD,vanilla,0,[0.09085206 0.09496604 0.10380322 0.12129476],[0.03475433 0.03614233 0.03622398 0.04247846],[17.998503 18.640865 20.862322 24.569033],[5.856357  5.5907154 6.615589  7.8552446],[8.197589 8.198536 8.187722 8.179541],[0.5112504  0.5138687  0.5146144  0.51603585],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
TSMIXER,A,1e-07,10,False,False,TDD,vanilla,0,[0.19162995 0.25112456 0.28210628 0.34663945],[0.12479916 0.23680209 0.2536375  0.30376762],[31.113281 37.660763 45.15984  60.631924],[10.270921 14.257354 23.032553 36.93217 ],[7.9921923 7.9669127 7.931158  7.8647523],[0.666986  0.7270654 0.7962517 0.8844155],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
TSMIXER,A,1e-07,30,False,False,TDD,vanilla,0,[0.34554935 0.6715503  0.6547017  0.869975  ],[0.23441844 1.9907202  0.38410527 0.46240562],[ 59.59155  90.44574 138.86528 183.07266],[ 28.431435  59.778164 109.62755  143.6359  ],[7.725309  7.4975348 7.072845  6.65221  ],[1.1679833 1.4237608 1.6363598 1.7045538],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
TSMIXER,A,3e-07,1,False,False,TDD,vanilla,0,[0.09195284 0.09687826 0.10154361 0.1201724 ],[0.01333795 0.01522485 0.0155787  0.01858913],[22.592554 24.259502 25.360552 30.374763],[4.1022058 5.011695  5.0095067 6.164166 ],[8.138338  8.136855  8.122179  8.1132145],[0.35783204 0.36031237 0.36336818 0.36549044],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
TSMIXER,A,3e-07,10,False,False,TDD,vanilla,0,[0.18533719 0.23397356 0.2680408  0.3348736 ],[0.0840008  0.12486694 0.13290715 0.19743267],[38.260204 47.537186 58.976982 76.03583 ],[10.1633625 15.786862  28.479834  43.792484 ],[7.9794283 7.9402623 7.888105  7.81917  ],[0.6907289  0.76056135 0.82821167 0.9118971 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
TSMIXER,A,3e-07,30,False,False,TDD,vanilla,0,[0.32152516 0.42150992 0.6071298  0.7483772 ],[0.18471704 0.23678531 0.39122206 0.4422283 ],[ 62.150135  89.43311  140.43803  183.80215 ],[ 21.122814  44.99517   97.15184  121.47602 ],[7.6553802 7.5144334 7.23942   6.917539 ],[1.1337209 1.2387512 1.4127088 1.6226957],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
TSMIXER,C,3e-08,1,False,False,TDD,vanilla,0,[0.11463332 0.12531954 0.13466513 0.16219234],[0.04510457 0.05709482 0.05787355 0.0769323 ],[17.655603 17.795067 19.892506 24.017166],[3.8404567 3.0767822 3.3117306 4.1609855],[8.2422   8.246006 8.236494 8.22332 ],[0.13180792 0.13518757 0.13901213 0.14319846],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
TSMIXER,C,3e-08,10,False,False,TDD,vanilla,0,[0.28002158 0.43396088 0.5897356  0.6985527 ],[0.16639036 0.3308514  0.5643001  0.5601502 ],[ 36.7626    54.72975   80.60123  113.597275],[11.552104 26.763155 48.707928 72.47912 ],[8.027003  7.899127  7.7027397 7.418587 ],[0.48545757 0.59895396 0.81838596 1.1364366 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
TSMIXER,C,3e-08,30,False,False,TDD,vanilla,0,[0.609647  1.012355  1.0569593 1.1198871],[0.4899305 0.8234031 0.6435611 0.5197984],[105.005264 181.66092  224.03062  243.76039 ],[ 61.40166 110.3489  128.09413 130.75348],[7.581479  6.5342474 6.099557  5.817971 ],[1.0276998 1.8966982 1.7124376 1.6896535],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
TSMIXER,C,1e-07,1,False,False,TDD,vanilla,0,[0.091323   0.09625693 0.10423817 0.12344906],[0.02526923 0.02613847 0.02436033 0.02936245],[17.877914 18.776989 20.57032  24.555481],[2.939287  3.0160584 3.3888843 4.681024 ],[8.213633 8.212801 8.199137 8.186112],[0.19903125 0.20247394 0.20574726 0.20848368],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
TSMIXER,C,1e-07,10,False,False,TDD,vanilla,0,[0.22009581 0.31664476 0.40931606 0.520508  ],[0.07850938 0.13055928 0.18749304 0.23826048],[ 43.667984  67.439156  93.864105 125.235085],[14.043952 38.094593 66.36441  93.306885],[8.004333  7.868201  7.6781907 7.3957963],[0.45032105 0.5165589  0.640232   0.8912114 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
TSMIXER,C,1e-07,30,False,False,TDD,vanilla,0,[0.4507445  0.6501391  0.79574984 0.890023  ],[0.22120765 0.2672862  0.26820952 0.28218904],[ 97.03261 154.84702 200.57953 233.92082],[ 55.22493   86.42385  113.526985 131.47269 ],[7.592821  7.0194674 6.495442  6.193776 ],[0.85721785 1.1583081  1.332157   1.4252852 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
TSMIXER,C,3e-07,1,False,False,TDD,vanilla,0,[0.08642601 0.09109668 0.09671445 0.11439352],[0.01020462 0.01144988 0.01259295 0.01499351],[22.12294  23.692238 25.000982 29.883204],[2.7100537 3.189977  2.9831727 3.7933645],[8.235339 8.231645 8.215214 8.202803],[0.12756893 0.12928227 0.13081685 0.1330641 ],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
TSMIXER,C,3e-07,10,False,False,TDD,vanilla,0,[0.19739912 0.27871832 0.34868786 0.4288609 ],[0.05770294 0.09465725 0.13491108 0.16252996],[ 48.854904  71.11156   91.54398  116.01169 ],[12.266223 27.502777 43.70869  57.712242],[8.013277  7.8831234 7.731125  7.530129 ],[0.38166055 0.44216835 0.52997047 0.6569903 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
TSMIXER,C,3e-07,30,False,False,TDD,vanilla,0,[0.3986018  0.57140946 0.6923783  0.7574781 ],[0.19867778 0.25141484 0.2575317  0.23344578],[ 99.845314 154.85222  200.2615   227.57707 ],[ 44.228294  71.64307   94.30458  113.02658 ],[7.5941944 7.1717668 6.8354325 6.555695 ],[0.94753   1.1178284 1.2981753 1.3954034],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
TSMIXER,D,3e-08,1,False,False,TDD,vanilla,0,[0.05110157 0.05702208 0.065725   0.0798284 ],[0.00851868 0.00813309 0.00909702 0.01182011],[14.632816 16.520615 19.010174 23.108294],[2.1053452 2.341921  2.4690914 3.202512 ],[8.269327 8.266385 8.258616 8.253805],[0.16865517 0.16909088 0.17000946 0.17053919],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
TSMIXER,D,3e-08,10,False,False,TDD,vanilla,0,[0.09547435 0.09877972 0.09771688 0.11883426],[0.02684318 0.03098647 0.02770634 0.03688092],[27.784824 28.792814 29.05432  35.79662 ],[ 7.285518  8.420048 10.154611 14.073845],[8.20535  8.207001 8.201122 8.184298],[0.2290531  0.23881742 0.24496566 0.25924206],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
TSMIXER,D,3e-08,30,False,False,TDD,vanilla,0,[0.14638151 0.16672249 0.21541724 0.2624487 ],[0.05962791 0.06834634 0.09276949 0.12259991],[41.130688 46.754204 61.60802  74.78922 ],[13.296091 17.720222 28.019947 35.626564],[8.094595  8.069071  8.011336  7.9513035],[0.37065154 0.37710074 0.4067916  0.49988753],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
TSMIXER,D,1e-07,1,False,False,TDD,vanilla,0,[0.0521775  0.0581327  0.06636252 0.07944062],[0.00738439 0.00734392 0.00745415 0.00954019],[15.332769 17.190414 19.584679 23.475037],[2.2714722 2.295514  2.3158665 2.9921088],[8.261801 8.258553 8.250902 8.246627],[0.04611448 0.04750714 0.04929284 0.05069692],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
