model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MODEL,B,5e-08,3,True,False,TDD,vanilla,0,[0.05146925 0.07620998 0.11619537 0.1773572 ],[0.01791724 0.0286397  0.0661729  0.10703153],[ 9.772021 14.735266 21.029192 33.45194 ],[ 2.2131326  4.2913046  8.295278  16.639046 ],[8.267342 8.250551 8.225561 8.183479],[0.2901613  0.3037194  0.31970856 0.33910394],[8.310018 8.311025 8.311322 8.311014],[0.2866387  0.29886192 0.3112389  0.32331753]
MODEL,B,5e-08,6,True,False,TDD,vanilla,0,[0.07841959 0.15061572 0.24754268 0.37846866],[0.04114321 0.10435446 0.1561212  0.23493479],[12.561291 24.43852  44.293766 76.40992 ],[ 3.702295 11.166677 27.560982 52.121597],[8.141138  8.0844755 7.9662156 7.740505 ],[0.40363914 0.43301567 0.5132784  0.7413015 ],[8.200852 8.201835 8.201868 8.201473],[0.3916575  0.3997785  0.4085088  0.41598982]
MODEL,B,5e-08,9,True,False,TDD,vanilla,0,[0.09786556 0.2203787  0.36011297 0.51928604],[0.05282186 0.15829176 0.22816812 0.30940935],[ 16.432398  39.944115  75.84587  119.73005 ],[ 6.756024 26.884829 57.277245 87.413376],[8.175134 8.06459  7.847667 7.501148],[0.45923942 0.5231224  0.6950432  0.9932267 ],[8.251503 8.261046 8.269067 8.268886],[0.43901262 0.44828576 0.46303815 0.48474985]
MODEL,B,5e-08,12,True,False,TDD,vanilla,0,[0.1522609  0.3263209  0.500996   0.63606125],[0.09897107 0.20893227 0.3125729  0.30347827],[ 23.766304  63.110764 108.07374  154.19754 ],[ 12.429578  45.930172  77.10217  100.24848 ],[8.057781  7.8235807 7.414852  6.9014473],[0.4527184 0.6346751 1.0877928 1.5158334],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534238 0.45664805 0.49680933 0.52424616]
MODEL,B,5e-08,15,True,False,TDD,vanilla,0,[0.20812653 0.41475472 0.5913765  0.7332299 ],[0.1445111  0.26918334 0.32168677 0.32235807],[ 40.817272  96.74014  151.81856  202.747   ],[ 27.807144  72.18253  104.56135  130.41943 ],[8.133354  7.768879  7.223752  6.7037187],[0.58909976 0.9008251  1.3759139  1.5152861 ],[8.301512 8.301376 8.2951   8.286509],[0.51885885 0.5244441  0.5284308  0.55424315]
MODEL,B,5e-08,18,True,False,TDD,vanilla,0,[0.3044104 0.6122615 0.7918706 0.9345723],[0.17790243 0.32296315 0.33797598 0.30696645],[ 61.488033 148.80742  207.80782  260.0259  ],[ 42.027767 104.114235 129.21298  150.66362 ],[7.823776  6.9673796 6.274561  5.8256516],[0.67288196 1.3603213  1.6722355  1.6036358 ],[8.143848 8.165355 8.190139 8.226463],[0.55700666 0.5532856  0.58807176 0.6425339 ]
MODEL,B,5e-08,21,True,False,TDD,vanilla,0,[0.33739227 0.65409    0.83252066 0.9185116 ],[0.20841551 0.32759762 0.3176299  0.2379111 ],[ 73.34479 158.61891 207.82625 246.89836],[ 55.694256 108.03159  111.83048  118.18391 ],[7.714573  6.8009477 6.2112846 5.760572 ],[0.73193014 1.4012519  1.5384818  1.5528358 ],[8.123272 8.136701 8.135805 8.151181],[0.5637357  0.5555875  0.58310056 0.62311316]
MODEL,B,5e-08,24,True,False,TDD,vanilla,0,[0.36110842 0.6333675  0.80009943 0.90333563],[0.2515777  0.30833057 0.2711911  0.22185546],[ 85.510475 170.28392  224.05623  263.69153 ],[ 71.78846  114.8226   125.144135 136.14566 ],[7.80315   6.919916  6.1600103 5.810845 ],[0.8309388 1.4726672 1.741041  1.5659425],[8.27013  8.258452 8.255481 8.262504],[0.5118271  0.5137656  0.52345896 0.57083213]
MODEL,B,5e-08,27,True,False,TDD,vanilla,0,[0.41959596 0.72121966 0.8569079  0.9722239 ],[0.22389527 0.30396798 0.27030858 0.23053232],[ 93.15726 182.4665  230.86029 269.34796],[ 72.86738 122.41738 132.56139 136.7359 ],[7.631757  6.604373  6.0868335 5.2760577],[0.77662367 1.4899648  1.5485168  1.742308  ],[8.164666 8.149782 8.144776 8.15001 ],[0.5907433  0.6523984  0.6741813  0.66140956]
MODEL,B,5e-08,33,True,False,TDD,vanilla,0,[0.5525392 0.8341887 0.9578971 1.012419 ],[0.34232718 0.36610734 0.333845   0.31730065],[126.93949 212.75307 255.99918 274.5202 ],[ 94.53603 130.86952 134.26958 134.51352],[7.441099  6.4009914 5.7872424 5.4389744],[1.0759324 1.6442747 1.6647779 1.7324826],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
MODEL,B,5e-08,36,True,False,TDD,vanilla,0,[0.6715982  0.89886016 1.0143585  1.0328462 ],[0.3530533  0.28392512 0.28269356 0.1733114 ],[166.6716  240.33455 274.7718  293.8287 ],[103.826866 119.65542  113.33931  120.822395],[6.9815493 5.87802   5.4110518 5.027979 ],[1.5098279 1.6969023 1.5640228 1.6107779],[8.266979 8.223077 8.203336 8.203679],[0.63908565 0.639546   0.6131122  0.6540083 ]
MODEL,B,5e-08,42,True,False,TDD,vanilla,0,[0.6963137  0.89452803 0.9839243  1.0032094 ],[0.34111437 0.24521655 0.20906015 0.1388349 ],[163.25195 241.83394 287.3533  306.88577],[115.05473 127.28531 126.72767 132.33472],[6.7349567 5.846051  5.545075  5.248369 ],[1.5359623 1.6351868 1.4359773 1.4904883],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.62573683 0.63968205]
MODEL,B,2e-07,3,True,False,TDD,vanilla,0,[0.12869301 0.14752322 0.17381294 0.21064004],[0.05038244 0.05469517 0.06283688 0.08011995],[28.329731 32.35456  37.880077 46.522903],[11.33685  11.861995 13.862595 18.305456],[7.9860864 7.96897   7.94651   7.9093785],[0.4369983  0.44733027 0.4569506  0.4734238 ],[8.140387 8.142667 8.144901 8.14683 ],[0.40203154 0.40776485 0.4140067  0.42071092]
MODEL,B,2e-07,6,True,False,TDD,vanilla,0,[0.14280015 0.19048625 0.26385087 0.35987076],[0.05660513 0.07554311 0.11535853 0.16661105],[32.582485 43.34851  60.44139  85.293434],[12.759946 16.426226 25.778152 40.33447 ],[8.030005  7.973615  7.8741913 7.714041 ],[0.41785154 0.44711286 0.50659597 0.61917907],[8.200198 8.203735 8.207058 8.210534],[0.37354085 0.38056552 0.38964164 0.39972013]
MODEL,B,2e-07,9,True,False,TDD,vanilla,0,[0.15377392 0.2418928  0.3688522  0.5060167 ],[0.04991844 0.07875121 0.1432156  0.20882118],[ 35.136185  56.3708    90.29335  131.90326 ],[10.929054 22.355875 47.59409  77.14906 ],[8.038967  7.926568  7.7264314 7.405118 ],[0.44684932 0.4527418  0.49465004 0.66373295],[8.216351 8.215251 8.214624 8.214304],[0.40763524 0.41026488 0.41645426 0.42503932]
