model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
PATCHTST,A,3e-08,1,False,False,TDD,vanilla,0,[0.04498278 0.05946522 0.07207628 0.09462783],[0.03712207 0.04352578 0.04876865 0.0542689 ],[ 7.3811574 10.94828   14.429509  20.755793 ],[2.7075965 4.6690702 6.6720495 9.71527  ],[8.30241  8.292172 8.285103 8.274311],[0.1901625  0.19560516 0.20080674 0.20668784],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
PATCHTST,A,3e-08,10,False,False,TDD,vanilla,0,[0.09351701 0.16536622 0.26159626 0.37632698],[0.09535261 0.13590755 0.24822156 0.4302896 ],[13.006566 27.004646 46.51559  71.06158 ],[ 5.6863437 14.173728  26.07522   42.12078  ],[8.1489525 8.101209  8.034402  7.9492865],[0.57344526 0.66064113 0.7612653  0.87785554],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
PATCHTST,A,3e-08,30,False,False,TDD,vanilla,0,[0.36497802 0.56642854 0.79491913 0.98931044],[0.5946517  0.43757853 0.64823556 0.7414903 ],[ 49.021095  95.81729  153.27135  200.18839 ],[ 56.010223  93.1162   131.12706  167.71666 ],[7.7460394 7.5117116 7.181148  6.8329906],[1.0626152 1.3048306 1.4574673 1.5732868],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
PATCHTST,A,1e-07,1,False,False,TDD,vanilla,0,[0.0427953  0.05644675 0.07011601 0.09371512],[0.03004761 0.03385183 0.03843235 0.04531563],[ 7.610361 11.116741 15.231479 22.441753],[ 3.8311255  6.220729   9.28108   13.504972 ],[8.233329 8.224854 8.219312 8.209687],[0.5151861 0.5166958 0.5183037 0.5191848],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
PATCHTST,A,1e-07,10,False,False,TDD,vanilla,0,[0.09784827 0.17039491 0.25289637 0.3454439 ],[0.09379125 0.15615603 0.20555389 0.21177977],[13.767848 28.51561  49.423336 79.98365 ],[ 6.389259 18.320526 34.19166  61.53064 ],[8.081805  8.031699  7.963675  7.8729734],[0.64433116 0.70758295 0.78289795 0.8591388 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
PATCHTST,A,1e-07,30,False,False,TDD,vanilla,0,[0.27284    0.5373757  0.7098637  0.90044576],[0.20574893 0.77128804 0.4020527  0.40646636],[ 67.215355 116.80362  179.4824   224.0788  ],[ 75.3185  116.47921 168.41243 189.39488],[7.865529  7.581179  7.094173  6.4811754],[1.0430211 1.2253813 1.4946002 1.6856729],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
PATCHTST,A,3e-07,1,False,False,TDD,vanilla,0,[0.03896278 0.05411266 0.07669964 0.10641226],[0.01187448 0.01540836 0.02039589 0.0279279 ],[ 9.372768  13.9991665 21.25778   30.827225 ],[ 2.6952093  4.7434874  7.771581  12.020371 ],[8.177878 8.168712 8.159563 8.152458],[0.35716224 0.35927504 0.3608374  0.36309612],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
PATCHTST,A,3e-07,10,False,False,TDD,vanilla,0,[0.099224   0.1759609  0.26115072 0.37935093],[0.05858439 0.10276677 0.14016473 0.1970057 ],[ 21.362034  42.163902  66.14588  104.61247 ],[10.832364 26.715658 40.082443 69.19781 ],[8.088515  8.032366  7.952247  7.8272986],[0.6491897 0.7186566 0.7989575 0.899436 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
PATCHTST,A,3e-07,30,False,False,TDD,vanilla,0,[0.36545017 0.59141904 0.79039633 0.95842135],[0.20939472 0.2894348  0.46021396 0.52663004],[108.85236 170.93611 213.29477 262.43484],[103.70113 153.961   169.56808 191.37506],[7.677623  7.3536797 7.050674  6.7062907],[1.0803746 1.2529967 1.5106503 1.6086508],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
PATCHTST,C,3e-08,1,False,False,TDD,vanilla,0,[0.05902635 0.07962988 0.09843693 0.12737153],[0.03063055 0.03966193 0.04734876 0.06080764],[ 7.908883 11.991608 16.295135 23.110489],[2.2266383 3.8049328 5.3293686 7.5043883],[8.290207 8.280335 8.273509 8.263755],[0.13237791 0.13494892 0.13858685 0.14227612],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
