model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,5e-08,3,True,False,TDD,vanilla,0,[0.04359594 0.05636116 0.07240374 0.09433644],[0.02452912 0.03267419 0.04178168 0.05579684],[ 7.9138255 10.240648  13.526885  18.025572 ],[2.9214468 4.212761  6.316448  9.332507 ],[8.21104  8.205194 8.196653 8.186195],[0.36769646 0.3842253  0.40285784 0.4234892 ],[8.233838 8.237641 8.241822 8.246357],[0.36562672 0.3805851  0.39700893 0.4147793 ]
DDK8,A,5e-08,6,True,False,TDD,vanilla,0,[0.05812499 0.08682221 0.11969388 0.1591055 ],[0.02968853 0.0540417  0.07041065 0.09807558],[10.880943 15.520699 22.02821  30.615986],[ 3.6676927  5.942617  10.147603  16.701439 ],[8.250801 8.234014 8.209825 8.180465],[0.44862625 0.49049526 0.53605163 0.5845872 ],[8.28204  8.2848   8.287399 8.290143],[0.44220755 0.47809482 0.5148415  0.55173457]
DDK8,A,5e-08,9,True,False,TDD,vanilla,0,[0.08488217 0.14324066 0.19258076 0.24078473],[0.07418289 0.17767145 0.15237941 0.17286631],[12.339722 19.36963  29.325266 40.873062],[ 4.1431184  8.176576  14.624139  23.081572 ],[8.192755 8.148949 8.095678 8.036971],[0.5604861  0.62493026 0.6942971  0.7711537 ],[8.232175 8.218963 8.206256 8.19461 ],[0.5494946  0.6048245  0.66238713 0.7200331 ]
DDK8,A,5e-08,12,True,False,TDD,vanilla,0,[0.0862954  0.15360084 0.22126403 0.32211193],[0.06129809 0.12586293 0.17951073 0.30504662],[14.048213 24.55376  37.558735 56.43643 ],[ 4.698155 10.853102 20.118465 36.38266 ],[8.12239  8.077836 8.024709 7.944902],[0.5823591  0.66456395 0.7546623  0.8537161 ],[8.1713705 8.169162  8.165635  8.1618185],[0.5680532  0.6353437  0.7046337  0.77285534]
DDK8,A,5e-08,15,True,False,TDD,vanilla,0,[0.09875726 0.17684588 0.2631388  0.39706266],[0.07903932 0.1406317  0.22975017 0.35043806],[17.743523 31.95454  51.188553 80.209656],[ 7.583436 17.493961 37.430367 69.839066],[8.168641 8.112024 8.053918 7.95624 ],[0.74598455 0.84130967 0.9404272  1.0463068 ],[8.229278 8.228537 8.234898 8.246084],[0.716445   0.7802941  0.83712816 0.889672  ]
DDK8,A,5e-08,18,True,False,TDD,vanilla,0,[0.14129905 0.28870946 0.41462138 0.60435045],[0.13577361 0.4898372  0.5266404  0.7171755 ],[18.769869 34.381523 58.434322 92.82955 ],[ 7.0887995 17.455585  38.603107  73.42538  ],[8.090213  8.022529  7.9296002 7.772977 ],[0.8628948  0.95699704 1.0794932  1.2492658 ],[8.165414 8.166351 8.164887 8.15692 ],[0.8150258 0.8670547 0.9366969 1.025056 ]
DDK8,A,5e-08,21,True,False,TDD,vanilla,0,[0.14197174 0.2474532  0.37138313 0.5223099 ],[0.11808215 0.22337462 0.31537622 0.38687608],[ 20.708399  37.941803  62.29628  101.36718 ],[ 9.436682 21.514982 41.069336 78.014336],[8.013002  7.908594  7.774087  7.5575123],[0.9423174 1.0260074 1.1302485 1.2718945],[8.097888  8.0776415 8.057297  8.0439825],[0.8918794  0.9238005  0.95249516 0.97904676]
DDK8,A,5e-08,24,True,False,TDD,vanilla,0,[0.13534991 0.27128744 0.41354692 0.55072606],[0.10524638 0.4323671  0.41351923 0.44576192],[ 23.185652  41.832153  76.32249  121.51535 ],[10.71601  28.902946 65.421265 99.130135],[8.165651  8.070257  7.8940687 7.6148767],[0.8173311  0.90491915 1.0587143  1.3565851 ],[8.248478 8.227171 8.202078 8.1868  ],[0.7698817  0.82811874 0.88698286 0.9156224 ]
DDK8,A,5e-08,27,True,False,TDD,vanilla,0,[0.16813976 0.30214176 0.537308   0.7717898 ],[0.15690589 0.24864863 0.75808567 0.73431695],[ 23.941422  46.645668  86.58423  138.21172 ],[  9.868945  28.664042  65.926796 114.69958 ],[7.9737   7.856707 7.658366 7.309104],[0.8679606 0.9677258 1.1045272 1.379168 ],[8.073305 8.057036 8.035699 8.017298],[0.81447893 0.87702554 0.95565355 1.0139018 ]
DDK8,A,5e-08,33,True,False,TDD,vanilla,0,[0.242089   0.4449725  0.6634063  0.80217165],[0.26760036 0.57878095 0.63080627 0.5496794 ],[ 31.366089  65.24033  124.46756  183.36467 ],[ 15.83388  48.10485  98.66245 153.65518],[8.057774  7.909044  7.5543394 7.1526856],[1.0329143 1.1748675 1.3824178 1.5045881],[8.180847  8.193614  8.203002  8.1704445],[0.9456215  0.95782167 0.92753166 0.9645922 ]
DDK8,A,5e-08,36,True,False,TDD,vanilla,0,[0.26265535 0.45845073 0.8301742  0.9807276 ],[0.35260054 0.40215728 0.88652205 0.8510318 ],[ 32.02702   68.762405 133.77364  196.70955 ],[ 14.64664   44.712322  99.61482  141.61304 ],[7.9536543 7.7622204 7.341915  6.8949757],[0.9261923 1.0925013 1.4789484 1.7122858],[8.093336 8.087319 8.075918 8.088953],[0.84122604 0.8823591  0.96047276 0.99210644]
DDK8,A,5e-08,42,True,False,TDD,vanilla,0,[0.3233949  0.5544107  0.76208246 1.058253  ],[0.2953204  0.45209217 0.4356228  0.80744994],[ 37.00503  86.99491 150.3482  213.49434],[ 21.54435  60.67692 106.61645 155.60713],[7.6233716 7.382662  6.9859395 6.5091796],[1.1885254 1.3377587 1.5255495 1.5853611],[7.833758 7.885902 7.919857 7.917343],[1.0413706 1.023846  1.0217247 1.0423343]
DDK8,A,2e-07,3,True,False,TDD,vanilla,0,[0.04680022 0.05835563 0.07400019 0.09386498],[0.01881646 0.02491244 0.03312123 0.04479629],[ 8.997711 11.172083 14.193988 18.218073],[2.4764235 3.4794679 5.01218   7.555092 ],[8.090618 8.083015 8.072733 8.060451],[0.6343155  0.63912374 0.6448512  0.65217626],[8.130689 8.134304 8.138219 8.142409],[0.6257091 0.6282687 0.6312905 0.6347323]
