model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02590876 0.03073871 0.03710581 0.0437994 ],[0.02066683 0.02233064 0.02796066 0.03115948],[4.5179033 5.4713225 6.620638  8.113197 ],[1.1083328 1.4229115 1.8618152 2.508562 ],[8.317887 8.312711 8.306971 8.300973],[0.1901123  0.19470641 0.19972794 0.20535798],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07790631 0.1352445  0.19617502 0.2658643 ],[0.09405324 0.15513824 0.26943508 0.33563885],[ 9.563837 16.741388 26.559856 39.23853 ],[ 2.3353364  5.9616914 12.274215  21.920052 ],[8.165949 8.131968 8.088199 8.036527],[0.56428707 0.6362593  0.7096995  0.79100215],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.24261783 0.4294525  0.61238444 0.78050417],[0.41037235 0.48900655 0.5437147  0.58131117],[ 21.52587  47.89549  94.3022  144.37363],[ 10.901393  35.956776  80.489044 128.68417 ],[7.816466  7.6450067 7.4325504 7.131666 ],[1.0267375 1.2289655 1.321419  1.4822801],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03843344 0.04242412 0.04743161 0.05302617],[0.01361416 0.01488267 0.01710555 0.01888516],[ 8.447717  9.24104  10.305503 11.470133],[3.0379572 3.290782  3.7116587 4.1707444],[8.235538 8.233111 8.229115 8.225623],[0.51465636 0.51562315 0.51633155 0.51726234],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08936725 0.13599065 0.1973347  0.23554243],[0.0612684  0.11753625 0.24750546 0.17607959],[15.6414   22.446194 32.44438  44.584858],[ 5.046558  8.672668 15.306441 24.968992],[8.081589  8.050091  8.005795  7.9545717],[0.6434216  0.7006162  0.76335347 0.8280629 ],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.19983307 0.3898869  0.56264865 0.7539311 ],[0.17834638 0.5811837  0.45817325 0.4751235 ],[ 31.644634  59.72251  103.94752  151.44518 ],[ 14.184729  42.61222   83.54386  123.96608 ],[7.9111915 7.7305512 7.3755054 6.934902 ],[1.0722681 1.2270206 1.502682  1.6184151],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02650568 0.02889812 0.0325018  0.03574584],[0.0081111  0.00893466 0.00961842 0.01097887],[6.0772667 6.620071  7.548418  8.368828 ],[1.8337988 1.9173911 2.1145666 2.4534216],[8.184981  8.183551  8.1804905 8.178612 ],[0.35633555 0.3576951  0.3591569  0.36072204],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06743123 0.10312861 0.14575683 0.20138936],[0.03870336 0.06614146 0.08585452 0.12702651],[12.63643  19.615135 29.678259 42.706303],[ 3.911444  7.247668 12.813877 20.981972],[8.103119 8.073337 8.032697 7.980806],[0.6459872  0.7084746  0.7735392  0.84276855],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14399745 0.26529714 0.4373158  0.6004309 ],[0.10093237 0.1960423  0.35489026 0.43816087],[ 24.929634  51.576794  92.629265 142.80838 ],[  8.996253  35.436752  70.558044 115.43159 ],[7.8944945 7.77813   7.5619087 7.23586  ],[1.0096208 1.1351671 1.3460988 1.5903852],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.03938249 0.04782999 0.05625392 0.06760984],[0.02157412 0.02803223 0.0347652  0.0465384 ],[5.0305653 6.060438  7.25844   8.850341 ],[0.8454839 1.0418847 1.3743006 1.8206117],[8.303524 8.300071 8.295804 8.29099 ],[0.13230938 0.1350713  0.13834892 0.14223778],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
