model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02840673 0.04028225 0.05796511 0.08079423],[0.02137807 0.02574982 0.0370218  0.05039021],[ 5.196861  8.344525 13.018026 19.663158],[ 1.6728287  3.8907866  8.101125  13.077844 ],[8.3175955 8.311533  8.304629  8.296289 ],[0.19008125 0.19448467 0.19917054 0.20406193],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.0976599  0.2060686  0.31376302 0.39346322],[0.10995422 0.25888422 0.50694823 0.43076164],[12.852727 27.139168 44.035328 64.00146 ],[ 6.112769 15.268977 22.27686  34.552574],[8.162942  8.116948  8.0521965 7.9803944],[0.56788313 0.65407014 0.7415003  0.8217545 ],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2700341 0.4849881 0.6952615 0.8353038],[0.47431818 0.58907163 0.6196822  0.5618066 ],[ 22.866379  51.849655 103.15005  156.03856 ],[ 11.123923  36.964977  83.742584 128.5002  ],[7.817158  7.636139  7.4247255 7.1095757],[1.0246763 1.2433321 1.2858254 1.4502711],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04103332 0.05108101 0.06569187 0.08403577],[0.01436907 0.01723079 0.02338026 0.03175071],[ 9.039773 11.517473 15.187772 20.089907],[3.2235851 4.3029966 6.497683  9.420096 ],[8.234313 8.23016  8.223457 8.216106],[0.5152361  0.51695204 0.51881516 0.5216117 ],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.10551377 0.19034906 0.28351247 0.37437263],[0.08042895 0.20667078 0.28085655 0.388284  ],[18.463058 31.819805 50.789757 70.40316 ],[ 6.566489 13.978073 25.633907 38.56669 ],[8.080315  8.039683  7.9706035 7.886267 ],[0.6453143  0.7117249  0.79710966 0.8895906 ],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.21014151 0.41270763 0.6585806  0.8431044 ],[0.17418614 0.6764189  0.70825195 0.5567972 ],[ 33.493473  61.87476  108.06795  171.83522 ],[ 15.341114  44.531815  83.42878  137.2793  ],[7.9105296 7.7318068 7.3884597 6.848386 ],[1.0703888 1.2159934 1.4256883 1.6324078],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02848431 0.03587426 0.04827002 0.06292944],[0.00899838 0.01147263 0.01643358 0.02278471],[ 6.504362  8.397677 11.692621 15.775059],[2.0742698 2.829294  4.638051  6.7944336],[8.183759 8.180387 8.174269 8.168951],[0.35650623 0.35820565 0.3603653  0.3624133 ],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07918055 0.1366206  0.20896652 0.289097  ],[0.04632658 0.09026898 0.12582064 0.15502347],[15.379932 27.422146 46.032597 67.936134],[ 5.7689304 12.187583  21.605255  31.454887 ],[8.099842  8.059134  7.9958706 7.9189696],[0.6487598  0.72041595 0.80071205 0.880638  ],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15704212 0.2847043  0.4788877  0.64647657],[0.11529282 0.21019429 0.36269203 0.42710024],[ 27.018711  56.00121  102.04237  159.9995  ],[  9.397314  38.660187  73.61225  122.625374],[7.8902497 7.770691  7.5498457 7.2351527],[1.0179971 1.1494882 1.3283054 1.5209763],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04220399 0.05799391 0.07795045 0.1046849 ],[0.02231971 0.0309175  0.04173947 0.05819269],[ 5.757379  8.903287 13.435697 20.06359 ],[1.2765427 2.9008362 6.1456985 9.781609 ],[8.302934  8.298106  8.291581  8.2835245],[0.13235089 0.135245   0.13892415 0.1432165 ],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
