model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02727561 0.03315276 0.03794861 0.04185084],[0.02249977 0.0252266  0.02842501 0.03078506],[4.3679523 5.4634767 6.343733  7.109676 ],[1.0696465 1.5165519 2.0309448 2.5583024],[8.316696 8.311958 8.307381 8.302969],[0.19003361 0.1947452  0.19978863 0.20513122],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07681704 0.13433799 0.19419561 0.30035192],[0.07081883 0.14683916 0.24011864 0.6009899 ],[ 9.6454525 16.827724  26.281265  39.629227 ],[ 2.349685  5.861612 11.797967 21.959394],[8.160254 8.125125 8.080601 8.024115],[0.568863   0.64441633 0.72179925 0.8047291 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.3778135 0.5701675 0.6741767 0.835387 ],[1.296204  1.2564976 0.7419939 0.6387936],[ 21.212795  49.431507  93.9871   148.08174 ],[  9.3088875  36.145256   79.13831   130.61745  ],[7.7969813 7.627516  7.412571  7.01052  ],[1.0540949 1.2632935 1.3299584 1.6660525],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04079651 0.04691103 0.05209374 0.0563873 ],[0.01578407 0.01870392 0.02091512 0.02364621],[ 8.896584   9.9788475 11.083534  11.850965 ],[3.3074355 3.715787  4.244078  4.5739217],[8.234472 8.230576 8.226813 8.224916],[0.51443124 0.5154163  0.5159705  0.51730376],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09350379 0.14405388 0.20328788 0.24502939],[0.06250846 0.11950267 0.26736367 0.17179452],[16.234173 23.966215 33.494926 46.95618 ],[ 5.202547  8.736646 14.887169 26.925606],[8.072141  8.03696   7.990662  7.9305744],[0.64421535 0.7038879  0.7692771  0.83952934],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.2422743 0.4586734 0.6161471 0.8032407],[0.41629714 0.9730942  0.5740664  0.5078165 ],[ 31.392632  61.49116  107.57795  160.36693 ],[ 13.217784  43.18958   87.91668  132.11139 ],[7.8976307 7.71756   7.3506746 6.886208 ],[1.0853363 1.2193483 1.51226   1.5706271],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02763147 0.03162568 0.03634789 0.03897735],[0.00917166 0.01125342 0.01313352 0.01505594],[6.36178   7.2256823 8.321155  8.878746 ],[2.2244384 2.6164997 3.1171591 3.4494615],[8.18383  8.180771 8.176952 8.175915],[0.35673535 0.35850587 0.36013296 0.36197242],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07099134 0.10883328 0.1513961  0.2046265 ],[0.04149594 0.06896398 0.09377452 0.13076459],[13.335728 20.320738 29.729591 42.645733],[ 4.283735   7.3095126 12.350177  22.656546 ],[8.097721  8.062795  8.018864  7.9654756],[0.64789265 0.7145998  0.78297716 0.8498397 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15170647 0.26938975 0.45124573 0.6146684 ],[0.10617838 0.19794703 0.343585   0.43495584],[ 25.554136  50.524994  95.26807  146.34056 ],[  9.209277  34.08633   76.006874 121.25562 ],[7.8796763 7.7590284 7.5100846 7.185165 ],[1.0217599 1.1519529 1.3870337 1.6221412],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04325138 0.0516216  0.05973652 0.06818614],[0.02760403 0.03132566 0.03396812 0.04211539],[4.9751296 6.1634636 7.217538  8.170855 ],[0.86202586 1.1702942  1.5485032  1.9804748 ],[8.302589 8.298988 8.295477 8.292281],[0.13226655 0.13511848 0.13845916 0.14213064],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
