model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MAMBACSP,A,3e-08,1,False,False,TDD,phase,10.0,[0.01522343 0.0174555  0.02443786 0.03921872],[0.01188346 0.0122407  0.01912579 0.04150278],[ 4.3578734  4.9830394  7.0658765 12.587084 ],[ 4.0043964  4.185648   6.6767855 14.523734 ],[8.32022  8.317562 8.31401  8.304788],[0.18993081 0.19445266 0.20020317 0.20345065],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
MAMBACSP,A,3e-08,10,False,False,TDD,phase,10.0,[0.04660441 0.10108016 0.18538776 0.30327395],[0.05584246 0.09637831 0.20390242 0.36490798],[10.17207  17.636272 32.03306  56.482456],[ 8.262255 12.994057 23.985249 44.741306],[8.1775675 8.150732  8.107862  8.038742 ],[0.55136687 0.6223306  0.70444834 0.8116318 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
MAMBACSP,A,3e-08,30,False,False,TDD,phase,10.0,[0.24427535 0.4947422  0.91566247 1.1262535 ],[0.3205641  0.50513524 1.3689084  1.2845381 ],[ 34.076077  74.695335 131.57101  190.77237 ],[ 31.55382  71.98741 123.74754 174.46121],[7.814191  7.6190104 7.35468   6.9720182],[1.0287035 1.2611737 1.3907697 1.6605908],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
MAMBACSP,A,1e-07,1,False,False,TDD,phase,10.0,[0.01454685 0.01567612 0.02003054 0.02543967],[0.00582359 0.00600415 0.01027952 0.01495196],[3.9392328 4.0769362 4.990621  6.7166753],[2.1966746 1.8894783 2.5470173 4.679122 ],[8.254175  8.2532625 8.251308  8.2479925],[0.51507413 0.5158537  0.5168458  0.51798916],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
MAMBACSP,A,1e-07,10,False,False,TDD,phase,10.0,[0.03198779 0.08020275 0.1331873  0.20913424],[0.025611   0.14865614 0.17252325 0.23456487],[ 7.643857 13.767857 25.256523 45.11283 ],[ 6.989029 12.523302 23.407019 43.156097],[8.123933 8.103707 8.068499 8.02356 ],[0.625427   0.6783915  0.73921275 0.8031237 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
MAMBACSP,A,1e-07,30,False,False,TDD,phase,10.0,[0.1615431  0.34250134 0.53840184 0.7432901 ],[0.23084217 0.3929968  0.42670825 0.44951114],[ 31.313396  74.98763  126.74788  182.37509 ],[ 31.910112  76.91192  130.40729  169.99982 ],[7.983644  7.8016987 7.4534492 6.902004 ],[1.0204232 1.169543  1.3940654 1.68406  ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
MAMBACSP,A,3e-07,1,False,False,TDD,phase,10.0,[0.01575342 0.01461598 0.01860861 0.02156529],[0.00405274 0.00365065 0.0042205  0.00604768],[4.4230757 4.1263447 5.3058867 6.750257 ],[1.2296036 1.1560632 1.4799026 2.5879405],[8.200658 8.200901 8.199444 8.195486],[0.35508826 0.35566267 0.3570879  0.35880616],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
MAMBACSP,A,3e-07,10,False,False,TDD,phase,10.0,[0.0309786  0.04914813 0.08514679 0.14970455],[0.01265509 0.02685025 0.04935608 0.08582118],[ 8.99419  13.962019 22.509548 42.955822],[ 6.72019   10.429272  15.9323635 33.79432  ],[8.1462145 8.132084  8.102077  8.06716  ],[0.621227   0.67296565 0.7328282  0.78925765],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
MAMBACSP,A,3e-07,30,False,False,TDD,phase,10.0,[0.09674278 0.23645622 0.46356818 0.70519745],[0.05977009 0.1616007  0.40502247 0.5434041 ],[ 27.235073  62.175682 111.59273  186.50511 ],[ 26.512402  60.11173  107.253494 162.38475 ],[7.9709654 7.8751817 7.6369452 7.2985773],[0.9410481 1.0450494 1.2835685 1.5275816],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
MAMBACSP,C,3e-08,1,False,False,TDD,phase,10.0,[0.01643869 0.01951889 0.02678249 0.03923991],[0.00755938 0.00923159 0.01528868 0.0242907 ],[ 3.8526874  4.309502   5.750063  10.117033 ],[1.8882308 1.8606777 2.5508947 5.571329 ],[8.307145 8.307032 8.303579 8.294314],[0.13184398 0.13377002 0.13725455 0.14024569],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
MAMBACSP,C,3e-08,10,False,False,TDD,phase,10.0,[0.06306256 0.16890211 0.36372373 0.4866014 ],[0.04963978 0.19685654 0.45908216 0.41685355],[13.205189 26.80277  53.899384 93.86796 ],[10.311365 23.852943 49.502037 79.769714],[8.171611  8.087015  7.9190826 7.629044 ],[0.43902168 0.52146417 0.7054546  1.0516682 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
MAMBACSP,C,3e-08,30,False,False,TDD,phase,10.0,[0.4473976  0.80632323 0.93009245 1.0381045 ],[0.4134837  0.55433893 0.47266164 0.49285352],[ 88.63257 173.6815  221.37451 249.55676],[ 68.085556 116.38005  131.43356  138.08826 ],[7.800783  6.7575793 6.218598  5.774744 ],[0.8709647 1.7395599 1.732269  1.7805471],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
