model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
PATCHTST,A,3e-08,1,False,False,TDD,phase,10.0,[0.0065257  0.01035386 0.01601273 0.02657863],[0.00232124 0.00430895 0.00707174 0.01246574],[ 2.5196104  4.1824913  6.2094045 10.02586  ],[1.6358865 2.9592204 4.2407355 6.5878263],[8.325736 8.321736 8.318914 8.314761],[0.18953401 0.19366655 0.19862883 0.20391957],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
PATCHTST,A,3e-08,10,False,False,TDD,phase,10.0,[0.03326313 0.09073103 0.1637825  0.25785026],[0.03105885 0.08289593 0.14082806 0.2898506 ],[ 6.999436 17.55003  33.519276 53.050182],[ 5.5422955 13.256323  23.80409   37.39506  ],[8.188668 8.165073 8.125935 8.071707],[0.55126876 0.61915755 0.69521457 0.7869224 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
PATCHTST,A,3e-08,30,False,False,TDD,phase,10.0,[0.24010557 0.45706588 0.70876956 0.9024465 ],[0.21940725 0.329626   0.59674114 0.71720517],[ 42.51025   87.838936 143.75453  190.28148 ],[ 55.66181  91.77224 129.96902 165.64516],[7.822979 7.623006 7.344362 7.045496],[0.99344546 1.2330215  1.3486352  1.4652423 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
PATCHTST,A,1e-07,1,False,False,TDD,phase,10.0,[0.00801969 0.01182736 0.01892777 0.03156986],[0.00225763 0.00404128 0.00677    0.01123735],[ 2.9658573  4.6849504  7.263633  12.22829  ],[2.0715516 3.5899508 5.370671  8.775285 ],[8.257219 8.255338 8.254263 8.252334],[0.51439035 0.5143553  0.5150184  0.51541555],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
PATCHTST,A,1e-07,10,False,False,TDD,phase,10.0,[0.03117622 0.08013422 0.15326427 0.22899403],[0.02657932 0.06903034 0.13344039 0.15296109],[ 6.7172503 17.55072   34.681797  60.01371  ],[ 5.327752 15.815145 30.674053 55.20971 ],[8.127419 8.10578  8.066459 8.014993],[0.6256268  0.67528933 0.7341654  0.7884534 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
PATCHTST,A,1e-07,30,False,False,TDD,phase,10.0,[0.21328141 0.47931194 0.6421222  0.83729607],[0.17814896 0.87430227 0.39698082 0.4067726 ],[ 58.82405 106.91744 168.96373 213.87125],[ 72.67188 114.39021 167.22992 188.45193],[7.948957  7.7198815 7.2958727 6.77488  ],[0.9927865 1.1562439 1.4031248 1.5797884],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
PATCHTST,A,3e-07,1,False,False,TDD,phase,10.0,[0.01704137 0.02466649 0.04103556 0.0664511 ],[0.0032044  0.00509814 0.00843092 0.01478442],[ 5.4761634  8.518081  14.424355  23.071905 ],[1.809345  3.3052783 5.637751  9.184047 ],[8.205966 8.203927 8.201456 8.200738],[0.35376814 0.35465765 0.35583162 0.35721752],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
PATCHTST,A,3e-07,10,False,False,TDD,phase,10.0,[0.05673775 0.11800603 0.18868637 0.29323578],[0.03591302 0.0716079  0.10107639 0.15456897],[15.418941 33.08711  53.521103 87.22329 ],[11.069956 25.560013 37.837513 64.353806],[8.132946 8.097645 8.043434 7.958561],[0.63063645 0.6930212  0.7654988  0.84275496],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
PATCHTST,A,3e-07,30,False,False,TDD,phase,10.0,[0.3149016 0.5462203 0.740302  0.9148919],[0.20085117 0.2870933  0.41726187 0.5150243 ],[ 99.70877 162.84354 205.47603 253.54137],[ 99.94652 150.8035  171.60349 191.7254 ],[7.7686424 7.499817  7.2779083 6.9368258],[1.0301366 1.1801634 1.4034874 1.5351576],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
PATCHTST,C,3e-08,1,False,False,TDD,phase,10.0,[0.0086749  0.01367921 0.02208235 0.03576757],[0.00227409 0.0041565  0.00739039 0.01341954],[ 3.2320995  5.398119   8.054453  12.371986 ],[1.5840588 2.9103606 3.842905  5.4664955],[8.313383 8.309981 8.308033 8.304592],[0.13131951 0.13338389 0.13648048 0.1398758 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
PATCHTST,C,3e-08,10,False,False,TDD,phase,10.0,[0.05756257 0.17939872 0.3636927  0.5064091 ],[0.05853905 0.19897233 0.40062073 0.47248116],[10.106917 28.7011   60.565136 97.027626],[ 7.2234426 23.645943  50.57465   77.157776 ],[8.185443  8.094361  7.9166646 7.631018 ],[0.4400157 0.5201842 0.7202961 1.1168146],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
PATCHTST,C,3e-08,30,False,False,TDD,phase,10.0,[0.47873268 0.8364362  0.9781638  1.0127845 ],[0.44749755 0.5891506  0.5394693  0.42226952],[ 89.75709 177.60498 232.38335 250.84082],[ 71.39674  121.178085 141.98044  142.10167 ],[7.8006635 6.8095503 6.298877  5.8817334],[0.91384274 1.8363805  1.6951828  1.6397887 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
PATCHTST,C,1e-07,1,False,False,TDD,phase,10.0,[0.00852458 0.01246773 0.01968861 0.03379642],[0.0019255  0.0030292  0.00466185 0.00780137],[ 2.772922   4.3241096  6.8688703 11.580077 ],[0.9533438 1.737289  2.5385187 4.1383796],[8.281502 8.277598 8.273788 8.269238],[0.20092113 0.20294215 0.20545928 0.20798907],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
