model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
TRANSFORMER,A,3e-08,1,False,False,TDD,phase,10.0,[0.0056826  0.00849637 0.01247562 0.02174941],[0.00277949 0.00634337 0.01034232 0.01762936],[1.9120765 2.7861173 3.9102948 7.633314 ],[1.15981   2.2045264 3.2175593 6.3621907],[8.326155 8.322679 8.319241 8.314836],[0.18954143 0.19331256 0.19774069 0.20248762],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
TRANSFORMER,A,3e-08,10,False,False,TDD,phase,10.0,[0.0379219  0.09475333 0.15725039 0.24235937],[0.04118944 0.105466   0.19554001 0.32884535],[ 5.8957005 13.804305  25.33062   44.227848 ],[ 4.560147 10.086022 19.378464 33.974586],[8.184343 8.157108 8.120633 8.073686],[0.55347276 0.6259684  0.70322037 0.78942716],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
TRANSFORMER,A,3e-08,30,False,False,TDD,phase,10.0,[0.2410454  0.40319583 0.6370871  0.8600933 ],[0.31049988 0.28506875 0.54021996 0.77284557],[ 36.049633  76.92869  127.4658   177.23956 ],[ 35.958294  73.97834  119.473495 165.61871 ],[7.789519 7.581815 7.363966 6.99001 ],[1.05392   1.2964532 1.2743108 1.594141 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
TRANSFORMER,A,1e-07,1,False,False,TDD,phase,10.0,[0.00896917 0.0126396  0.01818917 0.02841387],[0.00317005 0.00548412 0.00826501 0.01366183],[ 3.1757805  4.416842   6.0227656 10.339752 ],[2.4008567 3.5591333 4.6581736 8.323106 ],[8.256879 8.254838 8.253277 8.251199],[0.5137404  0.5135233  0.51380926 0.5142317 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
TRANSFORMER,A,1e-07,10,False,False,TDD,phase,10.0,[0.03653228 0.08649702 0.14644554 0.22434138],[0.03165609 0.07539073 0.12097833 0.14953588],[ 6.9447284 16.372381  30.55613   56.037838 ],[ 4.8872824 12.752144  26.324078  50.330944 ],[8.124887 8.100321 8.065324 8.016625],[0.62765354 0.6836301  0.7467396  0.80913407],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
TRANSFORMER,A,1e-07,30,False,False,TDD,phase,10.0,[0.20481916 0.46114537 0.6206327  0.7942302 ],[0.15045494 0.57349515 0.32007506 0.32783192],[ 51.08212 110.15532 167.07828 207.4011 ],[ 56.74922  102.489784 152.35776  175.09543 ],[7.9337683 7.6688495 7.2820973 6.904472 ],[1.0293211 1.2570469 1.4808693 1.5063308],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
TRANSFORMER,A,3e-07,1,False,False,TDD,phase,10.0,[0.01733144 0.02136465 0.02765018 0.05182965],[0.00505888 0.00663068 0.00844238 0.01378051],[ 6.0825496  7.461521   9.562845  18.8797   ],[3.1261868 3.983168  5.110792  9.092545 ],[8.202407 8.197426 8.195558 8.193543],[0.35296658 0.35371476 0.35488138 0.35699064],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
TRANSFORMER,A,3e-07,10,False,False,TDD,phase,10.0,[0.06261445 0.11826459 0.18921287 0.29690897],[0.03660667 0.07121678 0.10017338 0.14648551],[18.021582 31.235035 51.629272 86.855125],[13.464404 20.762342 33.02786  59.621773],[8.134989 8.102829 8.048212 7.9813  ],[0.6271908  0.690448   0.7693763  0.85059404],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
TRANSFORMER,A,3e-07,30,False,False,TDD,phase,10.0,[0.2735971 0.5159796 0.7731354 0.9474078],[0.15410906 0.21739782 0.28113824 0.39544085],[ 86.25768 157.75606 235.53989 279.31052],[ 83.41573 129.56653 181.60287 203.52882],[7.8227525 7.615232  7.20611   7.074739 ],[0.9815142 1.1486474 1.338706  1.5035083],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
TRANSFORMER,C,3e-08,1,False,False,TDD,phase,10.0,[0.00904012 0.01757657 0.02813008 0.04455083],[0.00395123 0.01464258 0.02638787 0.0413397 ],[ 2.7181778  4.387466   6.355804  11.264192 ],[1.4987605 2.535557  3.50084   5.7837777],[8.313192 8.309173 8.304898 8.29927 ],[0.13156024 0.13398556 0.1368566  0.14047535],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
