model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03159536 0.0363827  0.04005783 0.0435009 ],[0.02870652 0.03257282 0.03602023 0.03932441],[4.8100557 5.568933  6.1400423 6.9307384],[1.2583996 1.934211  2.4080696 3.1763744],[8.313638 8.309417 8.305356 8.30155 ],[0.19011582 0.19475436 0.19974187 0.20498553],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.08842029 0.1465113  0.21883738 0.30954546],[0.09679351 0.15457399 0.26608244 0.5445012 ],[10.228743 17.62318  26.89646  38.963734],[ 2.4928753  5.6973357 11.255299  19.596514 ],[8.156863 8.116266 8.066946 8.010192],[0.5699267 0.647642  0.7313568 0.8114941],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.33332127 0.5208146  0.7774157  1.0203394 ],[0.71731234 0.7679597  0.97493964 1.0644937 ],[ 19.867928  42.777466  82.58376  135.32043 ],[  8.689003  28.562841  67.03193  118.78816 ],[7.800029  7.6634107 7.412876  7.0993695],[1.04591   1.1726438 1.3436702 1.56095  ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04246024 0.04497149 0.0487216  0.05092923],[0.02114012 0.02368493 0.02567798 0.02610045],[ 8.692989  8.974431  9.662625 10.159991],[3.2972167 3.451552  3.8411045 4.2308435],[8.232353 8.23246  8.229973 8.229747],[0.5142661 0.5158559 0.5166787 0.5181875],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09711066 0.1505574  0.2040996  0.25239006],[0.07511736 0.14427419 0.22532399 0.19516757],[15.721882 22.873163 31.85916  43.674107],[ 4.807076  8.03404  12.794833 21.209682],[8.072058  8.033069  7.9865446 7.9250884],[0.6457383 0.7067214 0.7699349 0.8379079],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.2571302  0.47236553 0.759743   0.9523956 ],[0.4074164  0.75073254 1.1565646  0.8247937 ],[ 30.546003  57.00303   95.97559  146.52107 ],[ 11.12701   36.027092  73.616234 115.561455],[7.892997  7.7104855 7.402243  6.922143 ],[1.0865185 1.2242386 1.4181935 1.6726514],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02767167 0.02940557 0.0317224  0.03322555],[0.00905661 0.01041361 0.01161239 0.01288235],[6.237463  6.613011  7.1664863 7.531342 ],[1.98199   2.3214743 2.6281528 2.9707298],[8.184269 8.183844 8.182398 8.18235 ],[0.35690245 0.35808852 0.359404   0.36050463],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07073664 0.1055621  0.14626399 0.20065889],[0.04275976 0.06785958 0.09314139 0.14568566],[12.614252 19.21972  27.841524 39.129356],[ 3.7752545  6.3699265 10.532017  17.459837 ],[8.100531 8.066437 8.02189  7.964529],[0.6491701  0.71342367 0.78337926 0.8567384 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14074689 0.26771867 0.46219197 0.647277  ],[0.10655339 0.23501465 0.461078   0.63218963],[ 22.33333   44.522564  80.602844 128.93134 ],[  8.248488  25.353918  54.50215  100.03345 ],[7.8960724 7.7761245 7.570918  7.2450676],[1.0126799 1.1387887 1.3359298 1.6025641],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.0474442  0.05574705 0.06301021 0.06902806],[0.03241271 0.03950035 0.05011172 0.053279  ],[5.319406  6.1195083 6.8904634 7.8606343],[0.9279112 1.35591   1.7701205 2.3844316],[8.299606 8.297081 8.294186 8.291163],[0.13220166 0.13517152 0.13841735 0.14216475],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
