model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.01951345 0.02185888 0.02498345 0.0284484 ],[0.01347245 0.01585719 0.01934911 0.0222923 ],[3.5118568 3.8989615 4.3457036 4.8477244],[0.74872565 0.91704726 1.1172678  1.3498018 ],[8.320485 8.317999 8.315272 8.312204],[0.19024736 0.19485243 0.19986533 0.20522033],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.06816009 0.12025309 0.17408046 0.23322384],[0.08830938 0.19043082 0.32399336 0.37896854],[ 7.0402336 11.174341  16.844967  24.554184 ],[ 1.6068832  3.971415   8.157757  14.521729 ],[8.174465 8.15382  8.127185 8.09527 ],[0.5619844 0.6279696 0.6942568 0.7606599],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[1.8578598 1.6614206 2.442807  3.1674838],[5.0262165 2.3916106 3.2468219 3.6693902],[305.29083 283.1464  378.03665 517.36835],[406.43402 415.7331  516.6648  723.0891 ],[7.695003  7.42515   7.0764685 6.816287 ],[1.1166662 1.3692992 1.6119342 1.6686633],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03011347 0.03265037 0.03563084 0.03925132],[0.00980821 0.01132602 0.01333916 0.01605624],[6.391712  6.841099  7.323955  7.8858557],[2.314187  2.4878612 2.672852  2.8784502],[8.239684 8.238512 8.237256 8.235715],[0.5145479  0.515012   0.5157201  0.51671785],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.0773566  0.1199211  0.16658682 0.19980401],[0.06739902 0.14574498 0.2511394  0.19118194],[11.928838 16.487434 22.648298 31.111746],[ 3.6325796  5.993187   9.896196  15.509349 ],[8.0925255 8.071298  8.042994  8.004223 ],[0.6406468  0.6945099  0.75226665 0.811294  ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[1.312444  1.4000697 3.1850727 4.657947 ],[ 1.6558381  1.8207898 11.910845  13.410049 ],[329.53073 330.80942 407.56036 496.03952],[400.55505 489.83392 602.5176  692.59467],[7.7962403 7.5094786 7.104377  6.702139 ],[1.0876663 1.2842605 1.5338801 1.5300161],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02007893 0.02188723 0.02390361 0.02626416],[0.00573532 0.00636441 0.00719909 0.00824196],[4.6444607 5.057472  5.509094  6.0290117],[1.3621458 1.4984485 1.665966  1.8516408],[8.191469 8.190775 8.189997 8.188905],[0.35582486 0.35706267 0.35847655 0.360057  ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.05163538 0.07822727 0.11000726 0.15565945],[0.03169922 0.05688506 0.08237471 0.13245378],[ 9.498376 14.062308 20.282629 28.662998],[ 3.197169   5.4986286  9.313517  14.817631 ],[8.121375 8.099928 8.070933 8.03262 ],[0.6399811 0.6999241 0.7610425 0.8224914],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[1.1444337 0.8707831 1.8260467 2.0375047],[1.0966614 0.9173056 1.4694151 1.8182807],[368.27844 278.4609  525.09955 549.7441 ],[446.72638 454.12994 617.4293  628.03357],[7.798676  7.600686  7.2765813 6.952966 ],[1.0760661 1.1699327 1.4263293 1.6325332],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.03220123 0.0371298  0.04355554 0.05119244],[0.01832349 0.02411497 0.03267933 0.04136854],[3.98901   4.471097  5.0468297 5.7539644],[0.6078045  0.72991323 0.8989688  1.1370838 ],[8.306234 8.305114 8.303642 8.301574],[0.13228814 0.13495585 0.1380634  0.14161578],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
