model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.2696269  0.4244133  0.2899101  0.76050407],[0.21186276 0.45133844 0.41648254 1.2197208 ],[44.264107 55.59337  33.775078 60.647896],[15.981293 14.766776 17.083189 24.472866],[8.212674 8.181247 8.235219 8.158625],[0.21502508 0.23638427 0.2155796  0.2616649 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.7587945 1.6022793 2.2593575 2.892576 ],[0.7357985 2.193624  3.762853  4.755872 ],[103.39386 225.50948 345.77634 442.89667],[ 61.50765 163.56456 273.90982 363.83768],[7.947876  7.7789454 7.6265035 7.5275707],[0.6569273  0.86413264 0.9989598  1.0317248 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[2.1098642 2.7688825 2.8608193 3.600306 ],[3.633989  3.210269  2.9911814 3.321628 ],[261.87704 329.09296 369.649   456.34985],[231.06071 274.16492 303.7596  365.86166],[7.1689825 7.1137114 6.8441954 6.773097 ],[1.5836875 1.5881796 1.6446089 1.67848  ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.29164252 0.45051634 0.29524207 0.746828  ],[0.1944957  0.37624606 0.30863425 1.0016897 ],[46.528404 60.05927  38.80364  64.59987 ],[14.358427 13.618328 15.693603 20.936298],[8.10257  8.062596 8.129969 8.027187],[0.5662276  0.5875347  0.54812384 0.6324489 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.6107483 1.2217559 1.6405312 2.0821273],[0.4501694 1.050293  1.2601652 1.6780698],[ 97.30555 207.04199 317.23782 412.36652],[ 52.497612 139.47717  253.27884  336.48715 ],[7.8515053 7.6933575 7.585203  7.455748 ],[0.7597227  0.92667127 1.0435584  1.1632493 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[1.8208333 2.0027642 2.53419   3.7112994],[4.114013  1.5738914 3.1186993 3.500027 ],[297.98532 382.04126 409.24084 569.9875 ],[267.3903  336.12714 326.09396 433.69125],[7.489772  7.358695  7.014753  6.8926964],[1.335386  1.4136509 1.6744826 1.5888637],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.19310208 0.28738266 0.18001465 0.35513535],[0.05610041 0.10516349 0.08466973 0.2305475 ],[42.804474 59.10022  38.469173 58.781727],[ 8.781727 12.132623 14.629865 12.816912],[8.066877 8.028717 8.10217  8.027992],[0.3793796  0.39589494 0.3768213  0.41470993],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.44095626 0.89961493 1.2471024  1.5456761 ],[0.2601982 0.5819943 0.8304306 1.0684173],[ 83.923874 184.24779  283.9913   358.82407 ],[ 37.03692 124.39821 218.5414  274.68948],[7.913228  7.7374115 7.653609  7.575847 ],[0.7575594 0.9086808 0.9958008 1.0633512],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[1.0802865 1.792161  2.0588427 2.6241403],[0.542989  1.5909961 1.6892588 2.3364604],[270.23364 385.4301  433.5285  487.55103],[223.62502 304.83154 296.25687 290.35474],[7.4440155 7.3586903 7.053894  7.04018  ],[1.2235963 1.3416458 1.411202  1.4720645],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.39669946 0.6231231  0.4178095  1.0655041 ],[0.26112214 0.42075422 0.3759656  1.1112783 ],[44.484344 57.78048  36.989525 68.17673 ],[12.400041 12.088585 13.435037 18.83925 ],[8.144858  8.1019535 8.188485  8.069019 ],[0.15960781 0.17431374 0.14934114 0.19182454],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
