model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03047952 0.03333602 0.03582782 0.03961421],[0.02948733 0.03134742 0.03066046 0.03553717],[4.5581017 5.149061  5.7382884 6.274889 ],[1.1110315 1.5447638 1.9102334 2.4225051],[8.315548 8.312124 8.308774 8.305641],[0.19004665 0.19473344 0.19953069 0.20497836],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.08613344 0.1414301  0.20759231 0.29918814],[0.09377792 0.15973571 0.2555075  0.5025464 ],[ 9.451763 15.839151 24.539648 35.732914],[ 2.200233   5.2877097 11.110455  19.624058 ],[8.160236 8.127218 8.084653 8.035739],[0.5672236  0.6409186  0.7163061  0.79549485],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.34493026 0.53642434 0.7620542  0.99814415],[0.8791855 0.8008252 0.9546667 1.0230079],[ 20.986422  45.64343   87.08611  134.97124 ],[  9.417149  34.525166  76.54472  121.43119 ],[7.793827  7.644596  7.4269667 7.1193657],[1.0611955 1.2232207 1.3379836 1.5574414],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04066027 0.04370229 0.04715233 0.04953625],[0.01680589 0.01754216 0.01941668 0.02078664],[ 8.626308  9.224157  9.913031 10.223918],[3.3134909 3.5895708 3.847774  3.9822395],[8.232627 8.230607 8.228643 8.228308],[0.5138013  0.51463753 0.5154867  0.5169959 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.10197173 0.15385891 0.21491475 0.25199226],[0.08361917 0.17002414 0.28196925 0.2135899 ],[16.24314  22.290152 31.43088  42.477398],[ 5.293297  7.695389 12.668479 21.222687],[8.0680685 8.038004  7.993231  7.9411206],[0.64713496 0.70474666 0.7688873  0.8349284 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.26141074 0.54982567 0.7073075  0.9292311 ],[0.38845253 1.5045097  1.0136029  0.7905452 ],[ 32.698875  58.36549   96.922806 146.74208 ],[ 12.229503  38.2991    72.89359  115.60471 ],[7.8799534 7.705578  7.378497  6.983423 ],[1.1030205 1.2437451 1.5052778 1.5923207],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02671496 0.02932437 0.03182791 0.03387154],[0.00849788 0.00962393 0.0107864  0.0119178 ],[6.0897274 6.669468  7.217316  7.6205177],[1.9960834 2.2484198 2.4334114 2.6362383],[8.184633 8.183193 8.181672 8.181323],[0.35662216 0.35789296 0.35936517 0.3609068 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07352141 0.1066023  0.15061843 0.20229262],[0.04724589 0.07391546 0.09699787 0.15081558],[13.122323 19.015354 28.501137 39.076202],[ 4.062971  6.320478 11.288705 18.242218],[8.097757  8.069597  8.024332  7.9759326],[0.6489653  0.71027905 0.7775656  0.843304  ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15703417 0.2816884  0.4681507  0.6651799 ],[0.12048665 0.24278583 0.4505002  0.653768  ],[ 24.990911  47.629913  84.07621  130.31102 ],[  8.332173  28.950489  59.48785  100.93905 ],[7.877672  7.769895  7.5498295 7.274603 ],[1.0257473 1.135283  1.3667675 1.5934786],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04529645 0.05040973 0.05622531 0.06451192],[0.03026847 0.03463776 0.04408548 0.06402636],[5.092031  5.7716126 6.4995227 7.235393 ],[0.83225393 1.134141   1.3767099  1.814504  ],[8.30168   8.2994795 8.297527  8.29527  ],[0.1323287  0.13515235 0.13843626 0.14203003],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
