model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,phase,10.0,[0.00817796 0.00878316 0.009874   0.01144165],[0.00173924 0.0022191  0.00271811 0.00473438],[2.1958358 2.334988  2.6355271 2.9038064],[0.4065968  0.46566084 0.60307145 0.8629852 ],[8.328258 8.326478 8.32451  8.322757],[0.19012003 0.19469424 0.19961895 0.20493083],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,phase,10.0,[0.02878043 0.06746137 0.12220692 0.22441055],[0.02997614 0.08271328 0.20176232 0.5141954 ],[ 4.55872   8.513386 14.854758 24.001614],[ 1.7758483  4.4689045  9.671444  17.635857 ],[8.190687 8.172537 8.146952 8.114976],[0.5528079  0.61817914 0.6849232  0.7533569 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,phase,10.0,[0.18533266 0.4002813  0.58435696 0.8585303 ],[0.4422514 0.7534046 0.74365   1.0074815],[ 13.93579   35.59588   75.30312  122.135124],[  9.756701  34.83332   77.859184 122.06797 ],[7.8592725 7.739771  7.540723  7.3100085],[0.99746615 1.1472154  1.2814199  1.3988949 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,phase,10.0,[0.01637479 0.01697394 0.01784676 0.01896755],[0.00142102 0.00155062 0.00219774 0.00328336],[4.7122755 4.8830442 5.1160417 5.276855 ],[1.4797301 1.5787255 1.7110273 1.8082684],[8.25478  8.254759 8.254479 8.254764],[0.5152987  0.51579255 0.51637673 0.5174207 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,phase,10.0,[0.03529346 0.06341974 0.11008035 0.13797215],[0.0170195  0.05661973 0.18450406 0.12543476],[ 7.7403283 11.3325405 17.03938   25.040363 ],[ 3.0279922  5.312747   9.634795  16.771978 ],[8.123947 8.10889  8.085925 8.055796],[0.62784064 0.67726904 0.7312274  0.7864637 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,phase,10.0,[0.12051649 0.4178673  0.50429213 0.75864846],[0.16966558 1.7498289  0.814476   0.71088976],[ 17.475027  38.76283   74.15336  122.78644 ],[  9.770443  33.970753  69.32435  111.98697 ],[8.00353   7.8717084 7.605393  7.257113 ],[1.0054528 1.1220859 1.359702  1.4769437],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,phase,10.0,[0.01046656 0.01073753 0.01133693 0.01203938],[0.00323857 0.00339387 0.00339826 0.00366415],[2.8787265 2.9722064 3.151514  3.3194969],[1.057194  1.0992665 1.1372079 1.190702 ],[8.20557  8.206119 8.206568 8.207181],[0.3536951  0.3549345  0.35621187 0.35776842],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,phase,10.0,[0.02327072 0.04233095 0.06851926 0.10853037],[0.00971603 0.02581605 0.0451888  0.08701886],[ 5.5119042  8.882259  14.2816305 21.694616 ],[ 2.3406274  4.162258   7.7763166 13.30799  ],[8.1512   8.137452 8.117384 8.089843],[0.62242615 0.6757003  0.72937727 0.78453   ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,phase,10.0,[0.06892927 0.16635175 0.33203125 0.5340407 ],[0.05428045 0.16636018 0.34665024 0.5405964 ],[ 12.417053  30.07878   62.404644 108.00747 ],[ 6.1859627 25.06835   55.82495   98.635    ],[7.983202  7.9146657 7.7565966 7.525668 ],[0.93839055 1.0223519  1.1803921  1.3794296 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,phase,10.0,[0.01122512 0.01266541 0.01471865 0.0186701 ],[0.00252273 0.00481773 0.0064959  0.01186016],[2.4410458 2.603331  2.9700577 3.3508883],[0.35931548 0.37425467 0.48775515 0.69353086],[8.316103  8.315965  8.315684  8.3152275],[0.13165738 0.13414961 0.13689512 0.1401087 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,phase,10.0,[0.04029321 0.11490672 0.25469238 0.37487575],[0.02708647 0.11304089 0.30822062 0.3645447 ],[ 5.861839 14.111817 29.960684 53.805702],[ 2.4496758 10.244105  25.548378  47.194214 ],[8.194775 8.139131 8.05809  7.9353  ],[0.44055772 0.49826849 0.5831536  0.7022852 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,phase,10.0,[0.32645836 0.73458207 1.0123585  1.1053572 ],[0.36933875 0.684294   1.0495781  0.7810215 ],[ 45.60723 117.20542 172.95241 198.49875],[ 41.517063  98.38221  118.42337  119.58262 ],[8.024673  7.503788  6.8951497 6.4336767],[0.7343309 1.0609896 1.3730412 1.7161577],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,phase,10.0,[0.01460341 0.01531957 0.01619016 0.017836  ],[0.001813   0.00221065 0.00274813 0.00401312],[3.9597495 4.1416435 4.3733907 4.6632557],[0.5528196  0.6513939  0.78865576 0.98950475],[8.275445 8.273468 8.271527 8.269266],[0.20121577 0.20339273 0.2057123  0.2083448 ],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,phase,10.0,[0.03566221 0.07482781 0.14516287 0.24304724],[0.01316656 0.04520255 0.09960666 0.18200874],[ 8.641579 17.228338 33.66103  57.274426],[ 3.3183289 12.83968   31.17411   57.39965  ],[8.196907 8.155841 8.07493  7.945387],[0.4088066  0.44916543 0.49120602 0.5533514 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,phase,10.0,[0.19126844 0.42844817 0.6227972  0.7422264 ],[0.14653525 0.29815158 0.32793096 0.3193854 ],[ 39.148876  97.06368  146.96558  187.52866 ],[ 29.88943  84.14319 109.13431 130.00412],[8.019835  7.635028  7.2718477 6.8789167],[0.6304085  0.77478856 0.8670496  1.1864487 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,phase,10.0,[0.014435   0.01539975 0.01593358 0.0172513 ],[0.00171655 0.00191695 0.00233998 0.00317449],[4.240775  4.539862  4.717339  5.0690293],[0.6153542 0.6915185 0.818673  1.0161414],[8.300178 8.299007 8.297727 8.296437],[0.12794882 0.12920253 0.1307361  0.13265336],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,phase,10.0,[0.03128139 0.05736738 0.10164966 0.1628557 ],[0.00933081 0.0276862  0.0594878  0.09644368],[ 8.6664915 15.492182  27.25844   44.051548 ],[ 2.589749  7.252667 16.057074 28.49931 ],[8.223264 8.183931 8.121655 8.030561],[0.34043705 0.37958327 0.42451847 0.47814545],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
