model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03005848 0.03199847 0.03644657 0.04007222],[0.03071868 0.02893063 0.03500605 0.03505911],[4.4675255 5.03826   5.6092677 6.299609 ],[1.0127344 1.344237  1.7446641 2.243304 ],[8.3159   8.313417 8.310019 8.306528],[0.1901046  0.19468293 0.19957963 0.20496686],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.08067502 0.13646822 0.19843096 0.28045544],[0.09554294 0.17010131 0.26713583 0.47257495],[ 8.975188 14.904803 22.709183 33.244137],[ 2.114169   4.9908276 10.316703  18.066523 ],[8.164171 8.134901 8.096367 8.045964],[0.5657209 0.6374518 0.7119948 0.798499 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.30390567 0.52423745 0.75462836 1.0085968 ],[0.66444254 0.9951636  0.97020614 1.018059  ],[ 18.723616  41.617367  79.135735 131.33412 ],[  8.057978  32.67569   71.65501  122.18301 ],[7.8167143 7.688718  7.4827094 7.137733 ],[1.0342281 1.1681528 1.3064792 1.6126778],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03889747 0.04151098 0.04586412 0.0492187 ],[0.01712588 0.01757244 0.02055835 0.02327522],[7.9950666 8.516529  9.154766  9.575009 ],[2.9443448 3.0770154 3.364358  3.5833974],[8.2346   8.233178 8.231214 8.230293],[0.5147567 0.5154985 0.5164822 0.517968 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09727523 0.15066907 0.19635008 0.24051985],[0.08080384 0.1703064  0.22778472 0.19657275],[15.360417 21.84559  30.227045 40.86775 ],[ 4.828104   7.8642917 13.034617  20.33862  ],[8.074039  8.043731  8.005123  7.9551764],[0.6460586  0.7033841  0.7656731  0.82932013],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.2189884 0.4933713 0.7010762 0.954245 ],[0.25441074 1.1358649  0.94935256 0.8453276 ],[ 29.935974  55.756523  93.48855  144.91129 ],[ 12.596185  36.384922  72.59628  118.61319 ],[7.9108033 7.742436  7.4267817 6.966379 ],[1.0627921 1.1976745 1.426889  1.6548084],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02579885 0.02771153 0.03065006 0.03246969],[0.0082909  0.00923425 0.01061021 0.01196276],[5.761414  6.1584425 6.747946  7.112688 ],[1.73256   1.8315961 2.0552528 2.300234 ],[8.186442 8.185802 8.184397 8.184572],[0.3565533  0.35786578 0.35941488 0.36082783],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07128167 0.10790756 0.14645153 0.19849293],[0.04432925 0.07891924 0.09856622 0.14656062],[12.813618 19.277594 27.81437  38.67259 ],[ 3.9715714  6.7840643 11.327452  17.978298 ],[8.100454 8.069612 8.031547 7.983265],[0.6480118 0.7124308 0.7780154 0.8436862],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14576486 0.27067402 0.47128582 0.67728335],[0.10726083 0.2264172  0.49933866 0.71907353],[ 23.49571   46.426758  81.153694 127.37071 ],[ 8.727166 28.37138  54.78435  94.73383 ],[7.893503  7.783661  7.5732074 7.277351 ],[1.0109891 1.1285571 1.3412913 1.5979074],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04378928 0.04901119 0.0563264  0.06604201],[0.02689633 0.03183107 0.0361401  0.05001354],[4.9440675 5.6063523 6.340524  7.2304854],[0.7514433 0.9813166 1.275078  1.6706662],[8.30203  8.300725 8.298424 8.295734],[0.13233715 0.13514993 0.13833557 0.14216396],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
