model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,phase,10.0,[0.00819766 0.00845287 0.00973845 0.01079314],[0.00265661 0.00319711 0.00422901 0.00611328],[2.1691535 2.2355168 2.498688  2.6902366],[0.52923006 0.57627743 0.77483493 0.978333  ],[8.3281975 8.326613  8.324906  8.323045 ],[0.19015978 0.19468355 0.19962889 0.2048797 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,phase,10.0,[0.02909175 0.06596065 0.10961513 0.20293635],[0.03654832 0.08965977 0.13793774 0.4485858 ],[ 4.294625   7.9906645 14.254616  22.808277 ],[ 1.7639266  4.3257484  9.38463   16.50251  ],[8.190844 8.173605 8.148306 8.115981],[0.55258805 0.6178949  0.68487036 0.7579431 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,phase,10.0,[0.20205621 0.3859578  0.58759475 0.83117247],[0.48644435 0.7455773  0.76626104 0.84074587],[ 13.014307  32.96339   68.87514  120.5966  ],[  8.108318  32.310177  70.81844  122.47374 ],[7.8623676 7.7621026 7.581829  7.265741 ],[1.0022726 1.1250595 1.2494248 1.5361328],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,phase,10.0,[0.01486948 0.01518702 0.01618626 0.01723483],[0.00188423 0.0018498  0.0026992  0.00358498],[4.2514534 4.3689747 4.5631385 4.805278 ],[1.3972235 1.4616333 1.5592488 1.7305685],[8.255531 8.255624 8.255895 8.256023],[0.5152628  0.5156979  0.5162937  0.51718116],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,phase,10.0,[0.03330035 0.06045439 0.09804372 0.12963401],[0.01715882 0.05273303 0.14858072 0.11130338],[ 7.053872 10.705515 16.14093  23.372278],[ 2.6694744  5.07684    9.20913   15.0020895],[8.124223 8.109031 8.087632 8.058155],[0.6275293  0.67640674 0.72983104 0.7863765 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,phase,10.0,[0.11485247 0.39919856 0.49982905 0.7703068 ],[0.15433155 1.6030413  0.83580303 0.7645908 ],[ 16.822802  37.328915  71.452545 122.94112 ],[  9.985316  31.858097  69.086205 116.60369 ],[8.0039835 7.879124  7.6240935 7.2210565],[1.0025828 1.1079632 1.3032107 1.4966942],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,phase,10.0,[0.0092666  0.00954638 0.00983867 0.01049917],[0.00295311 0.0030235  0.00293259 0.00323811],[2.5197208 2.6062806 2.7029412 2.8829887],[0.9408772  0.96214217 0.95205677 1.0124468 ],[8.206043 8.20681  8.207505 8.208141],[0.353791   0.35498837 0.35631043 0.3578503 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,phase,10.0,[0.02204624 0.04173501 0.06666504 0.10220608],[0.0094027  0.0254226  0.0445542  0.07946196],[ 5.128386  8.748728 13.848624 20.877558],[ 2.1341972  4.0783563  7.4385467 12.789675 ],[8.151029 8.1368   8.11781  8.091963],[0.6225036  0.67640424 0.7295751  0.7833226 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,phase,10.0,[0.06572663 0.15832451 0.33175382 0.54205626],[0.0513254  0.1468299  0.37368894 0.56385934],[ 11.694389  28.266163  58.10692  104.06607 ],[ 5.9300103 22.93294   48.984245  90.53583  ],[7.985292 7.91879  7.765327 7.511244],[0.9352134 1.0247926 1.1985259 1.4354066],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,phase,10.0,[0.010996   0.01156806 0.01367591 0.01666406],[0.00280782 0.0036346  0.00506776 0.00863369],[2.4027314 2.4925845 2.798321  3.1864235],[0.37475938 0.41405392 0.5276891  0.74687636],[8.316151 8.316231 8.316163 8.315671],[0.13165633 0.13408998 0.13692081 0.14016047],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,phase,10.0,[0.03832337 0.10885219 0.2424267  0.364836  ],[0.02943332 0.10551605 0.28891802 0.34950516],[ 5.5186253 13.169949  28.805178  51.443058 ],[ 2.4481955  9.425547  25.098093  45.32744  ],[8.19554   8.143352  8.061816  7.9427075],[0.44029114 0.49554315 0.5833236  0.7063469 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,phase,10.0,[0.29378918 0.7154299  0.9696202  1.1396506 ],[0.332514   0.6670065  0.95622426 0.9492019 ],[ 45.59553 116.09317 162.45886 198.38387],[ 46.799347 102.11036  115.90476  122.69302 ],[8.027282  7.4321337 7.0241213 6.7061896],[0.73007673 1.206995   1.2702069  1.3028281 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,phase,10.0,[0.01332232 0.01382877 0.01480512 0.0162927 ],[0.00177199 0.00209602 0.00262176 0.00378862],[3.5732567 3.7169502 3.9355972 4.276143 ],[0.54069763 0.6296047  0.755896   0.9571307 ],[8.27695  8.275119 8.27336  8.271132],[0.20117883 0.20334165 0.20572352 0.20836647],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
