model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,5e-08,3,True,False,TDD,vanilla,0,[0.05262714 0.0902207  0.14662592 0.21773225],[0.02954155 0.05694582 0.09605747 0.1357595 ],[10.193716 18.80731  32.984367 51.09799 ],[ 4.5417933 11.440312  22.740715  34.008366 ],[8.210943 8.203873 8.189945 8.169995],[0.36762318 0.38439584 0.40410033 0.42706946],[8.233838 8.237641 8.241822 8.246357],[0.36562672 0.3805851  0.39700893 0.4147793 ]
DDK8,A,5e-08,6,True,False,TDD,vanilla,0,[0.07257678 0.13431948 0.20592177 0.2924945 ],[0.03331346 0.06612756 0.09246623 0.13564698],[15.164441 29.885681 49.232426 71.68624 ],[ 6.3884   15.646353 26.895872 41.175602],[8.25024  8.230114 8.197768 8.154025],[0.44927728 0.4932535  0.54226136 0.5981215 ],[8.28204  8.2848   8.287399 8.290143],[0.44220755 0.47809482 0.5148415  0.55173457]
DDK8,A,5e-08,9,True,False,TDD,vanilla,0,[0.10563949 0.20437665 0.27752513 0.3598422 ],[0.08730431 0.21227056 0.1951683  0.24256155],[17.56803  34.715878 53.741966 74.84433 ],[ 6.985906 16.117203 27.157867 43.766544],[8.192759 8.147157 8.088497 8.010565],[0.5604012 0.6253222 0.6965724 0.7808286],[8.232175 8.218963 8.206256 8.19461 ],[0.5494946  0.6048245  0.66238713 0.7200331 ]
DDK8,A,5e-08,12,True,False,TDD,vanilla,0,[0.10388942 0.20615953 0.3090399  0.454419  ],[0.07622611 0.17780057 0.2993121  0.45545015],[17.783113 34.952198 57.464188 86.43578 ],[ 7.070024 16.979286 32.12271  55.974705],[8.121308 8.074167 8.009481 7.899436],[0.5825835 0.6680093 0.7652647 0.8832245],[8.1713705 8.169162  8.165635  8.1618185],[0.5680532  0.6353437  0.7046337  0.77285534]
DDK8,A,5e-08,15,True,False,TDD,vanilla,0,[0.11426962 0.23472978 0.34406173 0.53895044],[0.08857512 0.21322761 0.27968276 0.50162125],[ 21.083258  42.5168    69.56853  105.49537 ],[ 8.729848 21.653036 44.06563  84.27635 ],[8.168836  8.106453  8.031351  7.8805876],[0.7466412  0.84486586 0.95872504 1.1234689 ],[8.229278 8.228537 8.234898 8.246084],[0.716445   0.7802941  0.83712816 0.889672  ]
DDK8,A,5e-08,18,True,False,TDD,vanilla,0,[0.16181383 0.33840993 0.48780358 0.7211088 ],[0.14812672 0.5147781  0.60406166 0.7802421 ],[ 22.522871  43.913174  72.88855  114.59601 ],[ 8.39464  22.702019 49.25228  85.91398 ],[8.087893  8.011536  7.9048676 7.7045937],[0.8676944 0.9692603 1.0959709 1.3069938],[8.165414 8.166351 8.164887 8.15692 ],[0.8150258 0.8670547 0.9366969 1.025056 ]
DDK8,A,5e-08,21,True,False,TDD,vanilla,0,[0.15750317 0.28764367 0.43072098 0.66539305],[0.12470965 0.23295245 0.32434347 0.4369627 ],[ 23.994469  46.233753  73.236176 130.56046 ],[ 9.949725 23.516018 45.0986   82.084076],[8.012714  7.9006305 7.756857  7.4808626],[0.9441687 1.0331303 1.1346428 1.317378 ],[8.097888  8.0776415 8.057297  8.0439825],[0.8918794  0.9238005  0.95249516 0.97904676]
DDK8,A,5e-08,24,True,False,TDD,vanilla,0,[0.16183412 0.31155413 0.4789828  0.64754385],[0.14141959 0.4428123  0.47700146 0.48260105],[ 26.888866  47.021015  86.40373  145.42604 ],[ 12.965362  31.413918  71.64677  112.899796],[8.161252  8.054188  7.871564  7.4994087],[0.8226157 0.9229831 1.0514133 1.3942469],[8.248478 8.227171 8.202078 8.1868  ],[0.7698817  0.82811874 0.88698286 0.9156224 ]
DDK8,A,5e-08,27,True,False,TDD,vanilla,0,[0.18916471 0.3558457  0.595944   0.8319189 ],[0.1613778  0.3178986  0.77832216 0.7832408 ],[ 28.313255  55.40658   97.126884 151.95255 ],[ 12.94499  35.97426  72.6853  126.8062 ],[7.9745827 7.85457   7.650395  7.276452 ],[0.8655347 0.9578835 1.099766  1.3687224],[8.073305 8.057036 8.035699 8.017298],[0.81447893 0.87702554 0.95565355 1.0139018 ]
DDK8,A,5e-08,33,True,False,TDD,vanilla,0,[0.27520564 0.500874   0.78896385 0.88625467],[0.35272697 0.7821185  0.94016474 0.63931435],[ 34.356747  67.31551  128.12187  193.58405 ],[ 18.050049  50.901463 102.00959  171.77415 ],[8.050711  7.8819685 7.534248  7.1945467],[1.0529954 1.2640599 1.4934199 1.4980966],[8.180847  8.193614  8.203002  8.1704445],[0.9456215  0.95782167 0.92753166 0.9645922 ]
DDK8,A,5e-08,36,True,False,TDD,vanilla,0,[0.3036468 0.5238356 1.085546  1.140741 ],[0.4695013  0.5515015  1.823351   0.92529196],[ 35.262142  75.24668  144.11128  232.00574 ],[ 16.275908  53.878155 113.68334  172.9912  ],[7.948235  7.730495  7.301875  6.7267175],[0.9419194 1.1413116 1.4771266 1.6671649],[8.093336 8.087319 8.075918 8.088953],[0.84122604 0.8823591  0.96047276 0.99210644]
DDK8,A,5e-08,42,True,False,TDD,vanilla,0,[0.34414783 0.61282563 0.85689044 1.2010741 ],[0.32958132 0.58498615 0.5839124  0.99322754],[ 39.34991  89.87654 157.73555 226.49435],[ 24.177917  66.304985 120.11536  160.86543 ],[7.622227  7.331635  6.9231205 6.4987   ],[1.1900302 1.4423496 1.5830498 1.5818523],[7.833758 7.885902 7.919857 7.917343],[1.0413706 1.023846  1.0217247 1.0423343]
DDK8,A,2e-07,3,True,False,TDD,vanilla,0,[0.05592311 0.08784949 0.14173302 0.2031457 ],[0.02277293 0.04475496 0.08465484 0.11848804],[11.328775 18.856073 32.18387  48.071304],[ 4.52542  11.262271 22.903492 33.017193],[8.089758 8.080121 8.062122 8.037585],[0.63437605 0.6392033  0.645775   0.654493  ],[8.130689 8.134304 8.138219 8.142409],[0.6257091 0.6282687 0.6312905 0.6347323]
