model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.0530085  0.09679407 0.16604136 0.25463507],[0.0174204  0.03956761 0.07672147 0.11878415],[10.957079 21.384466 38.537315 60.45802 ],[ 4.24379  11.352583 22.654545 34.929695],[8.274597 8.255687 8.222635 8.17474 ],[0.29001352 0.30485985 0.32143077 0.34081042],[8.310018 8.311025 8.311322 8.311014],[0.2866387  0.29886192 0.3112389  0.32331753]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.08000813 0.16799518 0.2703661  0.3930191 ],[0.03604614 0.10218152 0.13965319 0.19136074],[14.138527 29.711576 53.01002  81.76354 ],[ 4.771486 12.509315 24.526205 40.24699 ],[8.146796  8.093193  7.998446  7.8407984],[0.40663782 0.43570805 0.49279916 0.62398314],[8.200852 8.201835 8.201868 8.201473],[0.3916575  0.3997785  0.4085088  0.41598982]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.09635887 0.21707335 0.3625543  0.53575015],[0.04706755 0.12946315 0.20792966 0.348727  ],[ 18.126287  41.8952    76.20798  117.05426 ],[ 5.343767 19.606989 44.00105  69.994385],[8.185977  8.102947  7.9403386 7.639354 ],[0.45637915 0.49772292 0.59447217 0.86896133],[8.251503 8.261046 8.269067 8.268886],[0.43901262 0.44828576 0.46303815 0.48474985]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.13233681 0.31088266 0.49879822 0.64964586],[0.06738398 0.18506575 0.26979533 0.28243166],[ 22.038568  56.446945 102.840096 150.07748 ],[ 8.234163 30.153996 59.4724   87.286095],[8.074299  7.9071183 7.5811253 7.1244283],[0.45269153 0.5710534  0.8508636  1.2194929 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534238 0.45664805 0.49680933 0.52424616]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.16083866 0.38570762 0.58614844 0.7422412 ],[0.11795203 0.2694654  0.32806846 0.3313461 ],[ 29.837353  83.723656 142.27405  195.61363 ],[ 15.8896   54.80122  87.27362 112.23735],[8.175228  7.8602624 7.3193617 6.8669844],[0.5749017  0.81729585 1.3056258  1.399358  ],[8.301512 8.301376 8.2951   8.286509],[0.51885885 0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.24132288 0.63322777 0.8232204  0.93730617],[0.15319602 0.4552206  0.4447514  0.34654436],[ 44.2052  129.77652 194.4117  248.38582],[ 31.362738  96.42877  126.233604 144.61082 ],[7.9089727 7.1909533 6.402508  6.0507994],[0.62127066 1.1407017  1.6760218  1.6011757 ],[8.143848 8.165355 8.190139 8.226463],[0.55700666 0.5532856  0.58807176 0.6425339 ]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.28275862 0.682723   0.92885673 1.0290546 ],[0.21674454 0.42443594 0.53660315 0.37910783],[ 52.196327 146.54884  204.09213  252.47182 ],[ 39.201195 106.01389  124.60312  122.60685 ],[7.8288465 6.954921  6.3208723 5.78913  ],[0.6930867 1.428208  1.5731847 1.5709335],[8.123272 8.136701 8.135805 8.151181],[0.5637357  0.5555875  0.58310056 0.62311316]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.30776152 0.6780644  0.8912113  0.98543304],[0.25362512 0.4786791  0.45084074 0.29809406],[ 62.28688 159.32361 220.13441 272.08118],[ 50.17875  125.289055 133.95589  142.83452 ],[7.9509487 7.027585  6.382304  5.8119106],[0.6927038 1.4460378 1.5521395 1.5613148],[8.27013  8.258452 8.255481 8.262504],[0.5118271  0.5137656  0.52345896 0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.34161714 0.7234199  0.9924598  1.0248433 ],[0.24096444 0.41045204 0.5335305  0.32910648],[ 66.725716 162.76256  226.01788  259.0375  ],[ 55.59519  118.801155 132.33899  126.988495],[7.810157 6.767511 6.203886 5.742761],[0.69559765 1.5491574  1.5697101  1.4960381 ],[8.164666 8.149782 8.144776 8.15001 ],[0.5907433  0.6523984  0.6741813  0.66140956]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.54250914 1.0337303  1.1615324  1.3183655 ],[0.4300743  0.8206338  0.58368397 0.73199826],[109.533455 215.69685  262.84274  302.84875 ],[ 85.10833 147.81157 127.44352 135.67798],[7.5802236 6.593495  5.9168763 5.3272095],[1.0224824 1.5383452 1.6007789 1.6977916],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
