model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,phase,10.0,[0.01555652 0.02928356 0.05221087 0.09349487],[0.00422888 0.00979553 0.02144747 0.03911103],[ 4.5470724  8.679083  15.55576   27.651583 ],[ 1.5207412  3.4588041  7.3979063 13.484242 ],[8.32776  8.324928 8.320525 8.313533],[0.19013986 0.19467397 0.1996604  0.20505378],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,phase,10.0,[0.05990817 0.1426495  0.24135086 0.33339483],[0.08376388 0.17090365 0.40804207 0.38780388],[10.056248 23.718979 40.34509  61.34389 ],[ 4.823231 11.956636 22.969671 39.462822],[8.187813 8.159887 8.123248 8.063803],[0.5567886  0.63362503 0.7052113  0.78679156],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,phase,10.0,[0.16866754 0.37454194 0.6076255  0.768671  ],[0.3072969  0.45590618 0.5923484  0.64256895],[ 18.258266  45.606567  95.09124  145.5203  ],[ 12.529218  40.854107  86.84343  130.56711 ],[7.860385 7.714676 7.500098 7.285586],[0.99352145 1.1748909  1.3189129  1.3684093 ],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,phase,10.0,[0.02309835 0.03592723 0.0579979  0.09447356],[0.00317202 0.00713025 0.01568645 0.02967156],[ 6.9385176 10.913291  17.64989   28.718338 ],[ 2.497546  4.456055  8.185969 14.235423],[8.254947 8.25354  8.250287 8.244742],[0.5155978  0.5163097  0.51771474 0.5202102 ],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,phase,10.0,[0.05457208 0.12031595 0.18859911 0.28390226],[0.03894889 0.14634359 0.17315973 0.3151173 ],[12.0824795 24.260925  40.61153   59.347218 ],[ 5.3622026 11.847973  22.197363  34.743553 ],[8.123163 8.103637 8.071113 8.016753],[0.6286215  0.68216777 0.7426467  0.81758875],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,phase,10.0,[0.12171938 0.32031506 0.5502267  0.7778893 ],[0.10135787 0.7739516  0.63298583 0.5831264 ],[ 21.479155  47.65868   93.10398  158.89052 ],[ 13.414838  42.952156  83.10899  134.73898 ],[8.00256   7.8642316 7.5744433 7.128348 ],[1.0014066 1.1188576 1.2976664 1.4876075],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,phase,10.0,[0.01442793 0.0259206  0.04685377 0.07893466],[0.00455642 0.00892955 0.0188364  0.03180496],[ 4.0854015  7.5152173 13.771856  23.43334  ],[ 1.6256604  3.1688228  6.613487  11.202884 ],[8.205099  8.2040415 8.201358  8.196742 ],[0.35389405 0.35546383 0.35749838 0.3602855 ],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,phase,10.0,[0.03481445 0.0803033  0.13480082 0.20556754],[0.01426884 0.04124145 0.07020973 0.10617393],[ 8.807447 19.784811 34.08883  52.65557 ],[ 4.0223007  9.807268  18.312828  30.057959 ],[8.148441 8.129594 8.100701 8.053314],[0.6234923  0.6793939  0.7369698  0.79928094],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,phase,10.0,[0.07924407 0.18986116 0.37323144 0.5994899 ],[0.05919699 0.14936158 0.28506738 0.46689832],[ 15.136623  39.31306   81.71794  142.59146 ],[  7.5852475  34.274284   70.206116  120.53501  ],[7.979571  7.897271  7.720193  7.4332275],[0.9376811 1.0383987 1.2032015 1.4032205],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,phase,10.0,[0.01811496 0.03223997 0.05749482 0.10106578],[0.00472115 0.00972033 0.021034   0.03865175],[ 4.8096833  8.868489  15.79152   27.75225  ],[ 1.376849   3.0603855  6.4211936 11.542277 ],[8.315544 8.31388  8.309663 8.301273],[0.13164663 0.13413502 0.13732398 0.14121461],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
