model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03868208 0.08861355 0.16958211 0.28082713],[0.02621558 0.06141365 0.13136867 0.22076102],[ 8.30199  22.480759 46.69369  79.36033 ],[ 4.277048 16.484201 39.266994 67.041405],[8.31685  8.308761 8.296497 8.267971],[0.18989004 0.19410528 0.19813623 0.20650813],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.10574263 0.21405178 0.3113321  0.39007857],[0.10588721 0.22454591 0.43136775 0.39236593],[14.7179985 30.826977  46.842823  67.24132  ],[ 5.1744094 13.361879  26.27465   44.765804 ],[8.164311  8.119615  8.060851  7.9777575],[0.5670739  0.64924973 0.7339781  0.82299185],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.29223028 0.48165852 0.69662035 0.8726123 ],[0.56811756 0.6529023  0.8247367  0.7362222 ],[ 22.174152  50.594692  96.606476 150.53099 ],[  9.983566  37.36032   79.659836 127.220764],[7.8174987 7.6601796 7.4130664 7.1525664],[1.0257884 1.1909156 1.3892559 1.4364705],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04746853 0.08582997 0.14888752 0.23670538],[0.01594814 0.04039964 0.08995378 0.15439017],[11.24472  22.519638 41.698837 68.6421  ],[ 5.0495815 14.528185  32.707504  56.578506 ],[8.234572 8.227811 8.215754 8.191411],[0.5148573  0.5165603  0.5189982  0.52855897],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.11219738 0.20066962 0.30891585 0.42316067],[0.08694877 0.2040343  0.2933306  0.42500684],[20.487625 36.39882  58.379013 81.859085],[ 7.5852795 14.94308   30.27346   49.277744 ],[8.081    8.039195 7.963949 7.85434 ],[0.64529026 0.71121925 0.81387097 0.9348266 ],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.21381803 0.43774647 0.7727278  0.861633  ],[0.20289864 0.8077431  1.1226004  0.67336243],[ 32.89611   63.618057 109.09496  162.99326 ],[ 14.606743  47.121807  81.424034 129.15926 ],[7.916763  7.7351575 7.4009438 6.97969  ],[1.0661031 1.2099642 1.4397098 1.5483695],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.03572544 0.07443041 0.13928817 0.22992615],[0.01305699 0.04378507 0.0990374  0.17135048],[ 8.816318 20.115046 39.515335 66.61154 ],[ 4.0580773 14.129778  32.25074   55.67557  ],[8.184778 8.17869  8.168163 8.14773 ],[0.35679355 0.3591569  0.3623759  0.36815098],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.0853309  0.15109336 0.23455891 0.33232775],[0.04615288 0.09235907 0.15288648 0.2432769 ],[16.977013 31.39248  51.662125 75.68249 ],[ 5.76581  11.376185 23.516079 39.36612 ],[8.10275  8.065607 8.003894 7.908038],[0.64710397 0.71352786 0.7942802  0.8852759 ],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.1548409  0.2754278  0.47125527 0.64271814],[0.10883636 0.20423786 0.37350738 0.4908321 ],[ 26.475908  53.279892  95.44004  149.3611  ],[  8.625307  37.26395   70.477806 114.82952 ],[7.8937535 7.7758846 7.5704026 7.2569213],[1.0138576 1.139884  1.3255869 1.5497627],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.05286109 0.10651421 0.19316067 0.3071694 ],[0.02773717 0.06329325 0.13153495 0.21563031],[ 8.755131 22.51846  45.736217 76.78145 ],[ 3.8691921 15.200528  35.929523  61.08307  ],[8.301964 8.293443 8.277615 8.243689],[0.13257477 0.13635018 0.14289981 0.1611233 ],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
