model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03073344 0.04856362 0.07942671 0.12115295],[0.02243076 0.02875114 0.04564102 0.06707803],[ 5.74723  10.446216 18.6351   30.586374],[ 1.808161   4.5506973 10.21571   17.552002 ],[8.31697  8.309497 8.299343 8.285137],[0.1900808  0.19451557 0.19924732 0.20414284],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.1068313  0.21181569 0.31467566 0.4037101 ],[0.11725578 0.22108258 0.44614503 0.42186427],[15.018598 32.14166  50.240112 70.86    ],[ 5.378775 13.276415 24.396288 40.490982],[8.16445  8.123094 8.069783 7.996844],[0.566227   0.6469562  0.7247768  0.81129247],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.26224807 0.4930878  0.7157929  0.8620552 ],[0.4273188  0.6195857  0.6977901  0.70018756],[ 23.847406  53.049282 103.41318  155.32062 ],[ 12.846862  40.035847  85.324875 129.09694 ],[7.8171306 7.634594  7.4017463 7.1339006],[1.0258111 1.2581699 1.3731059 1.4560635],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04313397 0.05846628 0.08424658 0.11942916],[0.01490802 0.01879618 0.02773677 0.04078969],[ 9.552722 13.509578 20.341211 30.20172 ],[ 3.4435735  5.2419415  9.036345  14.512579 ],[8.23321  8.227098 8.21585  8.201454],[0.51520425 0.51701665 0.5194449  0.52319175],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.11072677 0.19589052 0.2878185  0.37250304],[0.08370542 0.20337614 0.2865901  0.3618025 ],[20.538092 36.1845   56.10589  76.30984 ],[ 7.8498936 15.811314  27.878012  40.665966 ],[8.081182  8.04636   7.9916115 7.912995 ],[0.64365214 0.702755   0.7717621  0.8574929 ],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.21237165 0.4070545  0.66798127 0.8699406 ],[0.17324357 0.5532672  0.7010015  0.5726505 ],[ 34.644764  64.0541   110.76378  175.2224  ],[ 16.462393  47.431328  85.006195 137.7825  ],[7.915415  7.7425237 7.3990006 6.874426 ],[1.0649137 1.2018685 1.407777  1.61849  ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.03026626 0.0427172  0.06635874 0.09801035],[0.00928772 0.01278869 0.02107471 0.03242095],[ 6.9696236 10.307495  16.87097   25.996252 ],[ 2.239589   3.5360548  6.7728567 11.019325 ],[8.182667 8.177422 8.166698 8.15453 ],[0.35665601 0.35868382 0.36168772 0.36500323],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.083123   0.1445438  0.21527411 0.29717258],[0.04164455 0.07608947 0.10702401 0.1414745 ],[17.016874 31.235512 50.252552 72.580025],[ 6.3186135 13.397771  23.921568  36.121994 ],[8.101816  8.068439  8.018671  7.9453316],[0.6469787 0.712284  0.7832218 0.8633729],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15815996 0.28643817 0.4841679  0.6732064 ],[0.10895323 0.20512515 0.3690908  0.5011052 ],[ 27.808784  56.991676 102.41088  161.0061  ],[ 10.218443  39.74756   73.00403  123.80008 ],[7.8912773 7.7718883 7.5479937 7.2351103],[1.0132887 1.1411977 1.3373833 1.5355227],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04497148 0.06750154 0.10244529 0.15003447],[0.02326626 0.03385091 0.05098302 0.07545155],[ 6.3317547 11.071839  19.17968   31.288721 ],[ 1.4259585  3.6243138  8.102336  13.78352  ],[8.302128 8.295508 8.28456  8.268609],[0.1323724  0.1354146  0.13956943 0.14495227],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
