model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02556156 0.02959037 0.03451331 0.03960009],[0.02063513 0.02223371 0.02737405 0.03051188],[4.4143157 5.1418085 5.894464  6.9303675],[1.1114937 1.4391807 1.8631924 2.5066104],[8.318252 8.313949 8.309909 8.305852],[0.19009928 0.19464487 0.19958484 0.20496926],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07771682 0.13296102 0.19436741 0.26407593],[0.0949605  0.14855255 0.27061334 0.34220472],[ 9.496801 16.478615 26.067095 38.363506],[ 2.3280594  5.9595428 12.356375  22.065914 ],[8.16623  8.133003 8.090194 8.040269],[0.5643909  0.6364934  0.710132   0.79114234],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.24352399 0.4292696  0.61161816 0.7806025 ],[0.41667482 0.49054125 0.5525051  0.58322996],[ 21.486517  47.75979   93.94536  144.1044  ],[ 10.853558  35.940437  80.45439  128.44357 ],[7.816626  7.64605   7.436813  7.1323824],[1.02711   1.2292298 1.3176119 1.4903973],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03823807 0.04162949 0.04544949 0.04975426],[0.01361649 0.01487395 0.01705672 0.01884524],[ 8.377376  8.976974  9.651897 10.414451],[3.0154111 3.2119956 3.4996784 3.8395417],[8.23579  8.234179 8.2317   8.230059],[0.5146637 0.5156492 0.516402  0.5173401],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08874938 0.13446645 0.19253092 0.23152249],[0.06045647 0.11618235 0.23371784 0.1722491 ],[15.537054 22.167175 31.954351 43.873123],[ 5.0000215  8.597392  15.265073  24.980238 ],[8.082045 8.05137  8.008498 7.958985],[0.6433117 0.7002511 0.7624788 0.8260868],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.19963375 0.38861653 0.5606745  0.7498937 ],[0.17800078 0.5728158  0.45731553 0.46709675],[ 31.599855  59.573753 103.61109  151.03734 ],[ 14.173619  42.42254   83.25688  124.19722 ],[7.911346  7.7311835 7.3768077 6.940733 ],[1.0723586 1.2258383 1.5035473 1.6129446],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02635206 0.02836644 0.03097126 0.0333112 ],[0.00813348 0.00898152 0.00970731 0.0110315 ],[6.016419  6.4202437 7.0180526 7.54992  ],[1.8331234 1.89835   2.0527182 2.3343291],[8.185236 8.184458 8.182687 8.18235 ],[0.35631073 0.35765755 0.35914585 0.36059162],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06716962 0.10246692 0.14445004 0.19903791],[0.03864441 0.06576382 0.08552452 0.1257354 ],[12.56822  19.418232 29.217201 41.91233 ],[ 3.910846   7.2830153 12.863431  21.0861   ],[8.103445  8.074208  8.034463  7.9840336],[0.645859  0.7082806 0.7734021 0.8425465],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14386892 0.26457536 0.43569365 0.5961435 ],[0.10083049 0.19526257 0.35159287 0.43023458],[ 24.910141  51.436344  92.41231  142.37346 ],[  9.03598  35.43976  70.61827 115.60953],[7.894777  7.7795186 7.564712  7.242816 ],[1.0092793 1.1341316 1.3438745 1.5857983],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.03905698 0.04674194 0.05383892 0.06374809],[0.02143842 0.02780479 0.03439099 0.04642659],[4.94515   5.773341  6.6059155 7.7788506],[0.8394232 1.0369816 1.3554344 1.789251 ],[8.303806 8.301163 8.298395 8.295385],[0.13229193 0.13498913 0.13821456 0.14193061],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
