model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK10,A,3e-08,1,False,False,TDD,vanilla,0,[0.0520298  0.07162192 0.08166484 0.09448852],[0.06538921 0.09908891 0.11629513 0.13119975],[6.094946 7.138334 8.022191 9.178844],[1.5942687 2.273852  2.861735  3.4487932],[8.307491 8.303935 8.298375 8.293834],[0.19097145 0.19599621 0.20118056 0.20653819],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK10,A,3e-08,10,False,False,TDD,vanilla,0,[0.13048522 0.21186388 0.2911638  0.39539626],[0.15506198 0.24341148 0.40813112 0.61611724],[12.868443 21.819391 32.936684 45.24042 ],[ 3.457495  8.35112  15.30194  25.063251],[8.142283 8.097788 8.044125 7.987112],[0.5755918 0.652291  0.7301071 0.8154483],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK10,A,3e-08,30,False,False,TDD,vanilla,0,[0.5146225 0.7575523 1.0443242 1.2729634],[1.080241  1.0893581 1.357719  1.3736162],[ 27.956676  60.238747 104.67529  156.6931  ],[ 10.733303  43.019775  86.98382  135.02472 ],[7.746313  7.567831  7.287513  6.9804397],[1.1057545 1.2551975 1.467403  1.6251731],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK10,A,1e-07,1,False,False,TDD,vanilla,0,[0.06129162 0.08117455 0.08850178 0.09783897],[0.05081921 0.09126978 0.09821324 0.11049433],[10.530762 12.046318 12.884307 13.729668],[4.1720257 5.010472  5.471821  5.773999 ],[8.225203  8.223191  8.219654  8.2181015],[0.51437753 0.5162176  0.51728797 0.5183334 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK10,A,1e-07,10,False,False,TDD,vanilla,0,[0.1279541  0.20253064 0.29583743 0.34626693],[0.18747889 0.28509596 0.5833421  0.5918366 ],[18.179346 27.397242 37.005436 49.690426],[ 6.061417 10.557581 16.233612 26.717297],[8.058704  8.015331  7.9638367 7.902958 ],[0.6488121  0.7118039  0.7806903  0.85099596],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK10,A,1e-07,30,False,False,TDD,vanilla,0,[0.3074377  0.62025833 0.834517   1.0365862 ],[0.6244514 1.8419917 1.2782488 0.9152405],[ 36.091915  68.78243  113.9788   163.25964 ],[ 16.849133  46.197636  88.45775  128.19284 ],[7.8656936 7.666914  7.292188  6.8592525],[1.1079419 1.2352875 1.5152245 1.5911958],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK10,A,3e-07,1,False,False,TDD,vanilla,0,[0.03052573 0.03668695 0.04049755 0.04564892],[0.01020306 0.0159645  0.01729175 0.02127798],[6.872008 8.09     8.974586 9.972568],[2.2316442 3.1349132 3.6320305 4.036804 ],[8.182074 8.180788 8.177378 8.176768],[0.35665056 0.35774887 0.3591237  0.3606299 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK10,A,3e-07,10,False,False,TDD,vanilla,0,[0.07761004 0.12591791 0.17120272 0.23025964],[0.0491568  0.09062387 0.11584436 0.17424656],[14.091661 23.60634  34.116127 46.662514],[ 4.2741623  9.155665  15.688986  26.252312 ],[8.097896 8.056856 8.007433 7.953401],[0.6495628  0.717484   0.78748035 0.8578723 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK10,A,3e-07,30,False,False,TDD,vanilla,0,[0.17112546 0.3272345  0.52796084 0.74033386],[0.14244844 0.29340369 0.49013683 0.71921915],[ 27.34921   57.071167  98.54905  149.50725 ],[  9.8590145  35.341133   70.128494  114.08705  ],[7.874732  7.7200913 7.4818144 7.1607485],[1.0268611 1.1708949 1.3813657 1.6058284],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK10,C,3e-08,1,False,False,TDD,vanilla,0,[0.07855244 0.11735385 0.13126075 0.16075297],[0.06319118 0.1190455  0.1340368  0.16802172],[ 6.7627544  8.310528   9.378836  10.986366 ],[1.2463491 1.962356  2.4404864 2.9569008],[8.292987 8.289098 8.284374 8.279465],[0.13269877 0.1349199  0.1385119  0.14179876],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
