model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK10,A,3e-08,1,False,False,TDD,vanilla,0,[0.06194382 0.06649498 0.06410345 0.06413955],[0.07604834 0.08670496 0.06726731 0.0644048 ],[7.802285 8.011212 8.675362 8.962663],[1.6044353 1.8141416 2.1388478 2.3430002],[8.300339 8.298635 8.294352 8.29269 ],[0.1903489  0.19501618 0.19996192 0.20544136],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK10,A,3e-08,10,False,False,TDD,vanilla,0,[0.14993791 0.20904608 0.2762265  0.369904  ],[0.1680331  0.23018385 0.33383933 0.5284038 ],[15.698092 22.702496 32.905506 46.50004 ],[ 3.6292214  7.6728897 13.776516  24.51237  ],[8.123868 8.089447 8.03828  7.97579 ],[0.5859727 0.6626845 0.743049  0.8382057],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK10,A,3e-08,30,False,False,TDD,vanilla,0,[0.72336316 0.8996434  1.0408301  1.2267733 ],[1.9279928 1.7504573 1.2349209 1.3930849],[ 35.16165   63.694088 109.68168  161.09175 ],[ 12.194766  40.491287  84.36133  127.50698 ],[7.676963  7.5378237 7.2642217 6.8680797],[1.1529127 1.2224251 1.3884896 1.6603148],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK10,A,1e-07,1,False,False,TDD,vanilla,0,[0.06557737 0.07108934 0.07342055 0.07664753],[0.04367192 0.05733639 0.05092163 0.04803024],[12.84825  13.186496 13.872681 14.416171],[4.8829007 5.020698  5.357457  5.743345 ],[8.224687 8.224362 8.221898 8.222234],[0.51596874 0.51694494 0.5178803  0.5191677 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK10,A,1e-07,10,False,False,TDD,vanilla,0,[0.13431741 0.18809992 0.28802755 0.29977047],[0.12510295 0.20781876 0.66672766 0.29789117],[20.809738 28.14123  38.02444  50.820538],[ 6.56005  10.669224 17.54455  28.833359],[8.055773 8.023794 7.974159 7.916551],[0.653453   0.71117246 0.77515256 0.8415162 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK10,A,1e-07,30,False,False,TDD,vanilla,0,[0.36325008 0.63230264 0.81724775 1.0497187 ],[0.667008   1.3276896  0.9311618  0.88799375],[ 42.672325  71.162704 114.18742  163.19806 ],[ 16.08651  42.30336  81.69601 125.06791],[7.825293  7.6180224 7.2154937 6.816175 ],[1.136896  1.2969378 1.5938115 1.6400325],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK10,A,3e-07,1,False,False,TDD,vanilla,0,[0.0337614  0.03541297 0.03923384 0.04154723],[0.00932183 0.01075662 0.01283442 0.01501469],[7.648382 7.913751 8.726813 9.095968],[2.029643  2.1756024 2.5525064 2.7487414],[8.1764965 8.177017  8.174176  8.174716 ],[0.3552686  0.3567583  0.35817024 0.3599692 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK10,A,3e-07,10,False,False,TDD,vanilla,0,[0.09135914 0.130305   0.17866442 0.24152654],[0.06010549 0.09040995 0.12011805 0.18328482],[16.352135 23.746958 34.339867 47.962845],[ 4.5118117  8.421229  14.796672  25.714905 ],[8.08253   8.048904  7.9970884 7.9398212],[0.6533917  0.71832526 0.78904897 0.8591547 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK10,A,3e-07,30,False,False,TDD,vanilla,0,[0.21428122 0.35621113 0.58024263 0.76309484],[0.17375727 0.31455514 0.58982503 0.7414488 ],[ 34.268078  60.70479  101.76842  152.91565 ],[ 10.950276  33.85478   66.48713  111.53367 ],[7.8184276 7.6816535 7.4207573 7.0828276],[1.0568528 1.183022  1.4129382 1.6541649],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK10,C,3e-08,1,False,False,TDD,vanilla,0,[0.08518596 0.0986802  0.10255435 0.11275621],[0.06243557 0.0816599  0.08378514 0.10587969],[ 8.476623  9.006199  9.915957 10.802696],[1.1799476 1.4120286 1.7413969 2.3691745],[8.28604  8.284574 8.28102  8.278168],[0.13254985 0.13561805 0.1388195  0.14271493],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK10,C,3e-08,10,False,False,TDD,vanilla,0,[0.21566358 0.35209924 0.50957704 0.6455228 ],[0.18863793 0.33359897 0.40893614 0.52898884],[20.64835  36.134132 59.250343 89.14925 ],[ 6.5047603 17.945917  35.429436  59.150967 ],[8.107521  7.9999886 7.847667  7.637442 ],[0.47922635 0.5674463  0.7047093  0.9157116 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK10,C,3e-08,30,False,False,TDD,vanilla,0,[0.5186914  0.98081857 1.1708233  1.2463117 ],[0.41928798 0.8548238  1.0880334  0.8776761 ],[ 70.47516 142.03638 185.9169  214.56232],[ 45.242035  98.92412  110.33077  116.2071  ],[7.8666987 7.2785597 6.796308  6.370139 ],[0.8052921 1.1594329 1.3123138 1.4823229],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK10,C,1e-07,1,False,False,TDD,vanilla,0,[0.05639337 0.06234628 0.0678929  0.07368164],[0.02839754 0.03371762 0.03424258 0.03711401],[10.764541 11.401551 12.425068 13.403966],[1.8158995 2.1731026 2.7447367 3.5414631],[8.247332 8.243473 8.237538 8.233055],[0.20088623 0.20329204 0.20571078 0.20884517],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
