model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK10,A,3e-08,1,False,False,TDD,phase,10.0,[0.01032629 0.01083088 0.0123062  0.01347627],[0.0023687  0.00327524 0.00434728 0.00683107],[2.8682525 2.9578924 3.2718823 3.3642478],[0.6111457  0.6879717  0.82250285 0.93696827],[8.3262825 8.324658  8.322515  8.32053  ],[0.19012335 0.194705   0.19962591 0.20496081],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK10,A,3e-08,10,False,False,TDD,phase,10.0,[0.03239139 0.07035995 0.12629443 0.20214802],[0.02767149 0.07056668 0.1698888  0.356347  ],[ 5.605646  9.941883 16.655321 25.374388],[ 2.074044  4.864958  9.963257 18.323824],[8.185912 8.1668   8.139556 8.10675 ],[0.5531456  0.6181201  0.68481874 0.7551894 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK10,A,3e-08,30,False,False,TDD,phase,10.0,[0.21871963 0.37790856 0.58336043 0.84574944],[0.51691455 0.5635954  0.6486873  0.9288519 ],[ 14.9106655  36.354683   75.10628   126.403046 ],[  9.942463  36.029594  77.71396  124.066574],[7.851905  7.7521772 7.563041  7.237826 ],[1.0004237 1.1019145 1.218518  1.4910237],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK10,A,1e-07,1,False,False,TDD,phase,10.0,[0.02515    0.02571908 0.02678235 0.02775429],[0.00172738 0.00211493 0.00266686 0.00369563],[7.780851  7.9767833 8.215262  8.371651 ],[2.775258  2.916693  3.0266802 3.1536276],[8.255047  8.255257  8.2551365 8.254991 ],[0.5160646  0.51661885 0.51728576 0.5182707 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK10,A,1e-07,10,False,False,TDD,phase,10.0,[0.04527138 0.07746065 0.12117102 0.15074521],[0.02085756 0.06136276 0.16152287 0.11877565],[10.747507 15.339208 21.320217 29.129063],[ 4.3181243  6.793331  11.061469  17.845284 ],[8.1243305 8.107287  8.08216   8.049544 ],[0.6277462  0.67714953 0.7324082  0.78849584],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK10,A,1e-07,30,False,False,TDD,phase,10.0,[0.12863757 0.3777665  0.51340085 0.7898766 ],[0.14755797 1.36227    0.6072946  0.699665  ],[ 21.816748  42.432632  82.4199   132.1774  ],[ 12.503368  34.562473  76.26648  117.70613 ],[8.001507  7.8703184 7.5485325 7.1840706],[1.0088825 1.1135674 1.4022412 1.4680861],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK10,A,3e-07,1,False,False,TDD,phase,10.0,[0.00948185 0.00998351 0.01133317 0.01201156],[0.00323479 0.00341517 0.00357757 0.00390718],[2.570721  2.7363808 3.113791  3.294623 ],[0.9145098  0.99134266 1.0481791  1.1408135 ],[8.206163 8.206783 8.207022 8.207227],[0.35366645 0.35488245 0.35623658 0.35781142],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK10,A,3e-07,10,False,False,TDD,phase,10.0,[0.02575647 0.04992636 0.08225045 0.12456795],[0.01195731 0.03168947 0.05991755 0.10463042],[ 5.954764 10.495871 16.929926 25.204792],[ 2.5105798  4.971812   9.429204  15.946209 ],[8.149454  8.131588  8.1067095 8.075445 ],[0.6241481  0.67983824 0.7366657  0.7920824 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK10,A,3e-07,30,False,False,TDD,phase,10.0,[0.07264584 0.17009628 0.3640144  0.579043  ],[0.05447029 0.14785953 0.40567854 0.65475386],[ 13.679447  31.317636  66.955635 115.16322 ],[  7.298552  25.09278   58.896397 101.74844 ],[7.97864   7.9086156 7.7255707 7.4211097],[0.94066644 1.027428   1.2165883  1.5253683 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK10,C,3e-08,1,False,False,TDD,phase,10.0,[0.01495274 0.01616531 0.01899175 0.02213324],[0.00410593 0.00541714 0.00760672 0.01070794],[3.317121  3.4429712 3.8289154 4.1497045],[0.5545036 0.5982911 0.6700069 0.8160784],[8.313571 8.313584 8.312989 8.312126],[0.13186045 0.13436247 0.13732257 0.14059477],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
