model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
TCN,A,3e-08,1,False,False,TDD,vanilla,0,[0.22585578 0.42019546 0.6341939  0.69420975],[0.05537216 0.08220176 0.12151678 0.12514424],[ 64.053246 124.83652  191.12     210.00958 ],[17.049395 28.940672 44.359287 47.25022 ],[8.286987 8.263509 8.161698 8.075188],[0.19223472 0.19989273 0.23623429 0.30074078],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
TCN,A,3e-08,10,False,False,TDD,vanilla,0,[0.4444241 0.8763583 1.0713919 1.1098744],[0.20967504 0.41753662 0.36686796 0.3302983 ],[120.49127 251.60553 314.20267 328.40112],[ 70.75183 149.41599 154.6526  153.37326],[8.137672 8.085945 7.940231 7.813178],[0.58909893 0.67938143 0.8251536  0.97122705],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
TCN,A,3e-08,30,False,False,TDD,vanilla,0,[1.301904  1.1734809 1.2298812 1.0711064],[0.9604043  0.7988768  0.5239427  0.34730536],[317.8258  278.754   302.44666 287.94876],[316.89713 247.3936  211.76561 212.7995 ],[7.780362  7.61183   7.2877703 7.0691032],[1.0820082 1.2286798 1.4914681 1.6109644],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
TCN,A,1e-07,1,False,False,TDD,vanilla,0,[0.23601884 0.39760303 0.5772921  0.6238388 ],[0.04259863 0.03556176 0.0456556  0.04704444],[ 68.164444 119.227196 175.42169  190.54639 ],[27.19798  41.242493 58.289898 63.47204 ],[8.2157345 8.21084   8.188105  8.174843 ],[0.52137864 0.52555573 0.5420698  0.5525353 ],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
TCN,A,1e-07,10,False,False,TDD,vanilla,0,[0.3985293 0.7770228 1.0048709 1.0780916],[0.1819182  0.3835336  0.38521603 0.3499259 ],[107.1891  217.45583 286.6117  313.18182],[ 64.58777 137.43637 160.67557 172.01537],[8.086686 8.061659 8.005554 7.945598],[0.6504692  0.71118593 0.79443496 0.88295877],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
TCN,A,1e-07,30,False,False,TDD,vanilla,0,[1.2830604 1.202246  1.12029   1.1979569],[0.84858996 0.7857389  0.35773402 0.3446823 ],[366.39755 343.20676 314.78394 326.8116 ],[333.57257 287.2298  221.58958 228.60466],[7.9379215 7.725436  7.363176  7.057631 ],[1.0701611 1.2459954 1.5322928 1.6543163],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
TCN,A,3e-07,1,False,False,TDD,vanilla,0,[0.8005878  0.82828814 0.88401055 0.89222443],[0.08010981 0.06805984 0.04941763 0.04692536],[245.60143 253.68094 269.72293 272.27063],[64.903824 64.06116  63.291485 63.35892 ],[7.3780775 7.384367  7.389154  7.388968 ],[0.5468705 0.5424411 0.6304968 0.6488248],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
TCN,A,3e-07,10,False,False,TDD,vanilla,0,[0.8290879 0.9223402 0.9887284 1.0108869],[0.08999693 0.12446143 0.11674243 0.11650453],[262.66165 292.23108 315.82007 326.39578],[109.38305 120.45383 131.6913  142.0656 ],[7.266785  7.2556973 7.231871  7.2043047],[0.87191707 0.9208072  1.0294532  1.0837961 ],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
TCN,A,3e-07,30,False,False,TDD,vanilla,0,[1.0510607 1.0150576 1.0523659 1.0184336],[0.24361628 0.18518117 0.13120027 0.12535784],[323.57962 319.5583  332.0749  326.50812],[180.2453  192.47478 191.26964 204.70383],[7.2452793 7.149834  7.065371  6.9723353],[1.2686363 1.3315157 1.4485503 1.5083604],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
TCN,C,3e-08,1,False,False,TDD,vanilla,0,[0.24015044 0.42788288 0.6407863  0.6991011 ],[0.04050134 0.0507147  0.07028389 0.07384878],[ 65.925545 127.44699  195.31284  214.22647 ],[11.150878 17.80115  27.553171 29.496532],[8.26596   8.224556  8.0384245 7.9191566],[0.13651894 0.14585675 0.20890662 0.270824  ],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
TCN,C,3e-08,10,False,False,TDD,vanilla,0,[0.41434288 0.8195503  0.9985122  1.0455315 ],[0.17902002 0.37061402 0.30557245 0.25912875],[105.19448 215.02264 277.52133 297.43057],[ 57.713497 118.95399  120.80577  117.9256  ],[8.112348  7.922197  7.522963  7.1677837],[0.47597262 0.6149694  0.91064274 1.21325   ],[8.214156 8.200949 8.206897 8.228696],[0.4358665 0.4754517 0.5107417 0.5324073]
TCN,C,3e-08,30,False,False,TDD,vanilla,0,[1.2643739 1.3311086 1.2696025 1.214267 ],[0.76258236 0.49111483 0.36214876 0.28873003],[341.33774 354.71555 349.46057 325.60995],[253.82095 209.8268  177.45012 160.44667],[7.83911   6.926731  6.4306626 6.228919 ],[0.86268526 1.7590686  1.815386   1.7729628 ],[8.26459   8.2423935 8.200481  8.146263 ],[0.5972225  0.63432676 0.68430376 0.73401004]
TCN,C,1e-07,1,False,False,TDD,vanilla,0,[0.2949243  0.43729642 0.61151665 0.65316755],[0.0319993  0.02627285 0.03485052 0.03663425],[ 78.588104 125.17713  178.41106  191.59468 ],[11.27852  17.275938 26.046265 28.779251],[8.184095 8.179894 8.109744 8.072468],[0.21038803 0.21453871 0.22568446 0.23610334],[8.287666  8.286729  8.285783  8.2848215],[0.20094846 0.20314613 0.20554832 0.20814274]
TCN,C,1e-07,10,False,False,TDD,vanilla,0,[0.47484538 0.85397875 1.0562807  1.1115584 ],[0.1648218  0.34938556 0.31789404 0.2596232 ],[131.52948 246.58905 306.82413 322.87234],[ 58.04313  123.27401  129.12535  127.082825],[8.084158  7.959124  7.7175    7.4548283],[0.43270954 0.4985697  0.630793   0.8064927 ],[8.228059 8.225114 8.221141 8.218306],[0.40632427 0.4437365  0.47436562 0.49637368]
TCN,C,1e-07,30,False,False,TDD,vanilla,0,[1.2544777 1.1556007 1.1174403 1.0482113],[0.6821642  0.46657756 0.27864054 0.26176935],[356.07742 329.80093 316.35474 297.5686 ],[227.77354 190.85783 129.79027 124.0165 ],[7.8373895 7.276565  6.8843827 6.704551 ],[0.73169786 1.1715113  1.258529   1.3949395 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.58218414 0.6467473 ]
TCN,C,3e-07,1,False,False,TDD,vanilla,0,[0.66893655 0.7298903  0.80565333 0.82283133],[0.11677705 0.09562542 0.06975564 0.06385939],[200.0325  219.33527 242.8849  248.31203],[41.74374  36.478333 31.003674 30.364315],[7.01562   7.0055776 6.954878  6.9341717],[0.56033427 0.55954194 0.5700924  0.5715797 ],[8.30922  8.309395 8.309544 8.309666],[0.12782559 0.12907474 0.13059269 0.13237107]
TCN,C,3e-07,10,False,False,TDD,vanilla,0,[0.7393502 0.9325818 1.0357713 1.0678394],[0.12147316 0.1958619  0.18497573 0.16665393],[217.724   276.61124 308.15286 317.94824],[ 64.4782    89.880936  96.88252  100.28085 ],[7.0659723 7.002071  6.8725743 6.783461 ],[0.6096918  0.650163   0.7155696  0.75754267],[8.250104 8.243473 8.238306 8.233625],[0.3385536  0.37196392 0.40309045 0.43264034]
TCN,C,3e-07,30,False,False,TDD,vanilla,0,[1.160367  1.0205638 1.0606652 1.0376987],[0.394391   0.22045228 0.13840221 0.1290884 ],[352.87204 314.32574 336.3723  336.28622],[169.68034 133.63184 141.67613 149.44197],[6.8119655 6.5498567 6.3078566 6.228221 ],[0.8788006 1.0642015 1.1696136 1.1712008],[8.243394  8.2595005 8.280929  8.2970915],[0.52751476 0.5657697  0.5995796  0.62896645]
TCN,D,3e-08,1,False,False,TDD,vanilla,0,[0.11802441 0.23127529 0.3572585  0.40202457],[0.0472655  0.08715738 0.14192025 0.15174063],[ 35.886425  70.980644 109.67809  123.533165],[15.289063 29.371346 46.936043 50.793777],[8.269351 8.244977 8.157032 8.126347],[0.17292114 0.17668115 0.21845308 0.24181429],[8.314399 8.31432  8.314234 8.314145],[0.16895762 0.16928388 0.1696566  0.17007588]
TCN,D,3e-08,10,False,False,TDD,vanilla,0,[0.3849218 0.8095221 1.0508482 1.1241217],[0.21395758 0.45545298 0.47094816 0.44901723],[118.86854 250.16684 321.70636 342.2448 ],[ 74.189964 155.35158  155.55145  142.10017 ],[8.254468  8.21517   7.9404073 7.596176 ],[0.22878437 0.23927952 0.36829025 0.7896657 ],[8.316227 8.317209 8.319232 8.322231],[0.22064126 0.22971568 0.23861215 0.2478967 ]
TCN,D,3e-08,30,False,False,TDD,vanilla,0,[1.1785833 1.1934018 1.1704232 1.1414149],[0.82954174 0.62282634 0.46289784 0.40097666],[353.4992  353.30484 346.12555 337.00125],[262.3735  194.34456 156.8173  148.36151],[8.20355   8.128328  7.7899837 7.4271502],[0.32813925 0.34821838 0.47470903 0.8724128 ],[8.279625 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.34753156 0.37491983]
