model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03122962 0.0450747  0.06921633 0.09806531],[0.02291452 0.02977815 0.03490878 0.04315183],[ 5.5258393  8.748527  14.823788  22.104935 ],[1.1988462 2.1122646 4.339477  7.2782965],[8.315828 8.310489 8.303147 8.29428 ],[0.19017547 0.19473118 0.19997787 0.20559946],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.1008947  0.20508341 0.2845834  0.3839816 ],[0.09836282 0.18677491 0.33640847 0.41506147],[13.838536 31.180496 42.376755 61.25942 ],[ 4.491179 13.219885 20.994343 36.309395],[8.163111 8.124203 8.071595 8.003547],[0.5674728  0.6477192  0.73016125 0.83718735],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.31308478 0.5415651  0.72582114 1.02829   ],[0.60681075 1.1373712  0.7109156  1.1539649 ],[ 22.05936   47.646416  95.8499   157.47774 ],[ 10.032983  34.705273  75.61864  136.38332 ],[7.813233 7.679421 7.395202 7.076215],[1.0388074 1.1785587 1.4085665 1.5388163],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04355489 0.05741424 0.0809397  0.10915583],[0.01353616 0.01719347 0.02412086 0.03101178],[ 9.82803  13.226833 19.236517 26.817242],[ 3.6470187  4.909529   7.4573812 10.948541 ],[8.23285   8.227652  8.220516  8.2112665],[0.5129814 0.512917  0.5129438 0.5127827],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.10891144 0.21245757 0.2708412  0.34709048],[0.09108641 0.273939   0.28533307 0.28820667],[19.733227 37.40018  50.345478 68.73161 ],[ 7.8913813 18.66583   27.097336  41.30614  ],[8.0803385 8.047956  8.000718  7.940414 ],[0.6428903  0.70061445 0.76611555 0.8413263 ],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.22239591 0.49307793 0.6834336  0.8786607 ],[0.22129598 1.0829688  0.67277086 0.58635825],[ 33.545506  63.181812 109.817    171.27713 ],[ 14.430582  41.971058  81.34076  144.05177 ],[7.914548  7.7505465 7.380972  6.935124 ],[1.0681717 1.1922063 1.4725355 1.5397917],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02878228 0.03987598 0.05799983 0.07925356],[0.00902914 0.01219472 0.01796079 0.02292777],[ 6.705868  9.603452 14.715432 20.685528],[2.218766  3.2486823 5.566323  7.6815515],[8.184719 8.180364 8.17559  8.16895 ],[0.35712925 0.35886902 0.36078152 0.3630738 ],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.08069049 0.1492931  0.20253864 0.27355328],[0.0442316  0.08975788 0.13301489 0.18914759],[16.416777 32.0894   43.63209  60.63777 ],[ 6.617017 15.555794 22.220186 34.682304],[8.104359  8.071756  8.025113  7.9660335],[0.64508116 0.7093364  0.7835932  0.8602147 ],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15271734 0.27487224 0.47820544 0.66250753],[0.10488554 0.2072802  0.36218035 0.50965977],[ 26.42033   50.651066  96.41624  153.10684 ],[ 10.255151  29.92459   66.87227  126.147064],[7.8960943 7.7823696 7.539219  7.2311735],[1.0062387 1.1337235 1.3745433 1.6217548],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04637943 0.06257042 0.09193819 0.12366414],[0.02469499 0.02858329 0.03540532 0.0410462 ],[ 6.061872  9.365398 15.490942 22.756592],[0.96108353 1.6385441  3.4903674  5.8259573 ],[8.301635 8.297203 8.289896 8.281144],[0.13217922 0.13502541 0.13844088 0.14276156],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.13033977 0.29641336 0.5208177  0.6833994 ],[0.10055707 0.25558382 0.52590436 0.52244306],[15.389744 35.68713  61.97032  98.20115 ],[ 5.0718627 16.501785  35.406567  63.383926 ],[8.159213  8.067451  7.9178834 7.6865807],[0.45670187 0.53712505 0.6822294  0.91256946],[8.214156 8.200949 8.206897 8.228696],[0.4358665 0.4754517 0.5107417 0.5324073]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.37386647 0.79003096 0.9336219  1.1469239 ],[0.36814308 0.6596142  0.5410409  0.66528183],[ 59.00574 139.5766  198.06241 233.48355],[ 44.103085 103.48236  125.91404  131.16374 ],[7.9860334 7.3485603 6.754239  6.324836 ],[0.730697  1.1666179 1.353411  1.5272   ],[8.26459   8.2423935 8.200481  8.146263 ],[0.5972225  0.63432676 0.68430376 0.73401004]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03971066 0.05323512 0.07534885 0.10213855],[0.0107355  0.01330555 0.01875588 0.02504194],[ 8.397089 11.581764 16.97318  23.726753],[1.4734663 2.1596859 3.7767584 5.642186 ],[8.253147 8.244944 8.234951 8.222535],[0.20152676 0.20413768 0.20713666 0.2106159 ],[8.287666  8.286729  8.285783  8.2848215],[0.20094846 0.20314613 0.20554832 0.20814274]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.10408694 0.21061984 0.3299567  0.48208144],[0.03494633 0.08546862 0.15944558 0.25833222],[ 22.16286   46.263905  73.15745  110.65961 ],[ 5.8590484 18.32756   39.37935   69.398224 ],[8.140685 8.057828 7.919259 7.700695],[0.42089665 0.47335267 0.5396501  0.6549006 ],[8.228059 8.225114 8.221141 8.218306],[0.40632427 0.4437365  0.47436562 0.49637368]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.25788316 0.4987069  0.7089188  0.83826274],[0.14572589 0.25092977 0.28123477 0.30047178],[ 53.31898 115.17195 172.16046 217.63393],[ 33.766876  81.69339  109.17175  131.79756 ],[7.9399457 7.4776278 7.0304418 6.5511513],[0.64941293 0.9409478  0.9678764  1.2665646 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.58218414 0.6467473 ]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03751132 0.04949732 0.06790759 0.09198277],[0.00654163 0.01086308 0.01815864 0.02564909],[ 9.991029 13.250762 18.44094  25.419565],[1.5538077 2.6860354 4.8913746 7.161829 ],[8.271703 8.263094 8.25467  8.242178],[0.12788038 0.12962432 0.13220242 0.1352927 ],[8.30922  8.309395 8.309544 8.309666],[0.12782559 0.12907474 0.13059269 0.13237107]
