model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.0270646  0.03046716 0.03508714 0.03983389],[0.02212153 0.02744509 0.03058467 0.03431636],[4.5072937 5.095792  5.85813   6.639995 ],[1.0513479 1.4324622 1.965799  2.5200863],[8.31702  8.313961 8.31009  8.306109],[0.19008242 0.19447653 0.19942515 0.20464416],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07630301 0.1288844  0.19000596 0.2686074 ],[0.08335222 0.1369397  0.22247721 0.3402366 ],[ 9.2446995 16.002005  25.909979  38.82444  ],[ 2.278508   5.4433227 11.586688  21.899014 ],[8.165173 8.132035 8.084614 8.029574],[0.565523   0.63867265 0.71484107 0.79862326],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.29565194 0.4608997  0.6188932  0.84514695],[0.62532306 0.9544659  0.5523224  0.83238447],[ 20.132797  43.76449   91.490944 143.69176 ],[  8.482488  30.864872  76.07528  129.4336  ],[7.8154435 7.6923733 7.4164643 7.1146636],[1.0372086 1.1496106 1.3381718 1.5259049],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03844085 0.04130267 0.04507501 0.04934339],[0.01249731 0.01440435 0.01748086 0.02037173],[ 8.579782  9.032188  9.465588 10.139854],[3.2353568 3.3924863 3.5348935 3.9635882],[8.235279 8.233886 8.232185 8.230623],[0.5138125  0.5145932  0.51565003 0.5166279 ],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.0889178  0.13756791 0.20097303 0.22896485],[0.06444926 0.14179341 0.33512208 0.16867192],[15.311502 21.907478 31.230982 43.218086],[ 5.082759  8.330569 14.496538 23.892103],[8.080348 8.050391 8.006845 7.954536],[0.64305747 0.69914335 0.7606772  0.82570225],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.20691083 0.4041943  0.58525103 0.74815977],[0.21300124 0.7074123  0.56536525 0.47318813],[ 30.919773  57.723434 102.95503  155.02551 ],[ 13.13629   41.454845  81.484436 128.72664 ],[7.912605  7.7436748 7.3824205 6.9572053],[1.0724554 1.2075016 1.4571433 1.5403403],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02525299 0.02732467 0.02904073 0.03074549],[0.00795982 0.00852853 0.00952073 0.01061128],[5.849864  6.3018255 6.604468  6.919432 ],[1.9398704 2.0214972 2.0718682 2.24342  ],[8.186875 8.185821 8.185352 8.185383],[0.35671768 0.35789776 0.35924113 0.36061865],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06688207 0.10176277 0.14369921 0.1967946 ],[0.04105553 0.0702576  0.09236189 0.1326796 ],[12.427572 18.807667 28.134571 40.30925 ],[ 4.1175094  6.793464  11.703321  20.001108 ],[8.104921 8.076229 8.03323  7.983235],[0.64467466 0.70566183 0.7721246  0.83699656],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14181384 0.25522044 0.4277077  0.59364676],[0.09752373 0.19147083 0.3051932  0.38989282],[ 24.380747  47.640793  90.52737  143.24799 ],[  9.751175  30.159084  68.017166 118.10265 ],[7.8980255 7.7924333 7.569232  7.243914 ],[1.0044696 1.1162325 1.3197582 1.5855917],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04126943 0.0460951  0.05452413 0.06264229],[0.02367414 0.02702345 0.03283739 0.03774735],[5.048988  5.6851435 6.5470576 7.4662256],[0.85400486 1.095045   1.4439205  1.7993474 ],[8.303021 8.301325 8.298512 8.295595],[0.13220489 0.13500345 0.13827266 0.14216892],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10447264 0.2056544  0.33931422 0.45889512],[0.07314364 0.1750703  0.29542762 0.3614214 ],[11.620788 23.904282 45.928085 74.63801 ],[ 3.5817876 13.186029  32.133682  55.512424 ],[8.163677  8.083644  7.953346  7.7683845],[0.45370132 0.5234032  0.6436569  0.83663476],[8.214156 8.200949 8.206897 8.228696],[0.4358665 0.4754517 0.5107417 0.5324073]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.3616958 0.7213707 0.8597316 1.0466043],[0.3736327  0.57729053 0.50812626 0.65580785],[ 56.34752 134.06041 187.45317 217.55313],[ 44.287228 102.32152  120.72354  125.50471 ],[7.9854712 7.386891  6.7985992 6.3254247],[0.7338888 1.1416374 1.3479776 1.5619471],[8.26459   8.2423935 8.200481  8.146263 ],[0.5972225  0.63432676 0.68430376 0.73401004]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03516214 0.03856857 0.04280074 0.04727385],[0.01010496 0.0113908  0.0137956  0.01645777],[7.3284593 7.9516783 8.587773  9.35635  ],[1.330623  1.6635723 2.029871  2.5790398],[8.255667 8.251766 8.247784 8.24346 ],[0.20130272 0.20348144 0.20585953 0.20853868],[8.287666  8.286729  8.285783  8.2848215],[0.20094846 0.20314613 0.20554832 0.20814274]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08584989 0.15186188 0.25353584 0.3693906 ],[0.02927137 0.06547018 0.12880307 0.20100276],[17.7123   31.991304 55.957397 87.08459 ],[ 4.7349577 15.14398   35.091354  62.386715 ],[8.144062  8.070347  7.9381394 7.7389846],[0.420693   0.47101474 0.5322672  0.6314428 ],[8.228059 8.225114 8.221141 8.218306],[0.40632427 0.4437365  0.47436562 0.49637368]
