model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03090955 0.04302296 0.06619332 0.09256221],[0.02282515 0.02799269 0.03375108 0.04093515],[ 5.4079633  8.328716  14.052564  20.728632 ],[1.2145786 2.1414669 4.3127685 7.0882816],[8.315672  8.310642  8.3031435 8.29419  ],[0.1901638  0.19472112 0.19999245 0.20569754],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.09957796 0.19736159 0.2725959  0.36966237],[0.09664186 0.17758247 0.3133244  0.40683192],[13.71116  30.173853 40.887672 59.06151 ],[ 4.4118624 12.680332  19.92962   35.111507 ],[8.163196 8.125455 8.074702 8.009189],[0.56710964 0.6465035  0.72736394 0.8322619 ],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.31569266 0.5372406  0.7168285  1.016849  ],[0.6170219 1.0712478 0.6721841 1.1175238],[ 22.284143  47.751186  97.049866 157.83815 ],[  9.9836445  35.958897   76.98855   137.44934  ],[7.8120747 7.6767015 7.3989315 7.077358 ],[1.0403472 1.1823177 1.38465   1.5396558],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04324479 0.0556208  0.0779403  0.1037098 ],[0.01373551 0.01703898 0.02391585 0.03045125],[ 9.741873 12.759026 18.395302 25.252737],[ 3.6409216  4.772692   7.1734605 10.304287 ],[8.232814 8.228214 8.221161 8.21242 ],[0.5130828  0.51324177 0.513513   0.51391137],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.10823736 0.20453168 0.26302686 0.3332753 ],[0.08766644 0.24707599 0.27860847 0.27038676],[19.731556 36.548325 48.98137  66.816185],[ 7.899853 18.109114 26.198286 40.463825],[8.079517 8.047907 8.0014   7.94279 ],[0.642884   0.7001683  0.7650794  0.83861744],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.22343965 0.49417472 0.6788881  0.86562866],[0.22174399 1.0916415  0.6658669  0.56608975],[ 33.74793   62.841278 110.66963  171.13387 ],[ 14.763614  41.785366  82.77432  144.4356  ],[7.913626  7.748927  7.3804364 6.938152 ],[1.0678746 1.1949013 1.4667531 1.5305431],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.0289214  0.03960956 0.05725485 0.07720897],[0.00926109 0.01299773 0.01962803 0.02531719],[ 6.744467  9.539304 14.505576 20.099041],[2.3020632 3.533305  6.0698338 8.345686 ],[8.184583 8.180698 8.176022 8.169653],[0.35715687 0.35879079 0.360627   0.3628044 ],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.08086453 0.14659745 0.19898592 0.26858836],[0.04469349 0.08807439 0.12995955 0.18433921],[16.397219 31.357485 42.732574 59.57669 ],[ 6.50291  14.917483 21.60151  34.288315],[8.10378  8.071705 8.025705 7.967857],[0.64531595 0.7091632  0.7828485  0.85859704],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15364833 0.2749561  0.480899   0.66179276],[0.10524076 0.2128565  0.35964853 0.50400996],[ 26.574339  49.929684  97.03152  153.83159 ],[ 10.12582   29.125076  66.06949  126.825035],[7.894207  7.7817593 7.537377  7.228891 ],[1.0074227 1.131574  1.3742222 1.623136 ],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04606295 0.06066351 0.08893467 0.11832168],[0.0246538  0.02808865 0.03511957 0.04089563],[ 5.9592576  8.979735  14.8052635 21.530977 ],[0.9718692 1.6451418 3.5296082 5.802733 ],[8.301502 8.297436 8.29003  8.281298],[0.1322024  0.13506487 0.13851263 0.14283083],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
