model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02714444 0.02983247 0.03439077 0.03832852],[0.02213934 0.02608275 0.030026   0.03273845],[4.50926   5.0575643 5.7396593 6.4583173],[1.0453191 1.3858349 1.8501316 2.3406472],[8.316913 8.314086 8.310122 8.306202],[0.1900698  0.19446178 0.19942568 0.20467488],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07696038 0.12775698 0.18865338 0.2681909 ],[0.08832456 0.13607618 0.21967587 0.3575235 ],[ 9.214432 15.9129   25.543068 38.124794],[ 2.2329643  5.450386  11.46266   21.693092 ],[8.164948 8.131864 8.084247 8.029875],[0.56544685 0.6386584  0.71567243 0.7994719 ],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.29872748 0.45840046 0.61641103 0.8466822 ],[0.63589996 0.8871928  0.52289987 0.82114345],[ 20.378504  43.989548  92.78386  144.63823 ],[  8.552204  31.483515  77.23809  130.45613 ],[7.814039  7.688823  7.4125934 7.121507 ],[1.0383149 1.1525718 1.3304442 1.4974998],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.0384709  0.04098085 0.04449218 0.0482563 ],[0.01260412 0.01393429 0.0168463  0.01941979],[ 8.623039   9.065099   9.4530325 10.057403 ],[3.273098  3.4117112 3.529351  3.9218307],[8.235305 8.234284 8.232589 8.231236],[0.51387846 0.5147902  0.5159278  0.5169993 ],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08924265 0.1363923  0.20122246 0.22702646],[0.06346393 0.13383855 0.3383545  0.1669695 ],[15.419817 21.927412 31.144878 42.793785],[ 5.103928  8.296874 14.370736 23.82049 ],[8.079389 8.049713 8.006244 7.955227],[0.64314145 0.6990241  0.76056916 0.8252858 ],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.20858099 0.4068793  0.5854211  0.7483909 ],[0.21693835 0.7153925  0.5547595  0.47534287],[ 31.021093  57.599503 103.78108  155.11584 ],[ 13.295629  41.38126   83.17467  129.65894 ],[7.911363 7.742444 7.379411 6.950744],[1.0726464 1.2078055 1.45843   1.5452979],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02548352 0.02767346 0.02936665 0.03104906],[0.00804218 0.0085732  0.00964003 0.0106887 ],[5.930338  6.4375963 6.7310405 7.0373683],[1.982766  2.0740175 2.1414173 2.289874 ],[8.186784 8.18599  8.185487 8.185559],[0.35673913 0.3578525  0.3591702  0.3605237 ],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06766275 0.10272463 0.14464189 0.19782205],[0.04222959 0.07273901 0.09569672 0.13886002],[12.542281 18.906345 28.142523 40.260574],[ 4.1347156  6.7753453 11.725503  20.084631 ],[8.10416  8.075399 8.032477 7.983372],[0.6449464 0.7058613 0.7724427 0.8365601],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14297599 0.25738347 0.43250707 0.60026586],[0.09854322 0.19987644 0.31386685 0.4038517 ],[ 24.469194  47.06942   90.760475 144.10172 ],[  9.570339  28.781406  67.67814  118.18286 ],[7.8959    7.790261  7.5650396 7.245202 ],[1.0057247 1.1171098 1.3232167 1.5808724],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04122036 0.04544931 0.05354383 0.06096124],[0.02348145 0.02653326 0.03245252 0.0376993 ],[5.0643096 5.66471   6.4813366 7.351452 ],[0.87771654 1.1086286  1.4610897  1.8368351 ],[8.302955 8.30149  8.298646 8.295845],[0.13220488 0.13498913 0.13821205 0.14200154],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
