model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
TRANSFORMER,A,3e-08,1,False,False,TDD,vanilla,0,[0.03020843 0.03637464 0.04544825 0.05294838],[0.02522187 0.03352697 0.03976079 0.04642288],[4.6235924 5.4531903 7.173427  8.687445 ],[1.5583346 2.255529  3.5581799 4.7123156],[8.310971 8.306646 8.299775 8.295311],[0.19013554 0.19528563 0.20015651 0.20651998],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
TRANSFORMER,A,3e-08,10,False,False,TDD,vanilla,0,[0.08102253 0.14289312 0.23296861 0.35251957],[0.07802878 0.13117537 0.2860779  0.60837376],[ 9.802217 17.950294 31.583302 53.106884],[ 4.2157583  8.924025  18.729343  34.109863 ],[8.154364 8.114141 8.055904 7.985285],[0.57255954 0.6614057  0.75938904 0.86662173],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
TRANSFORMER,A,3e-08,30,False,False,TDD,vanilla,0,[0.2921671  0.46913376 0.6531642  0.89106214],[0.3925083  0.37712902 0.4469948  0.7677762 ],[ 34.549522  77.67942  131.84137  179.89893 ],[ 26.448036  71.907455 119.31609  162.81358 ],[7.7376556 7.4941516 7.176367  6.764795 ],[1.1054333 1.3198587 1.376752  1.7307289],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
TRANSFORMER,A,1e-07,1,False,False,TDD,vanilla,0,[0.03168936 0.03703168 0.04661572 0.05683031],[0.02039929 0.02150765 0.02620296 0.02929126],[ 5.3499384  6.4322495  8.614893  11.33844  ],[2.3877249 3.1635182 4.822721  6.8223996],[8.240986 8.238153 8.232429 8.229038],[0.51501215 0.5158404  0.5172443  0.5193978 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
TRANSFORMER,A,1e-07,10,False,False,TDD,vanilla,0,[0.07389611 0.13663842 0.20785719 0.2801915 ],[0.05892165 0.15758795 0.24880783 0.19610403],[11.207646 18.972694 33.866287 59.326347],[ 5.783142  9.913715 22.811264 44.82381 ],[8.092711 8.057815 8.00546  7.937879],[0.6419912  0.70848316 0.7795212  0.8543519 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
TRANSFORMER,A,1e-07,30,False,False,TDD,vanilla,0,[0.21705967 0.44710895 0.6051714  0.80561745],[0.16787413 0.55744386 0.35797396 0.37178236],[ 44.51223   93.418945 149.74467  197.19673 ],[ 41.390537  87.48657  134.12073  166.58423 ],[7.892122  7.5757847 7.16469   6.7078815],[1.0771685 1.3295975 1.5272614 1.6274611],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
TRANSFORMER,A,3e-07,1,False,False,TDD,vanilla,0,[0.02690114 0.03170748 0.03906607 0.05360559],[0.00857298 0.0114277  0.01400042 0.02030213],[ 6.879532  8.170697 10.208707 15.469234],[2.584634 3.608366 4.356613 8.057802],[8.185984 8.183357 8.178927 8.177307],[0.35448134 0.35617188 0.35712227 0.35955665],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
TRANSFORMER,A,3e-07,10,False,False,TDD,vanilla,0,[0.0758154  0.11977971 0.1883547  0.30262956],[0.04283739 0.07784016 0.10445724 0.15607347],[17.334915 25.793615 46.264633 84.17014 ],[10.6221695 13.881413  28.335112  55.043568 ],[8.106473 8.073758 8.017913 7.930451],[0.6401028  0.71019    0.79106826 0.88098353],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
TRANSFORMER,A,3e-07,30,False,False,TDD,vanilla,0,[0.24045542 0.37653598 0.611776   0.85273206],[0.1349217  0.2186899  0.37226936 0.5158936 ],[ 65.48139   97.134964 163.10516  235.62234 ],[ 56.83405   71.524254 126.95995  175.5883  ],[7.823936  7.6688514 7.341821  6.9726195],[1.0251064 1.2038466 1.4659122 1.6510016],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
TRANSFORMER,C,3e-08,1,False,False,TDD,vanilla,0,[0.04516768 0.05403286 0.06878287 0.08153821],[0.02957456 0.03429332 0.04204858 0.04924772],[ 5.1780634  5.960332   8.626605  10.579162 ],[1.6972948 2.0313215 3.798241  4.074819 ],[8.297456 8.29506  8.286902 8.283586],[0.13241205 0.1347045  0.13869672 0.14237541],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
TRANSFORMER,C,3e-08,10,False,False,TDD,vanilla,0,[0.13345894 0.28072962 0.47440365 0.5995944 ],[0.1079719  0.25208858 0.52660096 0.4792719 ],[ 19.576357  44.41351   77.07904  113.681015],[16.637972 41.184696 69.64782  91.63123 ],[8.126046 7.954574 7.660934 7.339928],[0.47200602 0.6356542  1.0270367  1.4237486 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
TRANSFORMER,C,3e-08,30,False,False,TDD,vanilla,0,[0.4873772 0.851227  0.9422768 1.0060718],[0.41038236 0.58098334 0.44538343 0.34896547],[108.37567 191.6465  235.40688 254.50043],[ 82.30328 123.94607 137.72572 141.82852],[7.5627117 6.5480366 5.8654585 5.5070453],[1.1394118 1.7351573 1.7854685 1.8568639],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
TRANSFORMER,C,1e-07,1,False,False,TDD,vanilla,0,[0.02874544 0.0350653  0.04462754 0.0544792 ],[0.01222225 0.01623003 0.02102225 0.02469555],[ 5.0168357  6.0686626  8.033364  10.597748 ],[1.1706944 1.8322273 2.7696395 4.0189686],[8.265302 8.260235 8.25216  8.245657],[0.20120405 0.20359157 0.20591949 0.20948225],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
