model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
TRANSFORMER,B,5e-08,3,True,False,TDD,vanilla,0,[0.04619137 0.07326312 0.11890569 0.17682497],[0.01985083 0.03463312 0.06817658 0.09342433],[ 8.105688 14.3369   24.92022  42.010986],[ 2.7773426  7.003742  14.08841   23.559273 ],[8.274527 8.253628 8.213474 8.164633],[0.29043967 0.3028871  0.31856507 0.33621466],[8.310018 8.311025 8.311322 8.311014],[0.2866387  0.29886192 0.3112389  0.32331753]
TRANSFORMER,B,5e-08,6,True,False,TDD,vanilla,0,[0.07792303 0.15209657 0.2613658  0.3807492 ],[0.04143801 0.09162176 0.16711964 0.23281066],[13.172507 29.015266 54.22219  83.83095 ],[ 6.73884  19.11579  38.127182 56.04881 ],[8.139609  8.0641365 7.911228  7.715487 ],[0.40729025 0.44910002 0.5561169  0.72060555],[8.200852 8.201835 8.201868 8.201473],[0.3916575  0.3997785  0.4085088  0.41598982]
TRANSFORMER,B,5e-08,9,True,False,TDD,vanilla,0,[0.11150291 0.23620246 0.39143395 0.5539607 ],[0.06726345 0.16111918 0.24450354 0.3234181 ],[ 21.710543  49.910046  88.96646  129.42542 ],[12.7655525 34.73734   62.366455  80.461205 ],[8.157019  8.020363  7.7614913 7.4475484],[0.46889558 0.5581787  0.79811144 1.0280082 ],[8.251503 8.261046 8.269067 8.268886],[0.43901262 0.44828576 0.46303815 0.48474985]
TRANSFORMER,B,5e-08,12,True,False,TDD,vanilla,0,[0.1653651  0.3617481  0.5654626  0.69440055],[0.10467402 0.2431775  0.34644002 0.32185695],[ 32.072086  75.59404  122.44607  165.24785 ],[ 22.184784  56.086155  82.1098   100.27194 ],[8.022532  7.7246423 7.2907853 6.884857 ],[0.4717334  0.79361695 1.138356   1.3789936 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534238 0.45664805 0.49680933 0.52424616]
TRANSFORMER,B,5e-08,15,True,False,TDD,vanilla,0,[0.22879483 0.45963168 0.64905703 0.7745296 ],[0.14969334 0.2842582  0.34088248 0.33853254],[ 52.481846 113.97254  167.52687  208.2517  ],[ 36.564236  81.9993   109.00163  126.0742  ],[8.080874  7.6416736 7.061314  6.602297 ],[0.6075554 0.9437282 1.3801696 1.5634028],[8.301512 8.301376 8.2951   8.286509],[0.51885885 0.5244441  0.5284308  0.55424315]
TRANSFORMER,B,5e-08,18,True,False,TDD,vanilla,0,[0.3318434  0.67767924 0.884003   1.0049337 ],[0.18434627 0.3855905  0.420459   0.40560734],[ 72.76907 157.04082 215.46315 259.23172],[ 49.15633 105.7101  126.54553 145.56923],[7.762674  6.8545976 6.178274  5.715871 ],[0.6636425 1.4119079 1.6575991 1.7661773],[8.143848 8.165355 8.190139 8.226463],[0.55700666 0.5532856  0.58807176 0.6425339 ]
TRANSFORMER,B,5e-08,21,True,False,TDD,vanilla,0,[0.3823587  0.71549714 0.88695025 0.96335447],[0.21505284 0.35068008 0.3396207  0.25539583],[ 87.053566 172.64058  219.60138  253.94238 ],[ 58.930145 107.89638  113.176765 120.535904],[7.6225176 6.6167383 5.9249783 5.4971013],[0.80480784 1.4622617  1.6724992  1.6612307 ],[8.123272 8.136701 8.135805 8.151181],[0.5637357  0.5555875  0.58310056 0.62311316]
TRANSFORMER,B,5e-08,24,True,False,TDD,vanilla,0,[0.408358  0.6921952 0.8430683 0.9512121],[0.27953985 0.35380563 0.29748282 0.2738485 ],[ 98.65753 180.95244 231.02032 268.34207],[ 74.84284 120.45468 134.17943 143.74448],[7.7179523 6.799075  6.2292876 5.7670326],[0.86007345 1.5556182  1.6019183  1.5733408 ],[8.27013  8.258452 8.255481 8.262504],[0.5118271  0.5137656  0.52345896 0.57083213]
TRANSFORMER,B,5e-08,27,True,False,TDD,vanilla,0,[0.4765005 0.7791039 0.9320501 0.9941182],[0.25413066 0.33422798 0.3730753  0.2679289 ],[113.43515 194.55402 233.84872 262.35425],[ 87.808556 123.60451  126.17624  131.46664 ],[7.4962964 6.406084  5.787364  5.289176 ],[0.86168176 1.5871016  1.7288595  1.7509898 ],[8.164666 8.149782 8.144776 8.15001 ],[0.5907433  0.6523984  0.6741813  0.66140956]
TRANSFORMER,B,5e-08,33,True,False,TDD,vanilla,0,[0.54927164 0.89863425 0.99436295 1.0731955 ],[0.31998906 0.39943352 0.30485824 0.27952164],[138.34996 222.6999  260.93704 285.92392],[100.65858 132.81943 137.4561  142.68524],[7.3373804 6.3231153 5.7544465 5.2057824],[1.2261008 1.6676048 1.6423779 1.63375  ],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
