model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
TRANSFORMER,A,3e-08,1,False,False,TDD,vanilla,0,[0.03360327 0.03915692 0.04888791 0.05809949],[0.02892556 0.03267701 0.03757259 0.04143299],[ 4.898171  6.230565  8.254569 12.167178],[1.3950114 2.5096576 3.8218834 7.096918 ],[8.310108 8.304059 8.296399 8.290081],[0.19084239 0.19477114 0.20056415 0.20633514],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
TRANSFORMER,A,3e-08,10,False,False,TDD,vanilla,0,[0.07976029 0.14033899 0.22032633 0.30847588],[0.07750135 0.14607023 0.3273527  0.40043935],[ 9.589042 18.642084 31.531128 52.15009 ],[ 4.341709  9.845085 18.989262 33.38046 ],[8.158133 8.12016  8.07055  8.014861],[0.5712532 0.6510344 0.7388092 0.8276683],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
TRANSFORMER,A,3e-08,30,False,False,TDD,vanilla,0,[0.28753787 0.4522112  0.68110657 0.91226166],[0.3379778 0.320509  0.5761331 0.8160434],[ 40.296864  80.56835  132.21057  181.39572 ],[ 37.260696  72.45285  118.11419  164.21231 ],[7.7378263 7.5142503 7.270787  6.8971686],[1.0869781 1.3739408 1.3311803 1.6271183],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
TRANSFORMER,A,1e-07,1,False,False,TDD,vanilla,0,[0.03406943 0.04029341 0.05246796 0.06222372],[0.01996252 0.0215776  0.02675686 0.02913392],[ 6.1038857  7.7778654 10.332067  14.828042 ],[2.4905128 3.9066138 5.2989287 9.608909 ],[8.240368  8.235268  8.2286825 8.225387 ],[0.51543283 0.5156483  0.51829344 0.5191893 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
TRANSFORMER,A,1e-07,10,False,False,TDD,vanilla,0,[0.0723718  0.1307565  0.2095866  0.28382754],[0.05714917 0.10900007 0.23107804 0.1895127 ],[11.079759 21.330158 37.090424 64.00339 ],[ 5.257843 13.189725 26.639866 52.186638],[8.096193  8.06157   8.013008  7.9529586],[0.64220667 0.7040548  0.7759566  0.84423774],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
TRANSFORMER,A,1e-07,30,False,False,TDD,vanilla,0,[0.24383287 0.50698    0.6621357  0.83054787],[0.17731285 0.71972597 0.33847725 0.33484632],[ 56.171284 114.83174  172.1922   213.18114 ],[ 57.609753 102.28055  152.7848   176.16422 ],[7.8721185 7.5940385 7.187162  6.8048034],[1.0864915 1.3057008 1.5590734 1.5415176],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
TRANSFORMER,A,3e-07,1,False,False,TDD,vanilla,0,[0.03253698 0.03769252 0.04499046 0.06901527],[0.01013464 0.01213946 0.01447164 0.01922083],[ 8.445579 10.034429 12.427635 21.864985],[ 3.1976342  4.2515216  5.8340206 10.417421 ],[8.18398  8.178842 8.177081 8.173963],[0.35476458 0.35551906 0.3568798  0.35900158],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
TRANSFORMER,A,3e-07,10,False,False,TDD,vanilla,0,[0.08846486 0.14828932 0.2283518  0.34684905],[0.04701554 0.08322506 0.12413984 0.18678452],[21.342583 35.507473 57.425636 95.23464 ],[13.049841 21.061745 33.566303 62.351334],[8.102728  8.061018  7.9948125 7.9185505],[0.64297897 0.7105205  0.7977088  0.8822112 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
TRANSFORMER,A,3e-07,30,False,False,TDD,vanilla,0,[0.30868015 0.54429567 0.79627806 0.978479  ],[0.16434424 0.22621353 0.29386577 0.41937494],[ 93.28017 163.61053 238.40027 284.577  ],[ 86.34761 132.32724 181.51872 204.60365],[7.736143  7.5033216 7.096486  6.917793 ],[1.0395483 1.2155118 1.4037381 1.5659567],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
TRANSFORMER,C,3e-08,1,False,False,TDD,vanilla,0,[0.04579446 0.05674532 0.07482928 0.08890357],[0.02429062 0.03182371 0.0443028  0.05403737],[ 5.3646603  7.4653945 10.338519  15.48522  ],[1.4446412 2.6370058 3.7316751 6.494083 ],[8.297392 8.290413 8.281932 8.274458],[0.13255012 0.13564664 0.13944827 0.14353733],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
